Date,USA EQUAL WEIGHTED
1994-06-30,397.81743021
1994-07-29,411.88226352
1994-08-31,431.23460301
1994-09-30,420.6893757
1994-10-31,425.88344244
1994-11-30,407.85635228
1994-12-30,413.76058121
1995-01-31,423.71418356
1995-02-28,442.93015345
1995-03-31,455.18058621
1995-04-28,465.62361332
1995-05-31,483.0918258
1995-06-30,495.55011517
1995-07-31,513.29684719
1995-08-31,518.16063696
1995-09-29,532.60815539
1995-10-31,523.31618949
1995-11-30,551.26841532
1995-12-29,557.42686435
1996-01-31,574.26652574
1996-02-29,583.60614246
1996-03-29,595.1115589
1996-04-30,611.30959811
1996-05-31,622.02375899
1996-06-28,616.5969149
1996-07-31,584.62400256
1996-08-30,607.58724794
1996-09-30,634.400546
1996-10-31,643.71817843
1996-11-29,686.10024501
1996-12-31,676.55876433
1997-01-01,676.55664292
1997-01-02,672.08352537
1997-01-03,680.66242092
1997-01-06,679.41631279
1997-01-07,684.02445048
1997-01-08,682.23146265
1997-01-09,687.75180756
1997-01-10,691.01651557
1997-01-13,691.43429206
1997-01-14,697.83341265
1997-01-15,696.78908693
1997-01-16,698.76711344
1997-01-17,703.32522718
1997-01-20,703.08668594
1997-01-21,705.70220651
1997-01-22,707.24872796
1997-01-23,703.0228898
1997-01-24,698.10179051
1997-01-27,694.34911227
1997-01-28,693.41275784
1997-01-29,697.02367529
1997-01-30,703.66688104
1997-01-31,705.68269242
1997-02-03,706.23944221
1997-02-04,708.20759757
1997-02-05,700.96055357
1997-02-06,702.20173446
1997-02-07,709.30143638
1997-02-10,707.72350826
1997-02-11,710.12603161
1997-02-12,719.42297493
1997-02-13,725.124806
1997-02-14,724.03555892
1997-02-17,724.03555892
1997-02-18,729.0468329
1997-02-19,725.94679465
1997-02-20,719.92153149
1997-02-21,719.0752722
1997-02-24,724.43406089
1997-02-25,725.41796787
1997-02-26,721.07211483
1997-02-27,714.76346658
1997-02-28,711.9977446
1997-03-03,713.92582007
1997-03-04,713.18032444
1997-03-05,721.17326276
1997-03-06,719.87787075
1997-03-07,725.56875062
1997-03-10,730.45556716
1997-03-11,729.50171578
1997-03-12,725.44408546
1997-03-13,715.02613579
1997-03-14,719.26102509
1997-03-17,719.65951644
1997-03-18,715.3435747
1997-03-19,711.63805809
1997-03-20,710.26139235
1997-03-21,711.89861593
1997-03-24,715.28754943
1997-03-25,712.90848801
1997-03-26,712.92453249
1997-03-27,699.85283804
1997-03-28,699.85283804
1997-03-31,686.43545077
1997-04-01,686.46041394
1997-04-02,680.24096813
1997-04-03,678.67754278
1997-04-04,684.1857817
1997-04-07,689.40491247
1997-04-08,691.80192428
1997-04-09,688.25853316
1997-04-10,686.9983586
1997-04-11,671.13601618
1997-04-14,672.85966749
1997-04-15,681.22572219
1997-04-16,687.20542993
1997-04-17,686.72065426
1997-04-18,688.75202844
1997-04-21,682.48044214
1997-04-22,689.74473141
1997-04-23,690.34386676
1997-04-24,688.50814895
1997-04-25,682.68419105
1997-04-28,688.13972945
1997-04-29,703.20293151
1997-04-30,709.51424892
1997-05-01,709.64332318
1997-05-02,721.79458964
1997-05-05,735.59602586
1997-05-06,735.45640513
1997-05-07,727.51394109
1997-05-08,731.85002671
1997-05-09,734.84183356
1997-05-12,743.26913161
1997-05-13,739.792705
1997-05-14,742.11534001
1997-05-15,745.5745783
1997-05-16,739.74155214
1997-05-19,742.19985791
1997-05-20,746.27033843
1997-05-21,744.77620165
1997-05-22,744.34898894
1997-05-23,752.46744567
1997-05-26,752.46744567
1997-05-27,753.4987169
1997-05-28,753.07448635
1997-05-29,753.52090658
1997-05-30,757.70987338
1997-06-02,757.24227817
1997-06-03,757.38534671
1997-06-04,754.76246201
1997-06-05,757.84041789
1997-06-06,766.58362584
1997-06-09,769.01888435
1997-06-10,771.45229354
1997-06-11,774.96310641
1997-06-12,786.09400714
1997-06-13,792.05864617
1997-06-16,792.01146307
1997-06-17,792.75841788
1997-06-18,790.40335118
1997-06-19,796.49905349
1997-06-20,795.94732085
1997-06-23,781.54939633
1997-06-24,791.69288003
1997-06-25,787.88202055
1997-06-26,784.66355365
1997-06-27,788.28158133
1997-06-30,785.59418716
1997-07-01,792.39719469
1997-07-02,802.11654016
1997-07-03,810.05240174
1997-07-04,810.05240174
1997-07-07,806.72099714
1997-07-08,812.35429658
1997-07-09,805.49790497
1997-07-10,811.10518271
1997-07-11,815.55955765
1997-07-14,815.80514282
1997-07-15,820.92228461
1997-07-16,829.95237408
1997-07-17,826.65895661
1997-07-18,816.66290141
1997-07-21,812.72825039
1997-07-22,826.91324097
1997-07-23,829.41819891
1997-07-24,831.45539485
1997-07-25,830.3172621
1997-07-28,830.22445599
1997-07-29,836.01615523
1997-07-30,845.43809766
1997-07-31,848.27917687
1997-08-01,843.22964765
1997-08-04,845.24140866
1997-08-05,848.08556287
1997-08-06,856.05630982
1997-08-07,850.90992311
1997-08-08,835.59748951
1997-08-11,839.83461572
1997-08-12,833.46175094
1997-08-13,831.73262837
1997-08-14,833.90895055
1997-08-15,818.96230529
1997-08-18,822.89915053
1997-08-19,833.61372629
1997-08-20,842.99047664
1997-08-21,832.69282259
1997-08-22,831.04047377
1997-08-25,832.01860661
1997-08-26,828.78828276
1997-08-27,828.658323
1997-08-28,823.78950721
1997-08-29,821.82881193
1997-09-01,821.82881193
1997-09-02,839.0215587
1997-09-03,842.12857292
1997-09-04,844.31988767
1997-09-05,844.43722668
1997-09-08,848.2298135
1997-09-09,849.8521445
1997-09-10,841.51529426
1997-09-11,837.17006444
1997-09-12,846.45388959
1997-09-15,846.39487293
1997-09-16,862.8997668
1997-09-17,862.06722825
1997-09-18,867.66656789
1997-09-19,867.70037248
1997-09-22,870.38331042
1997-09-23,865.66581651
1997-09-24,861.17034969
1997-09-25,857.01054647
1997-09-26,861.83646165
1997-09-29,869.2861647
1997-09-30,867.87000237
1997-10-01,872.24172717
1997-10-02,876.46293442
1997-10-03,880.40934568
1997-10-06,886.54775581
1997-10-07,892.81219959
1997-10-08,885.57578923
1997-10-09,885.21968487
1997-10-10,883.38733881
1997-10-13,884.83621938
1997-10-14,885.44250267
1997-10-15,884.08438962
1997-10-16,877.37309848
1997-10-17,866.83832253
1997-10-20,876.52447133
1997-10-21,890.15251293
1997-10-22,888.12047105
1997-10-23,873.30172885
1997-10-24,867.39772839
1997-10-27,810.87132494
1997-10-28,839.11494531
1997-10-29,842.2265596
1997-10-30,830.13486566
1997-10-31,838.29292887
1997-11-03,856.25002838
1997-11-04,858.01984615
1997-11-05,860.67337715
1997-11-06,858.84734861
1997-11-07,847.26993709
1997-11-10,844.6892373
1997-11-11,844.99620815
1997-11-12,831.26428829
1997-11-13,835.48994222
1997-11-14,844.84058211
1997-11-17,859.02584904
1997-11-18,852.38383321
1997-11-19,855.05018843
1997-11-20,867.90900376
1997-11-21,870.20419592
1997-11-24,859.3496939
1997-11-25,862.37290038
1997-11-26,864.07845566
1997-11-27,864.07845566
1997-11-28,867.08631724
1997-12-01,879.32080511
1997-12-02,878.39121568
1997-12-03,879.90790716
1997-12-04,877.95293593
1997-12-05,886.27472867
1997-12-08,887.11412803
1997-12-09,881.27404203
1997-12-10,873.33902547
