Date,FRANCE EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0038645825873
1999-01-04,1038.4260306879746
1999-01-05,1038.063583495033
1999-01-06,1051.0502174450896
1999-01-07,1034.692494932786
1999-01-08,1031.027999292371
1999-01-11,1023.7545496462279
1999-01-12,1009.0223443090937
1999-01-13,990.8094596151376
1999-01-14,989.2430549334434
1999-01-15,991.2955714941019
1999-01-18,1005.2097455483364
1999-01-19,996.6898168256993
1999-01-20,997.1404227130402
1999-01-21,995.5712054787347
1999-01-22,979.484020324984
1999-01-25,975.8360656285416
1999-01-26,974.3092508793733
1999-01-27,978.004502084359
1999-01-28,986.3724087131361
1999-01-29,994.1352341733821
1999-02-01,994.1648141109656
1999-02-02,992.6268198507531
1999-02-03,983.1527682329177
1999-02-04,975.742784989744
1999-02-05,972.9022246306711
1999-02-08,983.5715845816446
1999-02-09,974.5931608255069
1999-02-10,962.2522417182732
1999-02-11,969.3475414019064
1999-02-12,967.9062668563057
1999-02-15,962.8434201260081
1999-02-16,961.6226649525605
1999-02-17,955.6401968225701
1999-02-18,955.5733855319866
1999-02-19,956.6088687444172
1999-02-22,960.1341654058015
1999-02-23,963.3124006124532
1999-02-24,961.6886574620178
1999-02-25,959.5600499625693
1999-02-26,937.2007332760215
1999-03-01,927.526344466246
1999-03-02,929.514561377101
1999-03-03,922.3754902477125
1999-03-04,923.2290756744552
1999-03-05,942.1683402831525
1999-03-08,947.2624442661349
1999-03-09,947.34322759183
1999-03-10,951.3720238849367
1999-03-11,952.8386732699116
1999-03-12,957.707316616593
1999-03-15,958.5657023328868
1999-03-16,959.5131741940777
1999-03-17,964.9871921693067
1999-03-18,962.7374797784954
1999-03-19,964.2607935720463
1999-03-22,956.2244234451637
1999-03-23,939.3239676338566
1999-03-24,938.0200658188184
1999-03-25,951.8176860378094
1999-03-26,943.4213573733849
1999-03-29,949.7849495653852
1999-03-30,952.2232551559089
1999-03-31,963.2495855993878
1999-04-01,963.0347485940337
1999-04-02,960.8969477369593
1999-04-05,955.0625328978614
1999-04-06,965.0554818795563
1999-04-07,971.0515554489439
1999-04-08,973.3882178019583
1999-04-09,975.1139585335357
1999-04-12,978.4097454114847
1999-04-13,981.1410481880496
1999-04-14,986.9771244664609
1999-04-15,983.7843992090257
1999-04-16,982.6103445138441
1999-04-19,993.2515086624567
1999-04-20,981.7123455132004
1999-04-21,981.4900283663725
1999-04-22,979.927944293169
1999-04-23,980.703794114223
1999-04-26,984.9073445556153
1999-04-27,1009.5217154547202
1999-04-28,1007.7799899331445
1999-04-29,1008.5289737605449
1999-04-30,1018.8223021463746
1999-05-03,1028.0113846388344
1999-05-04,1036.921210665868
1999-05-05,1031.0732916313782
1999-05-06,1036.9880927681522
1999-05-07,1032.64610622832
1999-05-10,1038.8089865568304
1999-05-11,1030.696115486708
1999-05-12,1027.5981193743314
1999-05-13,1033.8436898030482
1999-05-14,1031.9668787626374
1999-05-17,1009.9946494728275
1999-05-18,1013.9399569421955
1999-05-19,1027.1968659968065
1999-05-20,1038.0482640530163
1999-05-21,1033.5079561599991
1999-05-24,1035.2214125791932
1999-05-25,1031.849107397443
1999-05-26,1019.2942793296739
1999-05-27,1011.283560623304
1999-05-28,1004.4332060248912
1999-05-31,1007.4474309205284
1999-06-01,1007.9378494720955
1999-06-02,996.7059936143145
1999-06-03,1000.408873245388
1999-06-04,992.8278290093169
1999-06-07,1003.4469442553601
1999-06-08,1026.4765005614915
1999-06-09,1031.0594301933797
1999-06-10,1030.736803441998
1999-06-11,1031.4953888208051
1999-06-14,1022.64240926143
1999-06-15,1029.1207232497864
1999-06-16,1026.3171025832416
1999-06-17,1033.2694429754001
1999-06-18,1046.7106796609364
1999-06-21,1041.461512088557
1999-06-22,1035.1717051686674
1999-06-23,1026.2414205600126
1999-06-24,1025.364236332078
1999-06-25,1033.3360910084102
1999-06-28,1031.0738853276414
1999-06-29,1032.3448095955857
1999-06-30,1035.5575897686945
1999-07-01,1045.6196253848082
1999-07-02,1043.022593849424
1999-07-05,1055.3796457221276
1999-07-06,1052.647559738264
1999-07-07,1046.6810031001926
1999-07-08,1038.6770083529466
1999-07-09,1043.5980201515445
1999-07-12,1040.6698897946976
1999-07-13,1029.4957710959404
