Date,CANADA EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1021.3085794337194
1999-01-05,1038.324361192559
1999-01-06,1071.3704258336306
1999-01-07,1073.2556853167368
1999-01-08,1085.772536692419
1999-01-11,1093.9044852918196
1999-01-12,1071.3897654498592
1999-01-13,1045.6962825611506
1999-01-14,1031.4123912378334
1999-01-15,1056.2627297543736
1999-01-18,1055.0547406021765
1999-01-19,1043.7874927854812
1999-01-20,1029.1404703103742
1999-01-21,1030.9116386924516
1999-01-22,1016.5086707422942
1999-01-25,1017.0742847208721
1999-01-26,1012.750581881144
1999-01-27,1004.5391537366463
1999-01-28,998.5706265876718
1999-01-29,1024.25660827796
1999-02-01,1029.3489625479617
1999-02-02,1014.493212907164
1999-02-03,1014.1397077938063
1999-02-04,1023.3100249442554
1999-02-05,1032.5749808006692
1999-02-08,1033.5518205777914
1999-02-09,1003.5990416662501
1999-02-10,1003.282918173873
1999-02-11,1027.147372503726
1999-02-12,1018.3200146273597
1999-02-15,1019.3435999253702
1999-02-16,1000.3153283181581
1999-02-17,988.0741659717044
1999-02-18,995.7083752176953
1999-02-19,999.6887296010165
1999-02-22,1004.8984346141883
1999-02-23,994.9262425971843
1999-02-24,979.2297690887158
1999-02-25,978.0458839236514
1999-02-26,978.2738542406181
1999-03-01,967.0698670805439
1999-03-02,954.1298661879943
1999-03-03,949.1480917582052
1999-03-04,966.3983277822676
1999-03-05,992.0198089466423
1999-03-08,1008.5006970828108
1999-03-09,1001.9747569083893
1999-03-10,1008.0780229001701
1999-03-11,1008.4318911898591
1999-03-12,1011.5330997357197
1999-03-15,1012.005051347805
1999-03-16,1011.1764702055884
1999-03-17,1016.4027175644235
1999-03-18,1023.1679547391163
1999-03-19,1030.1513750257411
1999-03-22,1031.994895085144
1999-03-23,1008.1828742512655
1999-03-24,1018.4301234212263
1999-03-25,1022.2766669972156
1999-03-26,1026.694317414206
1999-03-29,1028.552926580619
1999-03-30,1012.5213373616708
1999-03-31,1015.6051116331339
1999-04-01,1016.5537839509565
1999-04-02,1021.2356912632692
1999-04-05,1029.6740391618944
1999-04-06,1016.3037691507326
1999-04-07,1014.7611577736961
1999-04-08,1021.5185882431022
1999-04-09,1017.8544684832987
1999-04-12,1034.6752255006877
1999-04-13,1040.2881118920643
1999-04-14,1046.6921652318579
1999-04-15,1075.4983613524448
1999-04-16,1101.7657494905532
1999-04-19,1105.6672357904715
1999-04-20,1093.7267120223653
1999-04-21,1103.0592448989682
1999-04-22,1112.1062143438412
1999-04-23,1117.9582620656038
1999-04-26,1106.795903177664
1999-04-27,1112.7305388901027
1999-04-28,1135.598316242015
1999-04-29,1150.863057200474
1999-04-30,1152.9955564263887
1999-05-03,1165.3855294597731
1999-05-04,1163.9720083969682
1999-05-05,1162.335900231434
1999-05-06,1166.0930083723542
1999-05-07,1148.57420365083
1999-05-10,1141.460095721855
1999-05-11,1143.3343272632028
1999-05-12,1132.8378392270881
1999-05-13,1139.777241268539
1999-05-14,1114.8648425609686
1999-05-17,1119.034249421544
1999-05-18,1118.7350394615046
1999-05-19,1117.3565046424126
1999-05-20,1111.89376833206
1999-05-21,1115.7799171227991
1999-05-24,1118.5392821716705
1999-05-25,1092.4141866554749
1999-05-26,1082.0215821566117
1999-05-27,1067.0332060424919
1999-05-28,1076.577196663265
1999-05-31,1080.431292646061
1999-06-01,1074.9432232647025
1999-06-02,1077.18577690856
1999-06-03,1080.4206021267833
1999-06-04,1095.8906752842638
1999-06-07,1105.3515164739897
1999-06-08,1091.651460529926
1999-06-09,1088.9399338169956
1999-06-10,1096.4912982870906
1999-06-11,1103.3225149548537
1999-06-14,1103.0472100730392
1999-06-15,1096.3012184612683
1999-06-16,1102.5973410366678
1999-06-17,1101.5404282938644
1999-06-18,1111.911144615917
1999-06-21,1106.159127070739
1999-06-22,1101.9490844815184
1999-06-23,1104.9503795766896
1999-06-24,1096.9583881934618
1999-06-25,1113.4062306416786
1999-06-28,1111.6576616840591
1999-06-29,1113.8608272583929
1999-06-30,1123.4752871546837
1999-07-01,1131.8873953561003
1999-07-02,1153.3187113542986
1999-07-05,1172.929755158357
1999-07-06,1166.715330593982
1999-07-07,1152.1293623317374
1999-07-08,1151.4740537615435
1999-07-09,1160.354070164847
1999-07-12,1149.6401892878146
1999-07-13,1136.829182043813
1999-07-14,1157.7963469284061
1999-07-15,1158.5433729905196
1999-07-16,1155.4137862002376
1999-07-19,1147.5302017357778
1999-07-20,1130.6535756851458
1999-07-21,1119.508249405023
1999-07-22,1117.7610746989467
1999-07-23,1114.2728161281289
1999-07-26,1100.9414031919753
1999-07-27,1104.577263267094
1999-07-28,1114.6225581331
1999-07-29,1109.017081018153
1999-07-30,1123.9132464230972
1999-08-02,1118.250088780178
1999-08-03,1126.0813384530595
