Date,UNITED KINGDOM EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,988.1244043891319
1999-01-05,991.6543649174413
1999-01-06,1015.8165555904869
1999-01-07,1003.8209899985537
1999-01-08,1004.3402535464716
1999-01-11,1006.3912092543795
1999-01-12,995.8102941809477
1999-01-13,984.9615991073186
1999-01-14,983.0434975382517
1999-01-15,985.8499194580127
1999-01-18,996.338036751139
1999-01-19,989.1369348245225
1999-01-20,986.6369931274869
1999-01-21,984.1929367804801
1999-01-22,969.9239129827002
1999-01-25,975.477922084559
1999-01-26,983.7564211457807
1999-01-27,990.9450301565794
1999-01-28,997.3455044847819
1999-01-29,1003.5636202546328
1999-02-01,1026.9642918138795
1999-02-02,1052.4333603979821
1999-02-03,1042.9984990413705
1999-02-04,1043.639979219383
1999-02-05,1037.2172398903442
1999-02-08,1036.007954849339
1999-02-09,1030.7802257754431
1999-02-10,1024.6815290639704
1999-02-11,1029.4263407571466
1999-02-12,1034.0043772049519
1999-02-15,1035.094981926311
1999-02-16,1045.7918168186177
1999-02-17,1043.398608034809
1999-02-18,1039.3760941426922
1999-02-19,1034.0575123334452
1999-02-22,1032.3424615324914
1999-02-23,1030.4184230115102
1999-02-24,1034.6372112557256
1999-02-25,1034.7672606364474
1999-02-26,1038.9066524005789
1999-03-01,1037.3148449228954
1999-03-02,1045.7891625920136
1999-03-03,1050.392793431314
1999-03-04,1050.3458059834488
1999-03-05,1060.413752178858
1999-03-08,1062.0516285697176
1999-03-09,1068.8103710081273
1999-03-10,1083.640243788703
1999-03-11,1096.7188632328798
1999-03-12,1110.692829686677
1999-03-15,1090.8684866184226
1999-03-16,1091.726934356563
1999-03-17,1083.7382862514091
1999-03-18,1079.3071212485477
1999-03-19,1088.49097034124
1999-03-22,1084.7837654105024
1999-03-23,1079.1250807429453
1999-03-24,1082.1591675686632
1999-03-25,1082.5640304692854
1999-03-26,1077.2853482026437
1999-03-29,1084.6507183951803
1999-03-30,1082.3867924212725
1999-03-31,1085.6296888719608
1999-04-01,1075.1605316912323
1999-04-02,1074.4236615449017
1999-04-05,1072.614980276636
1999-04-06,1067.0442145195138
1999-04-07,1083.217253054581
1999-04-08,1094.5789771897144
1999-04-09,1107.1712316257353
1999-04-12,1110.4047639712
1999-04-13,1123.1758016978768
1999-04-14,1131.167383344086
1999-04-15,1142.9659088548715
1999-04-16,1157.5928811302276
1999-04-19,1171.9269644169094
1999-04-20,1155.322267403951
1999-04-21,1145.6430025158375
1999-04-22,1156.8189503384313
1999-04-23,1163.4607580535012
1999-04-26,1167.2831899514663
1999-04-27,1177.8912939390586
1999-04-28,1175.3636167652496
1999-04-29,1166.8849841803253
1999-04-30,1175.1229756155467
1999-05-03,1175.1229756155467
1999-05-04,1186.8486432142772
1999-05-05,1181.970359811772
1999-05-06,1193.4920803016578
1999-05-07,1181.8906034288145
1999-05-10,1174.4077666604146
1999-05-11,1169.2991753121457
1999-05-12,1159.6372017192348
1999-05-13,1166.605018923493
1999-05-14,1148.4252930545952
1999-05-17,1129.0686647293169
1999-05-18,1132.3966168120376
1999-05-19,1139.170491265512
1999-05-20,1141.2132979015817
1999-05-21,1129.9046424374205
1999-05-24,1122.1650193237567
1999-05-25,1111.0679270486223
1999-05-26,1106.0621659859191
1999-05-27,1106.7859959564917
1999-05-28,1110.2119955818791
1999-05-31,1110.8009123294107
1999-06-01,1121.4062863489355
1999-06-02,1132.0027901398694
1999-06-03,1136.4942220301432
1999-06-04,1142.9001142804075
1999-06-07,1148.9640326006245
1999-06-08,1152.049294459216
1999-06-09,1151.8944496387946
1999-06-10,1151.695041654019
1999-06-11,1167.7417706164058
1999-06-14,1164.8543435061183
1999-06-15,1157.7445856489767
1999-06-16,1164.6280967552611
1999-06-17,1168.2068598764693
1999-06-18,1175.214671663759
1999-06-21,1181.2929356983018
1999-06-22,1172.9996843818478
1999-06-23,1155.2493760565637
1999-06-24,1150.1312315801213
1999-06-25,1151.0030310400655
1999-06-28,1144.6721015109397
1999-06-29,1133.277116911873
1999-06-30,1130.9867165893647
1999-07-01,1145.1347433125932
1999-07-02,1147.4312750701647
1999-07-05,1157.4934303773066
1999-07-06,1161.8381493670413
1999-07-07,1158.4402542085288
1999-07-08,1156.0747917542092
1999-07-09,1151.466986051636
1999-07-12,1151.1505944816863
1999-07-13,1139.333387677115
1999-07-14,1144.0445166420154
1999-07-15,1155.7177271196379
1999-07-16,1153.5725136853691
1999-07-19,1143.1151943959055
1999-07-20,1143.3036029185976
1999-07-21,1136.6730624072106
1999-07-22,1143.8159439818542
1999-07-23,1130.6366323404957
1999-07-26,1137.4387242134665
1999-07-27,1140.8634464767765
1999-07-28,1141.7517019595266
1999-07-29,1148.5442489822397
1999-07-30,1163.3919355365463
1999-08-02,1165.505789300175
1999-08-03,1167.2153713891644
