Date,JAPAN EQUAL WEIGHTED
1994-06-30,1734.9557215
1994-07-29,1684.62836816
1994-08-31,1693.28240329
1994-09-30,1649.57115193
1994-10-31,1688.00355582
1994-11-30,1597.92507463
1994-12-30,1606.48688466
1995-01-31,1534.62187761
1995-02-28,1442.82773186
1995-03-31,1564.57425835
1995-04-28,1633.76273981
1995-05-31,1509.26331008
1995-06-30,1428.71787163
1995-07-31,1542.42428867
1995-08-31,1516.20944534
1995-09-29,1512.22948926
1995-10-31,1436.41848758
1995-11-30,1512.61826056
1995-12-29,1586.38543922
1996-01-31,1589.11494632
1996-02-29,1569.78166305
1996-03-29,1629.30931775
1996-04-30,1739.28423114
1996-05-31,1652.79037218
1996-06-28,1653.64994151
1996-07-31,1585.40804791
1996-08-30,1505.18427897
1996-09-30,1545.156415
1996-10-31,1443.93497826
1996-11-29,1438.59627359
1996-12-31,1328.74333854
1997-01-01,1328.74333854
1997-01-02,1333.05016901
1997-01-03,1327.25679263
1997-01-06,1339.58434103
1997-01-07,1314.64964597
1997-01-08,1291.02648877
1997-01-09,1251.74367069
1997-01-10,1208.59037813
1997-01-13,1246.49108488
1997-01-14,1246.15399974
1997-01-15,1243.28157408
1997-01-16,1257.2406081
1997-01-17,1247.20268667
1997-01-20,1212.21564285
1997-01-21,1200.64596673
1997-01-22,1215.9099461
1997-01-23,1201.95700406
1997-01-24,1190.72515143
1997-01-27,1165.47167453
1997-01-28,1169.86419508
1997-01-29,1181.96599359
1997-01-30,1165.31804944
1997-01-31,1198.19832897
1997-02-03,1187.55975668
1997-02-04,1191.32343191
1997-02-05,1164.96455663
1997-02-06,1156.82884874
1997-02-07,1137.38524936
1997-02-10,1164.37852138
1997-02-11,1162.10785554
1997-02-12,1164.01255726
1997-02-13,1163.63382162
1997-02-14,1174.92656411
1997-02-17,1175.14125468
1997-02-18,1166.37684521
1997-02-19,1171.52469311
1997-02-20,1202.7723631
1997-02-21,1211.5207303
1997-02-24,1215.60937739
1997-02-25,1219.05175966
1997-02-26,1216.03771529
1997-02-27,1223.4369178
1997-02-28,1207.15629195
1997-03-03,1193.16947738
1997-03-04,1186.54389751
1997-03-05,1174.62573428
1997-03-06,1157.04527612
1997-03-07,1160.49325511
1997-03-10,1161.31161003
1997-03-11,1164.48237027
1997-03-12,1152.30487108
1997-03-13,1136.01125479
1997-03-14,1137.58390132
1997-03-17,1137.02287738
1997-03-18,1162.22456212
1997-03-19,1167.68356872
1997-03-20,1161.15649758
1997-03-21,1179.00970378
1997-03-24,1154.68731156
1997-03-25,1164.45198374
1997-03-26,1169.21308448
1997-03-27,1162.94950554
1997-03-28,1160.62549745
1997-03-31,1157.37301939
1997-04-01,1153.6900724
1997-04-02,1167.21170224
1997-04-03,1166.60580771
1997-04-04,1141.68765513
1997-04-07,1110.98924384
1997-04-08,1115.93097188
1997-04-09,1092.72304018
1997-04-10,1081.16988952
1997-04-11,1096.4250156
1997-04-14,1088.22893523
1997-04-15,1100.65753754
1997-04-16,1114.5712795
1997-04-17,1124.23065582
1997-04-18,1142.17715757
1997-04-21,1163.32270632
1997-04-22,1158.8414891
1997-04-23,1170.64604942
1997-04-24,1167.42421668
1997-04-25,1162.36963671
1997-04-28,1158.97266249
1997-04-29,1157.32684908
1997-04-30,1182.31287906
1997-05-01,1196.9016775
1997-05-02,1200.34498303
1997-05-05,1200.15558695
1997-05-06,1244.89394537
1997-05-07,1243.40606377
1997-05-08,1251.0896309
1997-05-09,1261.30687364
1997-05-12,1313.59084399
1997-05-13,1313.33453122
1997-05-14,1324.50029335
1997-05-15,1344.10569682
1997-05-16,1367.12965929
1997-05-19,1365.94232766
1997-05-20,1391.45297643
1997-05-21,1361.25342572
1997-05-22,1344.00149501
1997-05-23,1356.03285297
1997-05-26,1346.1830972
1997-05-27,1333.47025646
1997-05-28,1367.22018492
1997-05-29,1361.35482311
1997-05-30,1337.07597495
1997-06-02,1361.47767689
1997-06-03,1372.55178707
1997-06-04,1378.42420274
1997-06-05,1380.1160389
1997-06-06,1381.07363472
1997-06-09,1404.84003661
1997-06-10,1419.2761603
1997-06-11,1429.42760872
1997-06-12,1411.97812457
1997-06-13,1401.4494223
1997-06-16,1424.22518457
1997-06-17,1422.01236257
1997-06-18,1419.96350116
1997-06-19,1411.47544371
1997-06-20,1397.31007468
1997-06-23,1387.79101365
1997-06-24,1390.24756598
1997-06-25,1418.68140346
1997-06-26,1421.26921755
1997-06-27,1402.71596432
1997-06-30,1412.38719333
1997-07-01,1384.58637386
1997-07-02,1390.2766932
1997-07-03,1397.30617795
1997-07-04,1385.3135453
1997-07-07,1385.34188646
1997-07-08,1389.12234621
1997-07-09,1377.91000606
1997-07-10,1375.01145267
1997-07-11,1366.50071366
1997-07-14,1378.92792438
1997-07-15,1358.51860009
1997-07-16,1358.24779952
1997-07-17,1357.93081852
1997-07-18,1354.65697547
1997-07-21,1350.8563581
1997-07-22,1345.31728405
1997-07-23,1340.89551083
1997-07-24,1346.75994533
1997-07-25,1343.9153023
1997-07-28,1342.49942129
1997-07-29,1331.15529523
1997-07-30,1311.58034965
1997-07-31,1311.22682303
1997-08-01,1282.01377596
1997-08-04,1272.53034348
1997-08-05,1256.88338342
1997-08-06,1266.96550008
1997-08-07,1255.84426026
1997-08-08,1289.11178516
1997-08-11,1254.58970835
1997-08-12,1267.29775947
1997-08-13,1273.69381951
1997-08-14,1258.82765131
1997-08-15,1269.41090743
1997-08-18,1251.12861286
1997-08-19,1244.40570303
1997-08-20,1257.26106286
1997-08-21,1259.25519246
1997-08-22,1235.45893374
1997-08-25,1221.17162883
1997-08-26,1231.3213642
1997-08-27,1211.44852939
1997-08-28,1211.94961312
1997-08-29,1188.40810565
1997-09-01,1163.60109386
1997-09-02,1167.02627224
1997-09-03,1194.45856434
1997-09-04,1190.53698642
1997-09-05,1186.0633391
1997-09-08,1182.2273428
1997-09-09,1204.96409733
1997-09-10,1204.31564796
1997-09-11,1176.88548505
1997-09-12,1152.46203568
1997-09-15,1157.63625725
1997-09-16,1145.90556704
1997-09-17,1125.08574415
1997-09-18,1112.36821139
1997-09-19,1112.25590007
1997-09-22,1112.83216198
1997-09-23,1118.64819838
1997-09-24,1145.77194638
1997-09-25,1129.88340341
1997-09-26,1099.79325058
1997-09-29,1093.09396332
1997-09-30,1096.13865937
1997-10-01,1092.26658078
1997-10-02,1069.07838382
1997-10-03,1063.71250742
1997-10-06,1077.60948615
1997-10-07,1063.64450752
1997-10-08,1070.01409732
1997-10-09,1057.53142177
1997-10-10,1067.04603303
1997-10-13,1049.32245922
1997-10-14,1044.80853341
1997-10-15,1054.59791119
1997-10-16,1085.97371198
1997-10-17,1078.361144
1997-10-20,1062.82335086
1997-10-21,1074.03682448
1997-10-22,1102.21653599
1997-10-23,1070.38060358
1997-10-24,1080.17107415
1997-10-27,1063.98542868
1997-10-28,1051.82657426
1997-10-29,1077.87915213
1997-10-30,1057.50371336
1997-10-31,1065.33974439
1997-11-03,1060.75346517
1997-11-04,1047.34920595
1997-11-05,1033.67398748
1997-11-06,1027.21917454
1997-11-07,987.76358107
1997-11-10,975.96431731
1997-11-11,974.52784919
1997-11-12,944.31430689
1997-11-13,940.33796065
1997-11-14,913.42803561
1997-11-17,982.19138194
1997-11-18,994.87317937
1997-11-19,931.58877048
1997-11-20,950.59550664
1997-11-21,979.93845899
1997-11-24,972.78534129
1997-11-25,908.0926777
1997-11-26,908.26503212
1997-11-27,934.04119569
1997-11-28,933.87213201
1997-12-01,947.5852852
1997-12-02,948.63356739
1997-12-03,930.35435994
1997-12-04,902.95309429
1997-12-05,895.03405374
1997-12-08,870.39817468
1997-12-09,899.43779075
1997-12-10,895.63457814
1997-12-11,866.7783643
1997-12-12,853.53342918
1997-12-15,848.03235263
1997-12-16,850.62713155
1997-12-17,897.90249633
1997-12-18,871.12732354
1997-12-19,822.38676785
1997-12-22,780.99410771
1997-12-23,783.63869296
1997-12-24,786.77185405
1997-12-25,787.04949859
1997-12-26,787.09038115
1997-12-29,789.16893325
1997-12-30,817.58672446
1997-12-31,815.79466742
1998-01-01,815.79466742
1998-01-02,801.61497548
1998-01-05,783.204621
1998-01-06,775.54053259
1998-01-07,786.85470916
1998-01-08,781.47134553
1998-01-09,780.77478102
1998-01-12,756.05909406
1998-01-13,763.24535309
1998-01-14,780.73511238
1998-01-15,787.07720158
1998-01-16,838.86205064
1998-01-19,867.94774515
1998-01-20,878.20765533
1998-01-21,912.97962675
1998-01-22,916.22128539
1998-01-23,943.29441518
1998-01-26,997.62799395
1998-01-27,1018.07373174
1998-01-28,1040.34813461
1998-01-29,1021.90647499
1998-01-30,980.0942396
1998-02-02,972.2171104
1998-02-03,994.09825814
1998-02-04,1006.66616485
1998-02-05,1029.83749158
1998-02-06,1035.83636747
1998-02-09,1048.86358769
1998-02-10,1072.35982356
