Date,AUSTRALIA EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1016.4558595275315
1999-01-05,1013.9825459209451
1999-01-06,1037.1289494334105
1999-01-07,1053.7250217491387
1999-01-08,1049.8041734383346
1999-01-11,1066.913809178021
1999-01-12,1070.1809937735002
1999-01-13,1047.0302903820382
1999-01-14,1044.577447306076
1999-01-15,1049.9190927675172
1999-01-18,1052.6847398301538
1999-01-19,1062.8492929830309
1999-01-20,1070.4855228848226
1999-01-21,1062.254787326384
1999-01-22,1046.1895501353927
1999-01-25,1035.8843269539404
1999-01-26,1033.5887384177543
1999-01-27,1035.6072154902863
1999-01-28,1030.3893243357616
1999-01-29,1039.7151931662759
1999-02-01,1055.5514572864477
1999-02-02,1060.440967543274
1999-02-03,1071.9454237731409
1999-02-04,1082.6766902955849
1999-02-05,1090.757382694224
1999-02-08,1092.099059765241
1999-02-09,1085.7709741029173
1999-02-10,1065.723198301672
1999-02-11,1073.3674832802337
1999-02-12,1073.3521505831159
1999-02-15,1068.1458773474865
1999-02-16,1051.1355269651997
1999-02-17,1045.3634596422855
1999-02-18,1047.3423625454673
1999-02-19,1068.9223867237718
1999-02-22,1070.4161090359892
1999-02-23,1070.020067110553
1999-02-24,1059.880973924395
1999-02-25,1043.846481722204
1999-02-26,1024.3503799706716
1999-03-01,1029.4302763750713
1999-03-02,1028.1074779884673
1999-03-03,1032.9593172130212
1999-03-04,1030.528440446645
1999-03-05,1045.7439038807854
1999-03-08,1054.5689796389022
1999-03-09,1065.4824451583884
1999-03-10,1064.1444049636584
1999-03-11,1068.3487562271469
1999-03-12,1076.1325205706362
1999-03-15,1078.789742443369
1999-03-16,1066.6931289702777
1999-03-17,1059.9178694902841
1999-03-18,1065.4541498362378
1999-03-19,1069.6574971558232
1999-03-22,1076.5875237140435
1999-03-23,1084.6886114719305
1999-03-24,1078.8056898072791
1999-03-25,1079.8828091621453
1999-03-26,1078.2342858220754
1999-03-29,1072.950639905627
1999-03-30,1063.5311288725197
1999-03-31,1058.5153681217496
1999-04-01,1071.173546789425
1999-04-02,1065.7962539041378
1999-04-05,1063.1076074614944
1999-04-06,1066.6550170406342
1999-04-07,1063.2941298721892
1999-04-08,1058.8865408880079
1999-04-09,1065.8305067081014
1999-04-12,1068.0135814680953
1999-04-13,1083.036911339705
1999-04-14,1089.0455499764366
1999-04-15,1087.6870462178056
1999-04-16,1123.041832218347
1999-04-19,1138.0623277528848
1999-04-20,1124.5689270191408
1999-04-21,1110.5425557800113
1999-04-22,1132.09831619202
1999-04-23,1138.2334215484918
1999-04-26,1129.5644146401175
1999-04-27,1135.2053081845563
1999-04-28,1133.7764961488308
1999-04-29,1147.268628425071
1999-04-30,1161.3748569588995
1999-05-03,1158.6965279267388
1999-05-04,1162.310651592708
1999-05-05,1150.400252635376
1999-05-06,1177.8190532029937
1999-05-07,1177.8382537086811
1999-05-10,1158.5297021965312
1999-05-11,1151.7030972519212
1999-05-12,1150.422861365294
1999-05-13,1148.650401854869
1999-05-14,1157.597096994527
1999-05-17,1142.880609330817
1999-05-18,1156.4129701339598
1999-05-19,1134.7131844677783
1999-05-20,1121.0434219181868
1999-05-21,1117.4445623447964
1999-05-24,1116.5018349392928
1999-05-25,1102.1112718137133
1999-05-26,1087.6275339013337
1999-05-27,1081.9090974839241
1999-05-28,1081.8102442452546
1999-05-31,1075.8100836965857
1999-06-01,1068.119788570433
1999-06-02,1070.6211118398871
1999-06-03,1084.3020747595879
1999-06-04,1095.1241885782715
1999-06-07,1105.2953123841148
1999-06-08,1111.5857342144175
1999-06-09,1117.9071396756171
1999-06-10,1119.5667864633829
1999-06-11,1120.6853091829921
1999-06-14,1117.9061241523286
1999-06-15,1109.501811625402
1999-06-16,1106.9495609089429
1999-06-17,1109.2012906134466
1999-06-18,1106.5498092582768
1999-06-21,1100.3877152545303
1999-06-22,1106.7983682299123
1999-06-23,1109.4632636225813
1999-06-24,1105.7646107306168
1999-06-25,1112.735646791711
1999-06-28,1113.128929905709
1999-06-29,1105.6319081997913
1999-06-30,1107.002867433207
1999-07-01,1135.3505403482893
1999-07-02,1153.084728960796
1999-07-05,1162.9593636101972
1999-07-06,1167.5177525794675
1999-07-07,1154.2614039375308
1999-07-08,1164.1610451889994
1999-07-09,1151.923160682356
1999-07-12,1149.4740642994907
1999-07-13,1146.233419379072
1999-07-14,1145.481734570224
1999-07-15,1157.723607273545
1999-07-16,1143.8309772357854
1999-07-19,1138.8779961817813
1999-07-20,1145.2003592061028
1999-07-21,1133.3915435249107
1999-07-22,1131.7288350069075
1999-07-23,1132.8267253847546
1999-07-26,1126.3117716498002
1999-07-27,1122.2566250958755
1999-07-28,1127.783765932753
1999-07-29,1129.9810650587183
1999-07-30,1127.2254913692684
1999-08-02,1113.4026099669659
