Date,HONG KONG EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,979.7738332620402
1999-01-05,990.9449003483246
1999-01-06,1011.8938924935238
1999-01-07,1047.123647039971
1999-01-08,1050.779142443901
1999-01-11,1043.6002281093795
1999-01-12,1042.5299962784948
1999-01-13,1005.7563043285228
1999-01-14,981.8872569391265
1999-01-15,992.3686280191284
1999-01-18,1000.0722036706691
1999-01-19,980.0383425255144
1999-01-20,973.917146492366
1999-01-21,951.4300768321634
1999-01-22,919.8638684137753
1999-01-25,897.9712177799164
1999-01-26,908.3624548762323
1999-01-27,926.2839841227742
1999-01-28,900.7396751196775
1999-01-29,909.8849718491334
1999-02-01,920.2254136952304
1999-02-02,912.9652761854451
1999-02-03,905.8797931489643
1999-02-04,906.8162365602094
1999-02-05,892.4332314505409
1999-02-08,886.7666830531597
1999-02-09,895.3654374663947
1999-02-10,876.0667436085116
1999-02-11,879.1617778787901
1999-02-12,903.7338787964761
1999-02-15,909.1376821907935
1999-02-16,909.196347589399
1999-02-17,909.2902279768781
1999-02-18,909.2432853598248
1999-02-19,888.8493853269965
1999-02-22,888.0483179704022
1999-02-23,894.3566886045343
1999-02-24,912.3540314288924
1999-02-25,930.7721831833525
1999-02-26,943.5197232431407
1999-03-01,956.7912828972885
1999-03-02,946.6035876577092
1999-03-03,948.853105719958
1999-03-04,947.7056226043701
1999-03-05,960.0195755979888
1999-03-08,959.478770415426
1999-03-09,984.1968674994197
1999-03-10,998.7474003128334
1999-03-11,996.7897476099433
1999-03-12,1017.9376895464866
1999-03-15,1015.6744081862881
1999-03-16,1017.2113587703444
1999-03-17,1020.8527060484815
1999-03-18,1000.3095038939867
1999-03-19,1035.3209853062622
1999-03-22,1040.7799712029164
1999-03-23,1045.6612231891659
1999-03-24,1019.3659576137612
1999-03-25,1030.5391577159116
1999-03-26,1027.511488749392
1999-03-29,1019.8190115739302
1999-03-30,1037.8608004953237
1999-03-31,1046.4339652732847
1999-04-01,1044.8880558041349
1999-04-02,1044.8139048502053
1999-04-05,1044.8071643762569
1999-04-06,1044.8408676157317
1999-04-07,1078.044740596719
1999-04-08,1081.4597226287024
1999-04-09,1113.4710570692614
1999-04-12,1112.5695393608069
1999-04-13,1135.4349556213492
1999-04-14,1128.1126799434464
1999-04-15,1145.0032848115945
1999-04-16,1192.7194050041073
1999-04-19,1218.9185634335402
1999-04-20,1185.0351879640316
1999-04-21,1209.042975442442
1999-04-22,1246.490482643861
1999-04-23,1233.2230561015758
1999-04-26,1245.4252819364885
1999-04-27,1288.1415211497722
1999-04-28,1273.181231701752
1999-04-29,1274.1090960534036
1999-04-30,1294.2168275821127
1999-05-03,1304.072238822946
1999-05-04,1317.9924058081267
1999-05-05,1336.814235917923
1999-05-06,1352.9662327282867
1999-05-07,1297.5717648217994
1999-05-10,1296.3877682372224
1999-05-11,1293.4134553257284
1999-05-12,1311.7689496151597
1999-05-13,1315.4173876426273
1999-05-14,1303.1787251977723
1999-05-17,1279.3035540065289
1999-05-18,1279.7726904355443
1999-05-19,1269.7400244601365
1999-05-20,1270.3246842108647
1999-05-21,1260.8508926791042
1999-05-24,1291.3397432762308
1999-05-25,1287.1595787070273
1999-05-26,1291.8507830504816
1999-05-27,1283.8200462246439
1999-05-28,1256.9068023085663
1999-05-31,1258.1903258097568
1999-06-01,1272.5185855821921
1999-06-02,1278.4602213042335
1999-06-03,1279.5554757456425
1999-06-04,1277.478973700559
1999-06-07,1300.279850783515
1999-06-08,1308.8156319930586
1999-06-09,1316.3333142733106
1999-06-10,1317.490690876944
1999-06-11,1328.441997520121
1999-06-14,1338.1133776542565
1999-06-15,1330.3997517154596
1999-06-16,1342.867741678494
1999-06-17,1362.532701077515
1999-06-18,1362.5151374607074
1999-06-21,1416.778051023161
1999-06-22,1440.6783852552858
1999-06-23,1436.5033018768877
1999-06-24,1412.504489415112
1999-06-25,1407.3433562557436
1999-06-28,1420.900677511241
1999-06-29,1422.2138888329685
1999-06-30,1409.7712443198761
1999-07-01,1409.8257559713184
1999-07-02,1453.115160771017
1999-07-05,1483.2596108769967
1999-07-06,1481.4444049624813
1999-07-07,1466.696911228516
1999-07-08,1461.0642775100475
1999-07-09,1468.0256160198185
1999-07-12,1458.1495110884225
1999-07-13,1443.5029785760519
1999-07-14,1396.5156863771465
1999-07-15,1416.968968363113
1999-07-16,1397.9626135661981
1999-07-19,1388.4067612762274
1999-07-20,1397.532319007135
1999-07-21,1390.7041392753258
1999-07-22,1387.0466807848538
1999-07-23,1359.8366809210388
1999-07-26,1333.279615059838
1999-07-27,1340.53313730831
1999-07-28,1357.9606230135887
1999-07-29,1362.5766548506629
1999-07-30,1366.947406132767
1999-08-02,1384.9996146926023
1999-08-03,1394.5201399528019
1999-08-04,1396.0646187455184
1999-08-05,1359.0087700825218
