Date,PERU MOMENTUM
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1000.6918147578707
1999-01-05,1023.9899491856002
1999-01-06,1049.8393164257952
1999-01-07,1045.250766099599
1999-01-08,1060.9867940884483
1999-01-11,1048.1725141928562
1999-01-12,1030.2186803760007
1999-01-13,945.9469164544275
1999-01-14,919.0457101746597
1999-01-15,983.3260951906116
1999-01-18,994.5871951388434
1999-01-19,982.8619416413968
1999-01-20,1017.1571966442785
1999-01-21,998.3753191754917
1999-01-22,981.8647097256992
1999-01-25,986.223324519199
1999-01-26,981.7354929889483
1999-01-27,973.2410275734795
1999-01-28,982.8259045782406
1999-01-29,994.1755739656671
1999-02-01,998.3141141469465
1999-02-02,1027.321234879433
1999-02-03,1028.4322832162043
1999-02-04,1032.3209499673399
1999-02-05,1031.2635638935205
1999-02-08,1035.3228732858022
1999-02-09,1031.308763549198
1999-02-10,1026.6229449310447
1999-02-11,1033.7953661429926
1999-02-12,1038.6177898160386
1999-02-15,1043.4540431388343
1999-02-16,1055.6162435311676
1999-02-17,1050.2019323996562
1999-02-18,1049.878787829198
1999-02-19,1061.872027341347
1999-02-22,1067.2072932466083
1999-02-23,1072.6439181309465
1999-02-24,1080.0787205265656
1999-02-25,1053.9057968205357
1999-02-26,1076.11757612433
1999-03-01,1078.853666397991
1999-03-02,1071.9891163962957
1999-03-03,1085.652835966625
1999-03-04,1097.7084688194916
1999-03-05,1106.9588278373562
1999-03-08,1097.7574190358055
1999-03-09,1093.4973576786515
1999-03-10,1093.7060455746066
1999-03-11,1138.9825584376708
1999-03-12,1117.2401363911865
1999-03-15,1123.9880014370003
1999-03-16,1110.6385982111929
1999-03-17,1098.0716089724765
1999-03-18,1111.9795352327376
1999-03-19,1125.7217316787865
1999-03-22,1118.4073305456861
1999-03-23,1109.9774481647582
1999-03-24,1103.3564395900307
1999-03-25,1119.429609205501
1999-03-26,1134.0280954069078
1999-03-29,1133.6957158152272
1999-03-30,1137.081192533631
1999-03-31,1144.1955570579933
1999-04-01,1142.5551712526567
1999-04-02,1145.097124820218
1999-04-05,1141.4319537956083
1999-04-06,1145.9943891622727
1999-04-07,1140.7725185449005
1999-04-08,1153.9658476082056
1999-04-09,1160.0474545201932
1999-04-12,1145.0104042737603
1999-04-13,1155.925688538439
1999-04-14,1154.639105985206
1999-04-15,1176.2790076331316
1999-04-16,1253.6719988917498
1999-04-19,1332.2036291798815
1999-04-20,1316.5999873432415
1999-04-21,1324.2240117777328
1999-04-22,1330.9025699411068
1999-04-23,1329.523105353075
1999-04-26,1326.0248054404146
1999-04-27,1312.6960453488516
1999-04-28,1307.042458159914
1999-04-29,1317.3400831806691
1999-04-30,1324.4092715811164
1999-05-03,1325.3954748800936
1999-05-04,1320.4722180275166
1999-05-05,1311.1139075556239
1999-05-06,1345.2080314548598
1999-05-07,1339.2760058839867
1999-05-10,1349.854778487518
1999-05-11,1363.3181537775538
1999-05-12,1342.1680128103628
1999-05-13,1359.8309531405764
1999-05-14,1356.5452008392942
1999-05-17,1351.4623898544608
1999-05-18,1363.9496841759849
1999-05-19,1335.6436892558856
1999-05-20,1352.6628244860717
1999-05-21,1353.3371272724012
1999-05-24,1342.4679471078714
1999-05-25,1320.766029851789
1999-05-26,1337.5811354802966
1999-05-27,1318.283921249163
1999-05-28,1322.5513872008391
1999-05-31,1331.5170875196666
1999-06-01,1321.5962919278927
1999-06-02,1329.2458873936307
1999-06-03,1348.5352112754745
1999-06-04,1358.0007386880588
1999-06-07,1377.730889076582
1999-06-08,1360.887717395412
1999-06-09,1359.7900723017992
1999-06-10,1340.27147738147
1999-06-11,1328.0871686961527
1999-06-14,1337.6282392600453
1999-06-15,1343.2910327602349
1999-06-16,1355.531876435378
1999-06-17,1344.7572919109073
1999-06-18,1320.9706564020548
1999-06-21,1331.7011848975303
1999-06-22,1331.298898056129
1999-06-23,1325.782617170446
1999-06-24,1337.40694804668
1999-06-25,1322.4080137602232
1999-06-28,1337.029482574571
1999-06-29,1341.5563054901802
1999-06-30,1379.6042680763362
1999-07-01,1406.1596999520398
1999-07-02,1406.8081872474847
1999-07-05,1398.171614145659
1999-07-06,1401.0198273894562
1999-07-07,1404.0572358801257
1999-07-08,1419.3938164929186
1999-07-09,1421.761381844336
1999-07-12,1400.5605038422204
1999-07-13,1383.7831523305226
1999-07-14,1397.029580320829
1999-07-15,1398.8195886664078
1999-07-16,1404.748777427043
1999-07-19,1392.119093443585
1999-07-20,1345.055992957133
1999-07-21,1320.0406641518962
1999-07-22,1334.6775897081757
1999-07-23,1339.0126023559149
1999-07-26,1310.9972583289766
1999-07-27,1326.8482834600513
1999-07-28,1328.535987970977
1999-07-29,1315.9511626999501
1999-07-30,1316.0602851340384
1999-08-02,1297.4108337990792
1999-08-03,1287.6709799266678
1999-08-04,1275.4173827445807
