Date,CHINA A INTERNATIONAL MOMENTUM
2008-11-25,1000.0
2008-11-26,1010.6828991506695
2008-11-27,1023.7915377059625
2008-11-28,1027.7460098306376
2008-12-01,1039.6528542291912
2008-12-02,1025.1528663547315
2008-12-03,1059.6276971161697
2008-12-04,1065.8152170084006
2008-12-05,1077.2820433609509
2008-12-08,1085.17533221038
2008-12-09,1064.7688017858175
2008-12-10,1080.121995472273
2008-12-11,1039.9423292808551
2008-12-12,999.4904391009712
2008-12-15,982.9360946488786
2008-12-16,985.4047055464677
2008-12-17,950.4695445511464
2008-12-18,951.2633039790071
2008-12-19,990.5890948238879
2008-12-22,975.8081375702003
2008-12-23,937.8722429459067
2008-12-24,922.3870131417016
2008-12-25,918.5506501180911
2008-12-26,905.6149815100407
2008-12-29,891.9601495494281
2008-12-30,891.2835143198797
2008-12-31,904.5528864149651
2009-01-01,904.5528864149651
2009-01-02,902.3781683372486
2009-01-05,937.9751986024015
2009-01-06,966.76528512647
2009-01-07,940.3856686129795
2009-01-08,917.9418342956266
2009-01-09,941.0678813155724
2009-01-12,947.9793649127106
2009-01-13,942.424137373087
2009-01-14,970.5442208698594
2009-01-15,972.291412816959
2009-01-16,970.3879523964443
2009-01-19,988.4864783966973
2009-01-20,1005.5759098268788
2009-01-21,1000.5636740799587
2009-01-22,998.0550641792389
2009-01-23,1006.2507465769678
2009-01-26,980.0457014348146
2009-01-27,977.1438464937711
2009-01-28,973.2645322211664
2009-01-29,984.0169864362325
2009-01-30,1004.3269741781274
2009-02-02,1016.961631970938
2009-02-03,1031.2978139593274
2009-02-04,1056.2285937536296
2009-02-05,1051.2712835548666
2009-02-06,1086.8195427020585
2009-02-09,1093.95413101573
2009-02-10,1111.15010156373
2009-02-11,1126.6954959668085
2009-02-12,1133.8227861437792
2009-02-13,1157.8251661137442
2009-02-16,1187.6239337588731
2009-02-17,1178.0497635808788
2009-02-18,1138.1756365984645
2009-02-19,1138.6191969109793
2009-02-20,1159.3485844088693
2009-02-23,1172.9853734351445
2009-02-24,1123.0360911889086
2009-02-25,1120.4493843873045
2009-02-26,1070.5756884110986
2009-02-27,1067.960833997592
2009-03-02,1086.9439728142102
2009-03-03,1079.5886571730136
2009-03-04,1141.0563885162694
2009-03-05,1142.7330077460697
2009-03-06,1116.6594977097764
2009-03-09,1081.9589933689786
2009-03-10,1084.9859432582998
2009-03-11,1074.5283935662962
2009-03-12,1069.6895252309937
2009-03-13,1056.9779375378698
2009-03-16,1058.8243888234917
2009-03-17,1091.0766077689157
2009-03-18,1081.7287148265914
2009-03-19,1049.6494349167456
2009-03-20,1059.68512970169
2009-03-23,1083.4434830856474
2009-03-24,1095.4560326777382
2009-03-25,1069.1617970926607
2009-03-26,1091.162738582308
2009-03-27,1119.9475155188481
2009-03-30,1125.2995122561358
2009-03-31,1128.0422355483947
2009-04-01,1145.6426874795598
2009-04-02,1135.4409204203973
2009-04-03,1129.9744803370265
2009-04-06,1131.533821519052
2009-04-07,1146.0314018186916
2009-04-08,1120.3165931270414
2009-04-09,1136.817663385487
2009-04-10,1165.7143143012659
2009-04-13,1177.5574485245181
2009-04-14,1188.642390582108
2009-04-15,1193.4382348319248
2009-04-16,1190.0148387981092
2009-04-17,1198.040621874185
2009-04-20,1229.1184284195158
2009-04-21,1214.555301054612
2009-04-22,1176.1585310374353
2009-04-23,1177.6044212739055
2009-04-24,1156.2890031695986
2009-04-27,1145.7490864567192
2009-04-28,1149.9143709349592
2009-04-29,1159.8285904512777
2009-04-30,1166.7740274998337
2009-05-01,1166.5979505319772
2009-05-04,1188.5038957057134
2009-05-05,1192.7329802775014
2009-05-06,1206.7271436451142
2009-05-07,1186.5586463566328
2009-05-08,1184.6704350273535
2009-05-11,1146.841343451443
2009-05-12,1160.318959315464
2009-05-13,1175.6155930348136
2009-05-14,1169.6807792570844
2009-05-15,1169.4885476265572
2009-05-18,1179.0037932208177
2009-05-19,1172.4614220746155
2009-05-20,1146.8892228302675
2009-05-21,1135.4726065612301
2009-05-22,1112.5755137138628
2009-05-25,1110.9638819804657
2009-05-26,1106.0340521787061
2009-05-27,1121.698523157945
2009-05-28,1120.6928402186625
2009-05-29,1103.8679980450454
2009-06-01,1155.9084721768547
2009-06-02,1147.4187332746574
2009-06-03,1190.6962958244364
2009-06-04,1183.6598203001774
2009-06-05,1196.9180466503333
2009-06-08,1196.281961566671
2009-06-09,1182.215360947314
2009-06-10,1187.5378070487943
2009-06-11,1164.51585583373
2009-06-12,1151.0181542241846
2009-06-15,1177.6644383568434
2009-06-16,1179.4126401713859
2009-06-17,1210.9801802266109
2009-06-18,1223.2577487428985
2009-06-19,1225.4919278857496
2009-06-22,1224.9671336823997
2009-06-23,1204.979747384441
2009-06-24,1242.4857374833591
2009-06-25,1251.0388118379901
