Date,COLOMBIA MOMENTUM
1998-12-31,1000.0000000000001
1999-01-01,1000.0000000000001
1999-01-04,1000.0639247557076
1999-01-05,991.0590665276741
1999-01-06,1003.188103398031
1999-01-07,998.0018858881118
1999-01-08,998.2526641484114
1999-01-11,999.8538150316045
1999-01-12,958.6419220373715
1999-01-13,892.3441208978876
1999-01-14,870.489923508101
1999-01-15,880.5920905381777
1999-01-18,883.151253995261
1999-01-19,860.1820407911097
1999-01-20,876.6363670002638
1999-01-21,865.474531131305
1999-01-22,859.5198926444904
1999-01-25,853.0566154875256
1999-01-26,814.6659405759937
1999-01-27,838.390921370042
1999-01-28,796.4586465773237
1999-01-29,789.5868204549092
1999-02-01,792.8674976478467
1999-02-02,779.0982888607147
1999-02-03,776.8899186808707
1999-02-04,787.2365621312518
1999-02-05,800.4506356372157
1999-02-08,800.54274004443
1999-02-09,808.4677431910515
1999-02-10,846.467667167481
1999-02-11,866.9353648212785
1999-02-12,880.829400406723
1999-02-15,887.697407035095
1999-02-16,890.6262098138651
1999-02-17,892.7564663317878
1999-02-18,912.2763567303045
1999-02-19,919.6959921109991
1999-02-22,923.719093814609
1999-02-23,926.4795668181184
1999-02-24,912.1245276282733
1999-02-25,885.434735821892
1999-02-26,898.304356943503
1999-03-01,895.2667517593294
1999-03-02,894.6015024606461
1999-03-03,919.4202162044522
1999-03-04,937.6091215477707
1999-03-05,937.2970880907086
1999-03-08,945.9150367280663
1999-03-09,941.057959488929
1999-03-10,929.2802957826802
1999-03-11,928.4329416994904
1999-03-12,925.8177288158852
1999-03-15,924.6757529758258
1999-03-16,936.7898084288879
1999-03-17,932.4946721453049
1999-03-18,937.3541002524854
1999-03-19,951.2599635396465
1999-03-22,953.0919099135593
1999-03-23,958.2125817278177
1999-03-24,957.5552437894831
1999-03-25,973.0744811898498
1999-03-26,968.9579516189448
1999-03-29,975.5677315921731
1999-03-30,952.7786040987637
1999-03-31,951.5225842168038
1999-04-01,950.1584256767901
1999-04-02,952.2723354998487
1999-04-05,964.6149195251422
1999-04-06,950.642350848644
1999-04-07,944.2738845491465
1999-04-08,957.1400601548972
1999-04-09,975.4930909902563
1999-04-12,1017.5897159856461
1999-04-13,1036.4946365408377
1999-04-14,1038.464016035393
1999-04-15,1027.7556598742974
1999-04-16,1042.7020532135625
1999-04-19,1103.9215140126637
1999-04-20,1090.8685706754889
1999-04-21,1103.9877262475545
1999-04-22,1132.978570204855
1999-04-23,1142.8193519371223
1999-04-26,1183.6132906798455
1999-04-27,1184.1802088906597
1999-04-28,1198.7667772252137
1999-04-29,1235.8310259891887
1999-04-30,1226.4115540446676
1999-05-03,1252.769535118187
1999-05-04,1290.1493291946579
1999-05-05,1258.9296597943187
1999-05-06,1193.5391901103421
1999-05-07,1245.3033058902956
1999-05-10,1255.4649063825432
1999-05-11,1257.667442754737
1999-05-12,1294.6388174049694
1999-05-13,1304.8766609216318
1999-05-14,1284.2586251373496
1999-05-17,1291.167063416067
1999-05-18,1277.1994741511799
1999-05-19,1256.6284273862132
1999-05-20,1252.3106392347065
1999-05-21,1226.0010610512707
1999-05-24,1207.5271164239994
1999-05-25,1140.1548049417465
1999-05-26,1103.4101923708386
1999-05-27,1180.1832220173635
1999-05-28,1198.0273478483982
1999-05-31,1178.8425785912318
1999-06-01,1129.7953494507567
1999-06-02,1137.2223884128023
1999-06-03,1127.6793287904397
1999-06-04,1118.6941264743891
1999-06-07,1121.475739189877
1999-06-08,1094.2113854116776
1999-06-09,1067.8669220774027
1999-06-10,1012.888080780373
1999-06-11,971.4664495727556
1999-06-14,977.8288507487273
1999-06-15,959.2976279264927
1999-06-16,936.299968999507
1999-06-17,961.0166923658487
1999-06-18,990.7388639642207
1999-06-21,971.9299716331635
1999-06-22,953.4679346125288
1999-06-23,933.393061882047
1999-06-24,915.2522874362456
1999-06-25,878.3950103046537
1999-06-28,903.608974774066
1999-06-29,903.9829647159222
1999-06-30,898.1320924788664
1999-07-01,901.7820342477685
1999-07-02,916.1410084731019
1999-07-05,915.155958759676
1999-07-06,887.5466482591219
1999-07-07,881.3904563355115
1999-07-08,841.2890164647856
1999-07-09,837.8107718304609
1999-07-12,799.6841430532892
1999-07-13,797.5588220778682
1999-07-14,807.6041791500015
1999-07-15,850.1087320940721
1999-07-16,887.9301226824383
1999-07-19,890.7340293280499
1999-07-20,870.5406353874719
1999-07-21,870.7553230564405
1999-07-22,860.2479278925344
1999-07-23,824.1847906505262
1999-07-26,803.3746156872693
1999-07-27,816.7641221132818
1999-07-28,816.2102570948161
1999-07-29,810.1917129264311
1999-07-30,791.6421534396129
1999-08-02,793.8745516003149
1999-08-03,754.1798494369873
1999-08-04,715.5490829229186
1999-08-05,712.4969854446659
1999-08-06,719.0014267222879
1999-08-09,708.9619432284347
1999-08-10,701.7402101831849
1999-08-11,715.9691824007635
1999-08-12,724.2783185414303
1999-08-13,750.8342816194577
1999-08-16,750.763240434708
1999-08-17,775.1675322188031
1999-08-18,761.2883738001293
1999-08-19,744.1083486038892
1999-08-20,736.7251862844304
1999-08-23,747.140330627608
1999-08-24,758.1046746989351
1999-08-25,765.8210618966607
1999-08-26,770.9155533648259
1999-08-27,740.4574975665741
1999-08-30,749.0060278129498
1999-08-31,744.1317361450386
1999-09-01,749.6143653849866
1999-09-02,742.7305115038794
1999-09-03,749.8283872684138
1999-09-06,749.057210913376
1999-09-07,743.5438011914706
1999-09-08,743.954246072048
1999-09-09,739.7252912467138
1999-09-10,738.8467651598369
1999-09-13,744.5376887927927
1999-09-14,745.8219628098151
1999-09-15,749.2560962111057
1999-09-16,744.3406779466026
1999-09-17,751.0628495069739
1999-09-20,754.1885263169223
1999-09-21,737.786372849006
1999-09-22,731.6936922806964
1999-09-23,727.2364405236642
1999-09-24,718.0240640722276
1999-09-27,729.8553839488046
1999-09-28,730.6626945053798
1999-09-29,731.8883633144953
1999-09-30,733.5927025030784
1999-10-01,737.4131869188133
1999-10-04,729.8565652281992
1999-10-05,724.5772425958293
1999-10-06,722.910916609375
1999-10-07,704.4571390959961
1999-10-08,710.7502233588656
1999-10-11,710.2460705989517
1999-10-12,711.5824820136088
1999-10-13,715.0827865607404
1999-10-14,716.1058664872841
1999-10-15,714.2856464237481
1999-10-18,715.2364711474759
1999-10-19,724.9800670393836
1999-10-20,727.1583390955399
1999-10-21,726.7554757293524
1999-10-22,728.2864978913764
1999-10-25,724.5506957273919
1999-10-26,722.1602814338386
1999-10-27,742.7151206441675
1999-10-28,764.7361830863698
1999-10-29,782.43048197559
1999-11-01,783.7727501362343
1999-11-02,807.4024988253312
1999-11-03,839.105746895945
1999-11-04,849.7075124309583
1999-11-05,844.6631968935006
1999-11-08,857.7005604600624
1999-11-09,870.5765536583529
1999-11-10,889.5685568111224
1999-11-11,908.959528925298
1999-11-12,934.2530450182823
1999-11-15,935.386132202363
1999-11-16,939.3543824302465
1999-11-17,907.4782265778733
1999-11-18,909.4554891584351
1999-11-19,888.433756457052
1999-11-22,880.2518440413739
1999-11-23,897.6271255070859
1999-11-24,912.666387134399
1999-11-25,915.9177093682308
1999-11-26,940.1949784264916
1999-11-29,952.3573433215402
1999-11-30,955.6026380972393
1999-12-01,960.1526809666211
1999-12-02,967.4555085588162
1999-12-03,955.2913561986194
1999-12-06,941.5321067178418
1999-12-07,926.613577338323
1999-12-08,924.8953654640804
1999-12-09,939.197737027171
1999-12-10,949.0245671344801
1999-12-13,961.7102502126719
1999-12-14,970.6804420636694
1999-12-15,972.3995098082911
1999-12-16,961.0026337954837
1999-12-17,969.3103011406953
1999-12-20,975.2662709124114
1999-12-21,951.4385824310453
1999-12-22,961.2216524076803
1999-12-23,968.505668358284
1999-12-24,968.505668358284
1999-12-27,970.0044361714598
1999-12-28,977.5733013244062
1999-12-29,977.7995156687971
1999-12-30,980.0431819391
1999-12-31,981.0579873218377
2000-01-03,963.4540174723176
2000-01-04,949.429298291559
2000-01-05,963.9636221024391
2000-01-06,982.2419531207263
2000-01-07,1020.6199651863068
2000-01-10,1025.0747080123413
2000-01-11,1028.8558132205976
2000-01-12,1054.5944461752895
2000-01-13,1073.6714042913522
2000-01-14,1112.8488089446407
2000-01-17,1119.550075787728
2000-01-18,1081.3263039719932
2000-01-19,1049.7011684847507
2000-01-20,1074.9244533251622
2000-01-21,1080.4534609992259
2000-01-24,1083.2941762952746
2000-01-25,1080.861565415059
2000-01-26,1072.7958904330656
2000-01-27,1089.4563925122284
2000-01-28,1127.9685220487772
2000-01-31,1140.6933935599554
2000-02-01,1154.2997836907755
2000-02-02,1135.4934518265813
2000-02-03,1133.9351123897725
2000-02-04,1153.8826578541195
2000-02-07,1166.118792026652
2000-02-08,1156.0429967619104
2000-02-09,1151.0405900711753
2000-02-10,1149.6637069952797
2000-02-11,1146.7131314971848
2000-02-14,1139.7870136252275
2000-02-15,1123.750357170908
2000-02-16,1121.8292180426452
2000-02-17,1098.4945305795227
2000-02-18,1081.9049946775622
2000-02-21,1088.980328040358
2000-02-22,1062.0681871043396
2000-02-23,1053.7937377278993
2000-02-24,1053.8804219328533
2000-02-25,999.720922387857
2000-02-28,1003.1361730248285
2000-02-29,991.0883473602322
2000-03-01,982.9242815052482
2000-03-02,994.1659099080445
2000-03-03,985.1775572756887
2000-03-06,981.0310824693802
2000-03-07,985.9317960825854
2000-03-08,990.7461020014928
2000-03-09,975.6552141222669
2000-03-10,984.8291367906481
2000-03-13,984.2774021891884
2000-03-14,988.8724621344135
2000-03-15,976.9695598734685
2000-03-16,976.033971015446
2000-03-17,972.0683599497978
2000-03-20,970.9654458745582
2000-03-21,953.2288248288686
2000-03-22,961.4028840366067
2000-03-23,929.5201652380526
2000-03-24,929.4927424876295
2000-03-27,948.4857329801171
2000-03-28,970.0307155785496
2000-03-29,987.4925168452808
2000-03-30,989.6313513478176
2000-03-31,982.2658672057961
2000-04-03,982.6244057843335
2000-04-04,979.2522245208163
2000-04-05,979.4809292509557
2000-04-06,981.486221238404
2000-04-07,967.5832077267003
2000-04-10,952.802814211824
2000-04-11,941.2029988510142
2000-04-12,952.6869858202036
2000-04-13,955.9462596857437
2000-04-14,945.4182572425323
2000-04-17,941.1824490211668
2000-04-18,939.7487534717176
2000-04-19,956.9893810019215
2000-04-20,958.0589274096405
