Date,BRAZIL MOMENTUM
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,998.2867915268868
1999-01-05,996.4257988537971
1999-01-06,1019.0268881394844
1999-01-07,996.8395031216551
1999-01-08,1000.1629409859091
1999-01-11,948.1768722118292
1999-01-12,911.1254886576612
1999-01-13,803.6426671700202
1999-01-14,753.5989159628701
1999-01-15,857.4865359496167
1999-01-18,783.1921126289891
1999-01-19,815.74109410656
1999-01-20,851.9103296577755
1999-01-21,781.0961671127736
1999-01-22,767.0103855763357
1999-01-25,733.9980725060688
1999-01-26,754.542939871111
1999-01-27,750.766076820925
1999-01-28,762.0307234499144
1999-01-29,736.1167141764354
1999-02-01,834.143589551328
1999-02-02,893.5871417065829
1999-02-03,869.168024777305
1999-02-04,852.0528576537981
1999-02-05,831.0574754950364
1999-02-08,825.3421298978094
1999-02-09,816.0949428117063
1999-02-10,827.7359039219568
1999-02-11,827.2229156873092
1999-02-12,837.7383455344518
1999-02-15,840.832382052912
1999-02-16,845.0816691357377
1999-02-17,826.7885083020751
1999-02-18,817.5267402651442
1999-02-19,830.7690639955817
1999-02-22,810.7373813916752
1999-02-23,802.4655104489992
1999-02-24,810.5272041474417
1999-02-25,786.6894516968242
1999-02-26,815.4095417365759
1999-03-01,788.4811957503359
1999-03-02,788.5014152349243
1999-03-03,803.8042684928835
1999-03-04,853.3140707857407
1999-03-05,885.5921086208195
1999-03-08,889.167446797488
1999-03-09,919.4528911231448
1999-03-10,928.9472296579032
1999-03-11,907.2890023231439
1999-03-12,893.6257390781115
1999-03-15,941.990917775133
1999-03-16,956.0357327167017
1999-03-17,939.4635806597636
1999-03-18,975.9357311812531
1999-03-19,976.6487859942761
1999-03-22,965.2198873404972
1999-03-23,952.5765224190502
1999-03-24,951.5794060792783
1999-03-25,1003.4131122212627
1999-03-26,1022.6978763968357
1999-03-29,1039.8602040271683
1999-03-30,1062.0958089591124
1999-03-31,1072.9296508556133
1999-04-01,1071.3914360298945
1999-04-02,1073.7750647172381
1999-04-05,1079.067717119318
1999-04-06,1097.2774313577734
1999-04-07,1115.9524795498246
1999-04-08,1105.959289628408
1999-04-09,1109.0375128830517
1999-04-12,1120.0344504640198
1999-04-13,1139.2313960951478
1999-04-14,1148.2115026954107
1999-04-15,1201.4791793998406
1999-04-16,1233.8228025829671
1999-04-19,1224.1637950082277
1999-04-20,1178.6667245444087
1999-04-21,1184.1114258880502
1999-04-22,1211.4610556361401
1999-04-23,1208.736139032562
1999-04-26,1187.2408310907747
1999-04-27,1178.145848348021
1999-04-28,1226.4366013191343
1999-04-29,1241.0751415758614
1999-04-30,1235.7024508760921
1999-05-03,1265.9001504566475
1999-05-04,1244.1377561191882
1999-05-05,1281.2392436416844
1999-05-06,1294.0549863938195
1999-05-07,1319.6309426340438
1999-05-10,1355.166017654347
1999-05-11,1349.195414074174
1999-05-12,1341.9754674361488
1999-05-13,1381.0842873854042
1999-05-14,1378.942931018174
1999-05-17,1349.8981270246602
1999-05-18,1366.0843588888076
1999-05-19,1355.859049649472
1999-05-20,1326.8754827327182
1999-05-21,1292.7133056593827
1999-05-24,1234.100183437702
1999-05-25,1184.4004379609987
1999-05-26,1264.5983325874088
1999-05-27,1230.479966038821
1999-05-28,1232.3951887078824
1999-05-31,1249.4768860340291
1999-06-01,1234.8969278277623
1999-06-02,1255.7770386347315
1999-06-03,1256.4441663960076
1999-06-04,1284.5340540397583
1999-06-07,1280.3593415879545
1999-06-08,1243.7486131241853
1999-06-09,1246.3301018313418
1999-06-10,1238.3989337380488
1999-06-11,1249.8895752057967
1999-06-14,1251.4758389924966
1999-06-15,1276.5683943546594
1999-06-16,1340.7209439981461
1999-06-17,1354.991613652891
1999-06-18,1356.2003550993104
1999-06-21,1375.4433770090814
1999-06-22,1363.0052711546446
1999-06-23,1343.3302508494548
1999-06-24,1318.4773182029267
1999-06-25,1291.8342802871389
1999-06-28,1310.07701184102
1999-06-29,1317.380922221964
1999-06-30,1365.878173876329
1999-07-01,1397.6334784174874
1999-07-02,1474.8187548064448
1999-07-05,1465.6050090702156
1999-07-06,1422.022012407383
1999-07-07,1428.8989172408662
1999-07-08,1394.0926431768712
1999-07-09,1395.8228632113642
1999-07-12,1338.938018927153
1999-07-13,1330.4960734143565
1999-07-14,1340.4073526046238
1999-07-15,1358.1646764340876
1999-07-16,1374.0660540094173
1999-07-19,1405.2490718012318
1999-07-20,1342.2922255792885
1999-07-21,1345.5531223604153
1999-07-22,1344.4036418136307
1999-07-23,1330.008760701419
1999-07-26,1274.4016215925765
1999-07-27,1271.890381434562
1999-07-28,1274.5094969257425
1999-07-29,1265.4648546267456
1999-07-30,1228.4615917882854
1999-08-02,1202.9018077036674
1999-08-03,1190.1007087049393
1999-08-04,1173.223680323202
1999-08-05,1154.1949733600902
1999-08-06,1163.31433145544
