Date,SOUTH AFRICA MOMENTUM
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,993.3762841487385
1999-01-05,1014.4531422649221
1999-01-06,1093.545639750918
1999-01-07,1084.2234047902025
1999-01-08,1128.756777497956
1999-01-11,1107.8304352187718
1999-01-12,1095.9800078503567
1999-01-13,1026.098314972889
1999-01-14,1011.141123117165
1999-01-15,1032.134730031054
1999-01-18,1070.4098462456318
1999-01-19,1065.8520711225754
1999-01-20,1068.7870627439231
1999-01-21,1050.8351298801317
1999-01-22,1040.4422830229387
1999-01-25,1037.49118603387
1999-01-26,1044.5878820712637
1999-01-27,1078.4916737289168
1999-01-28,1078.6378525396267
1999-01-29,1096.2425051354571
1999-02-01,1110.7379777409674
1999-02-02,1111.7538815963262
1999-02-03,1106.7249098125824
1999-02-04,1109.2578519765252
1999-02-05,1116.7044542478484
1999-02-08,1131.0210261483471
1999-02-09,1097.4623654025536
1999-02-10,1086.4574905071345
1999-02-11,1103.8441542693408
1999-02-12,1106.965882020253
1999-02-15,1103.8493902864532
1999-02-16,1097.3006818422066
1999-02-17,1083.8388537412511
1999-02-18,1090.9231442783396
1999-02-19,1088.965732380307
1999-02-22,1112.6540581438069
1999-02-23,1131.7744837312277
1999-02-24,1134.9052832700845
1999-02-25,1126.2474033830913
1999-02-26,1120.4580119102955
1999-03-01,1125.008358574179
1999-03-02,1131.3927232722808
1999-03-03,1158.6117308324299
1999-03-04,1179.2306098537197
1999-03-05,1207.0518034614188
1999-03-08,1223.7312077310594
1999-03-09,1240.751260501295
1999-03-10,1225.4278924481544
1999-03-11,1256.373875712617
1999-03-12,1239.733320326409
1999-03-15,1224.5793205306913
1999-03-16,1229.046635485099
1999-03-17,1228.4398566575915
1999-03-18,1219.8149529389384
1999-03-19,1249.0052589933557
1999-03-22,1255.3125548058326
1999-03-23,1239.0874451159486
1999-03-24,1231.5102955274638
1999-03-25,1246.62696156376
1999-03-26,1229.2793870464789
1999-03-29,1228.2416271699085
1999-03-30,1221.7111257625645
1999-03-31,1215.2080161860633
1999-04-01,1222.516159212841
1999-04-02,1224.4416914432902
1999-04-05,1233.9716789767124
1999-04-06,1214.2272080768116
1999-04-07,1201.8575782939838
1999-04-08,1187.3778276416997
1999-04-09,1219.1381758222751
1999-04-12,1236.4843557541878
1999-04-13,1295.1566136884112
1999-04-14,1308.090050003935
1999-04-15,1332.8247217825924
1999-04-16,1373.2063113879822
1999-04-19,1422.2545904615513
1999-04-20,1388.48091281787
1999-04-21,1355.1600552369596
1999-04-22,1347.285671293166
1999-04-23,1338.9948263997187
1999-04-26,1350.8068847860252
1999-04-27,1344.8530478286652
1999-04-28,1367.710567375663
1999-04-29,1372.2975878840714
1999-04-30,1383.8139257458063
1999-05-03,1387.981802530842
1999-05-04,1387.0956523589346
1999-05-05,1351.8518078825355
1999-05-06,1362.6803045643064
1999-05-07,1314.1587426615713
1999-05-10,1284.7649370781041
1999-05-11,1300.4639607870183
1999-05-12,1282.2776250436161
1999-05-13,1287.951416811239
1999-05-14,1264.0320293302823
1999-05-17,1244.6024065954664
1999-05-18,1247.9196515151493
1999-05-19,1232.5301135581105
1999-05-20,1226.6149976638847
1999-05-21,1241.3223627202212
1999-05-24,1232.3086168709494
1999-05-25,1216.3857856745863
1999-05-26,1215.5035518047566
1999-05-27,1210.2374593097672
1999-05-28,1220.3180511012931
1999-05-31,1232.7497283445603
1999-06-01,1272.33285603738
1999-06-02,1286.9697973859872
1999-06-03,1318.7337950534236
1999-06-04,1329.7180676737505
1999-06-07,1373.0227582298096
1999-06-08,1360.5374932682753
1999-06-09,1354.1486320003987
1999-06-10,1334.0316498800617
1999-06-11,1354.2042581214657
1999-06-14,1362.7841539746464
1999-06-15,1363.040748952242
1999-06-16,1379.4991295813536
1999-06-17,1376.4893687245699
1999-06-18,1399.8190454420583
1999-06-21,1425.399349337432
1999-06-22,1437.6276909074757
1999-06-23,1422.931364228872
1999-06-24,1402.9598316041522
1999-06-25,1384.274871816811
1999-06-28,1406.4514009924053
1999-06-29,1417.1719662531978
1999-06-30,1441.530815832814
1999-07-01,1497.8353746713844
1999-07-02,1509.8872569197035
1999-07-05,1536.543831247413
1999-07-06,1510.0486617477115
1999-07-07,1491.5386918468023
1999-07-08,1489.4079684908463
1999-07-09,1487.8597751157492
1999-07-12,1492.5588774124644
1999-07-13,1439.5008321407458
1999-07-14,1452.941818836331
1999-07-15,1450.0555616345368
1999-07-16,1442.6936746766476
1999-07-19,1456.294922503913
1999-07-20,1419.168849701321
1999-07-21,1409.786907782704
1999-07-22,1419.4552693862604
1999-07-23,1429.827347775984
1999-07-26,1377.1893728408818
1999-07-27,1382.9926231316829
1999-07-28,1380.7869314484572
1999-07-29,1354.9413675900814
1999-07-30,1364.4616441231701
1999-08-02,1344.9530275459913
1999-08-03,1351.651283789029
