Date,EM SMALL CAP VALUE WEIGHTED
1995-11-30,1000.0
1995-12-29,1016.7169552270587
1996-01-31,1082.8354486892806
1996-02-29,1093.9166527107498
1996-03-29,1082.6353552429127
1996-04-30,1111.7140738666644
1996-05-31,1083.6169680380692
1996-06-28,1095.0568730254772
1996-07-31,1036.1826105523078
1996-08-30,1040.4256582173346
1996-09-30,1056.4609492535099
1996-10-31,1037.9956001699268
1996-11-29,1034.4393228800586
1996-12-31,1026.7255434318743
1997-01-01,1026.6934648574406
1997-01-02,1035.1167280691009
1997-01-03,1037.947672079708
1997-01-06,1043.2833008669033
1997-01-07,1047.4208095958334
1997-01-08,1052.8210117957321
1997-01-09,1056.0466707763285
1997-01-10,1060.366828424165
1997-01-13,1069.826858454786
1997-01-14,1075.5155859156764
1997-01-15,1087.887836818513
1997-01-16,1091.2935246205768
1997-01-17,1090.9859400304874
1997-01-20,1099.1264723581367
1997-01-21,1093.9048264730966
1997-01-22,1092.0502924861912
1997-01-23,1090.9915359375127
1997-01-24,1093.9520293311102
1997-01-27,1100.947480716384
1997-01-28,1098.6804333849263
1997-01-29,1096.5266928287103
1997-01-30,1101.9339820039106
1997-01-31,1101.22646025618
1997-02-03,1100.3804063920475
1997-02-04,1101.1774825283799
1997-02-05,1109.6208240118488
1997-02-06,1114.7056543786261
1997-02-07,1115.518388078956
1997-02-10,1124.631632426182
1997-02-11,1125.7806870712948
1997-02-12,1131.9338295372563
1997-02-13,1131.7790732978951
1997-02-14,1132.1176348817712
1997-02-17,1139.9305489186345
1997-02-18,1140.4354294934813
1997-02-19,1147.1137245958641
1997-02-20,1150.726859544398
1997-02-21,1154.2684626163286
1997-02-24,1159.5053763587882
1997-02-25,1166.0005318040814
1997-02-26,1163.7790243606933
1997-02-27,1154.0534259987685
1997-02-28,1157.7369807412479
1997-03-03,1155.1731618045974
1997-03-04,1151.3097200593888
1997-03-05,1152.7326784787836
1997-03-06,1152.4923421627964
1997-03-07,1154.5363047005799
1997-03-10,1155.5797214803918
1997-03-11,1155.2766138072077
1997-03-12,1149.4265399241633
1997-03-13,1147.780069873641
1997-03-14,1141.6406594401249
1997-03-17,1144.8082199358923
1997-03-18,1143.6573647335476
1997-03-19,1138.1225191144404
1997-03-20,1135.415841216097
1997-03-21,1130.6460509498584
1997-03-24,1122.3549763105964
1997-03-25,1127.251222722102
1997-03-26,1136.7613244077245
1997-03-27,1138.357258478592
1997-03-28,1140.3601605132162
1997-03-31,1131.2350736205165
1997-04-01,1125.8339807160935
1997-04-02,1126.9735122069692
1997-04-03,1121.8000882013032
1997-04-04,1121.6427569758018
1997-04-07,1118.4687452619473
1997-04-08,1120.212245762337
1997-04-09,1122.8483212912226
1997-04-10,1115.8751658730753
1997-04-11,1113.4143075606762
1997-04-14,1102.653155149567
1997-04-15,1098.3061317349236
1997-04-16,1100.564618685683
1997-04-17,1101.957204192676
1997-04-18,1101.0240634216236
1997-04-21,1108.779276569381
1997-04-22,1102.6870541077574
1997-04-23,1108.5183627779415
1997-04-24,1105.6615746147982
1997-04-25,1105.9447382581905
1997-04-28,1101.5247213904754
1997-04-29,1098.8166257516095
1997-04-30,1102.6857251182012
1997-05-01,1104.793944727071
1997-05-02,1104.6181645854535
1997-05-05,1105.8945459790557
1997-05-06,1107.2486398420008
1997-05-07,1105.3800054237295
1997-05-08,1105.437806319875
1997-05-09,1105.9801173053254
1997-05-12,1096.1656475280702
1997-05-13,1095.1005898167562
1997-05-14,1092.4230035870028
1997-05-15,1091.4908196271845
1997-05-16,1095.6929828208051
1997-05-19,1102.6355550881606
1997-05-20,1104.4857901894097
1997-05-21,1105.7271287189556
1997-05-22,1107.102248371227
1997-05-23,1111.1858763817318
1997-05-26,1112.563454763435
1997-05-27,1110.0335838982253
1997-05-28,1112.641432268374
1997-05-29,1107.867442887188
1997-05-30,1107.4909709838948
1997-06-02,1111.380024379817
1997-06-03,1112.0797456234095
1997-06-04,1109.2937109734398
1997-06-05,1110.8334747527813
1997-06-06,1111.2101675529273
1997-06-09,1114.4770069811996
1997-06-10,1113.7203281432967
1997-06-11,1115.2408180902728
1997-06-12,1117.9549791417905
1997-06-13,1116.1551866911504
1997-06-16,1119.3546616518493
1997-06-17,1116.8919354840048
1997-06-18,1115.0547688776578
1997-06-19,1117.6964231193185
1997-06-20,1118.1894863614673
1997-06-23,1118.641947772109
1997-06-24,1117.8101976006244
1997-06-25,1119.9144412590263
1997-06-26,1117.5088076645684
1997-06-27,1114.1929492277338
1997-06-30,1120.1060524158122
1997-07-01,1125.466690541211
1997-07-02,1131.9963504854081
1997-07-03,1137.8740349346497
1997-07-04,1144.075570211564
1997-07-07,1148.6419914350915
1997-07-08,1147.4330520201281
1997-07-09,1151.850940613621
1997-07-10,1152.5950037966409
1997-07-11,1146.582810334138
1997-07-14,1133.7825433943983
1997-07-15,1121.7250241307556
1997-07-16,1123.140148248856
1997-07-17,1124.414111734363
1997-07-18,1118.7347801041901
1997-07-21,1118.7699721947565
1997-07-22,1119.401944817102
1997-07-23,1118.297315600609
1997-07-24,1123.0066086878207
1997-07-25,1122.7420412868655
1997-07-28,1133.451279148854
1997-07-29,1139.5209804573883
1997-07-30,1141.8597313143034
1997-07-31,1143.7854158428015
1997-08-01,1137.3485739788807
1997-08-04,1141.9028393967476
1997-08-05,1139.2097432444207
1997-08-06,1142.3369638495685
1997-08-07,1141.555994204831
1997-08-08,1139.979593299537
1997-08-11,1132.2484071716883
1997-08-12,1127.4335876419677
1997-08-13,1124.0907398554161
1997-08-14,1117.0876912061967
1997-08-15,1111.5531869953838
1997-08-18,1091.3587332236157
1997-08-19,1087.505094770922
1997-08-20,1090.8659126707682
1997-08-21,1091.3839279363747
1997-08-22,1082.1448849301169
1997-08-25,1077.6530976981148
1997-08-26,1072.712631984223
1997-08-27,1064.1875968477718
1997-08-28,1037.8729491263286
1997-08-29,1021.310783057988
1997-09-01,1005.7064244074389
1997-09-02,1009.8275368954869
1997-09-03,1007.6527112973463
1997-09-04,1005.485840152794
1997-09-05,1026.9936416945598
1997-09-08,1045.3495920817752
1997-09-09,1044.551178537174
1997-09-10,1037.1400132601436
1997-09-11,1027.542632902513
1997-09-12,1031.1746453372969
1997-09-15,1028.1837326183074
1997-09-16,1021.2572515456797
1997-09-17,1017.5719445125078
1997-09-18,1016.6011384735863
1997-09-19,1015.5842996442
1997-09-22,1007.3457819747704
1997-09-23,1008.0907459021041
1997-09-24,1012.1965888621675
1997-09-25,1008.5039735731762
1997-09-26,1007.5790166758408
1997-09-29,1004.0295979727472
1997-09-30,1006.4448235645692
1997-10-01,997.9216765664343
1997-10-02,1000.0998600535517
1997-10-03,997.4711174424494
1997-10-06,998.5214215317748
1997-10-07,1002.1020611894118
1997-10-08,1007.6003560991396
1997-10-09,1012.0214766205983
1997-10-10,1015.7465405462119
1997-10-13,1015.6233544880465
1997-10-14,1017.1119724411569
1997-10-15,1009.4938455093176
1997-10-16,1003.4517662911669
1997-10-17,997.138299742465
1997-10-20,982.5337786381285
1997-10-21,982.5470821650463
1997-10-22,985.3074705187416
1997-10-23,971.9146953159745
1997-10-24,956.8613687871704
1997-10-27,914.5181746572268
1997-10-28,878.1891393112455
1997-10-29,887.9742577710515
1997-10-30,869.7611013604032
1997-10-31,871.6970010803537
1997-11-03,893.0620920317252
1997-11-04,902.7615167167372
1997-11-05,903.6699535388682
1997-11-06,898.0546539885155
1997-11-07,879.798562410781
1997-11-10,870.5851158841577
1997-11-11,864.6005048150731
1997-11-12,843.4415380685408
1997-11-13,836.8500917200432
1997-11-14,834.3897435000684
1997-11-17,831.8043321170544
1997-11-18,822.850638779451
1997-11-19,812.8526061535559
1997-11-20,799.5754592431092
1997-11-21,809.7576688302752
1997-11-24,789.0125818878386
1997-11-25,776.5976566285108
1997-11-26,774.5513090908215
1997-11-27,777.1706899864248
1997-11-28,769.0467514200396
1997-12-01,750.9263083359976
1997-12-02,742.3338551641558
1997-12-03,744.2388579876546
1997-12-04,757.5684575755494
1997-12-05,753.8800755142411
1997-12-08,753.6921227317529
1997-12-09,733.1715844810946
1997-12-10,724.5853428344979
1997-12-11,696.1395862248643
1997-12-12,683.0597907001955
1997-12-15,680.817555390242
1997-12-16,684.8663960229812
1997-12-17,690.7525396466868
1997-12-18,695.6749889408003
1997-12-19,686.7089908995499
1997-12-22,677.4941143169169
1997-12-23,664.8210612683667
1997-12-24,661.2934939413593
1997-12-25,661.139486786772
1997-12-26,676.0487497609979
1997-12-29,679.9021311374173
1997-12-30,678.99322142985
1997-12-31,681.6620721484817
1998-01-01,681.6748791474133
1998-01-02,679.7750450966203
1998-01-05,675.0136528990923
1998-01-06,661.2370489401023
1998-01-07,651.1995682833649
1998-01-08,635.320096381919
1998-01-09,626.236295019429
1998-01-12,611.7009532198583
1998-01-13,623.0375154007457
1998-01-14,640.8201031340582
1998-01-15,638.8009894749409
1998-01-16,642.7491054196175
1998-01-19,661.5039666225673
1998-01-20,650.3696408509527
1998-01-21,642.891883805661
1998-01-22,634.4977510673739
1998-01-23,627.2584025070802
1998-01-26,635.6650440530199
1998-01-27,636.6117814953905
1998-01-28,637.0699711328182
1998-01-29,636.2334792525212
1998-01-30,654.6070059844194
1998-02-02,668.7496130499505
1998-02-03,683.8086727062914
1998-02-04,681.1965570741401
1998-02-05,701.0389681623902
1998-02-06,716.0081471001539
1998-02-09,724.3373571137712
1998-02-10,736.3409302230832
1998-02-11,743.2027734597356
1998-02-12,720.4168025228513
1998-02-13,711.3739036153607
1998-02-16,696.0341587654555
1998-02-17,704.8149555012075
1998-02-18,709.0003314489394
1998-02-19,718.5690393929813
1998-02-20,718.5672997280165
1998-02-23,724.6434128046352
1998-02-24,735.6327036019269
1998-02-25,733.7693817104631
1998-02-26,748.3595290072211
1998-02-27,756.9773705055777
1998-03-02,773.5859851063902
1998-03-03,763.1581640049786
1998-03-04,759.616679669307
1998-03-05,741.2864594072746
1998-03-06,741.0514590931592
1998-03-09,737.1732298222938
1998-03-10,748.5439798331055
1998-03-11,749.9193667329658
1998-03-12,754.4528022459247
1998-03-13,772.9019380042537
1998-03-16,776.4171562909056
1998-03-17,779.1758912818508
1998-03-18,777.4650722791121
1998-03-19,788.6425321024234
1998-03-20,796.7681773889506
1998-03-23,818.6745498534126
1998-03-24,811.4281583287418
1998-03-25,819.116673618936
1998-03-26,814.876904739736
1998-03-27,821.0535675084799
1998-03-30,811.5296755872799
1998-03-31,808.8617397452005
1998-04-01,799.4731996045459
1998-04-02,792.7831474262912
1998-04-03,786.0385087795775
1998-04-06,789.6741336628677
1998-04-07,797.7457950668529
1998-04-08,802.4145092125881
1998-04-09,810.6237418479169
1998-04-10,814.1277765160858
1998-04-13,822.1275219445517
1998-04-14,817.016881836917
1998-04-15,827.8546902836622
1998-04-16,816.9517699536674
1998-04-17,819.391525372782
1998-04-20,814.5077109591618
1998-04-21,819.03583920146
1998-04-22,816.7192998009646
