Date,INDIA VALUE WEIGHTED
1997-11-27,978.0045479950668
1997-11-28,956.2088655667736
1997-12-01,943.514515360777
1997-12-02,939.1851565209113
1997-12-03,939.7906599912392
1997-12-04,939.6296040449038
1997-12-05,923.7824264499416
1997-12-08,926.150236547654
1997-12-09,909.3988962650621
1997-12-10,898.5221298400527
1997-12-11,882.4948176315391
1997-12-12,882.0081766309909
1997-12-15,890.8692214597567
1997-12-16,909.6990876781484
1997-12-17,923.1932189953686
1997-12-18,925.4045038061865
1997-12-19,937.1226705386675
1997-12-22,961.0405748602648
1997-12-23,972.1209066071551
1997-12-24,962.1440918054312
1997-12-25,962.144091805431
1997-12-26,972.1198659231362
1997-12-29,994.4217871077958
1997-12-30,975.3680109250444
1997-12-31,986.1040079088751
1998-01-01,986.1040079088751
1998-01-02,1009.683621448466
1998-01-05,1019.0125915795155
1998-01-06,1011.600504420022
1998-01-07,1002.7506375683716
1998-01-08,971.4929736359983
1998-01-09,942.912376653517
1998-01-12,909.4036650047525
1998-01-13,917.0474157479352
1998-01-14,901.4780313671266
1998-01-15,897.382761450821
1998-01-16,913.0092643720739
1998-01-19,959.0290351193697
1998-01-20,947.4468424905017
1998-01-21,945.7931224119491
1998-01-22,932.9635757749642
1998-01-23,923.9302817661397
1998-01-26,926.5666587050313
1998-01-27,916.634866527336
1998-01-28,887.3168729505436
1998-01-29,890.2142114827476
1998-01-30,888.0356862356879
1998-02-02,916.3228821229096
1998-02-03,914.9186101170799
1998-02-04,904.1813275946522
1998-02-05,906.6621601624723
1998-02-06,907.6770037787337
1998-02-09,901.3571092103338
1998-02-10,889.1923645913528
1998-02-11,886.4698158882273
1998-02-12,883.1582104800717
1998-02-13,892.4482090124559
1998-02-16,910.1684663689335
1998-02-17,899.2329335829102
1998-02-18,897.7685521418111
1998-02-19,904.8141383445602
1998-02-20,900.2926883765108
1998-02-23,913.3703622433871
1998-02-24,916.9112724123283
1998-02-25,917.1450292695398
1998-02-26,946.0187684321485
1998-02-27,964.6439283183521
1998-03-02,1004.4285217489091
1998-03-03,968.0297965127602
1998-03-04,997.2644971176385
1998-03-05,988.5210442787973
1998-03-06,983.7235909151044
1998-03-09,1012.300345454719
1998-03-10,1013.6976258059395
1998-03-11,999.8163015143599
1998-03-12,985.6561817047152
1998-03-13,985.6686585231776
1998-03-16,1009.5554277044429
1998-03-17,1006.6259673776409
1998-03-18,1018.6162404268745
1998-03-19,1014.6044550363929
1998-03-20,1018.1949646864964
1998-03-23,1058.7203793144336
1998-03-24,1054.214031136843
1998-03-25,1071.707404724056
1998-03-26,1053.6206185364497
1998-03-27,1058.9521763239006
1998-03-30,1056.959244693118
1998-03-31,1050.4288292362467
1998-04-01,1071.6880399929958
1998-04-02,1082.2966953382254
1998-04-03,1098.8167054893677
1998-04-06,1133.588620050492
1998-04-07,1145.4598417588775
1998-04-08,1142.9813196081307
1998-04-09,1142.9813196081307
1998-04-10,1142.9592857562607
1998-04-13,1144.3166565158754
1998-04-14,1144.3166565158754
1998-04-15,1181.3759884928322
1998-04-16,1158.5201007968883
1998-04-17,1182.519095493813
1998-04-20,1193.9595217845426
1998-04-21,1218.311899980221
1998-04-22,1180.3872394775926
1998-04-23,1147.5708969985835
1998-04-24,1130.4762269236
1998-04-27,1140.6098579994994
1998-04-28,1140.7533489867933
1998-04-29,1101.9185596190432
1998-04-30,1111.0577627459227
1998-05-01,1110.778075455112
1998-05-04,1147.3672808384893
1998-05-05,1164.2133640666088
1998-05-06,1137.593504179563
1998-05-07,1137.593504179563
1998-05-08,1121.9918147168553
1998-05-11,1122.415048143757
1998-05-12,1104.011675589415
1998-05-13,1040.0111787443486
1998-05-14,1054.8682596004755
1998-05-15,1036.6642355351617
1998-05-18,1063.5858280590253
1998-05-19,1071.9890281405953
1998-05-20,1083.8243766898677
1998-05-21,1059.3880175472034
1998-05-22,1055.4794609216026
1998-05-25,1063.3072770586828
1998-05-26,1047.9562592955392
1998-05-27,1026.6625117899814
1998-05-28,1006.6435449954553
1998-05-29,992.3426676924051
1998-06-01,993.0402427181184
1998-06-02,971.8308810493482
1998-06-03,970.110786263748
1998-06-04,959.267381667552
1998-06-05,912.2134786167737
1998-06-08,904.638611120731
1998-06-09,910.0511952834851
1998-06-10,864.7334344103905
1998-06-11,864.8565497059395
1998-06-12,873.8959283951879
1998-06-15,823.9078188829068
1998-06-16,811.9930322058889
1998-06-17,875.1014484137818
1998-06-18,851.7460249628089
1998-06-19,814.2460233236793
1998-06-22,790.3357813837899
1998-06-23,779.4414229580622
1998-06-24,812.1536292838528
1998-06-25,829.0275641382806
1998-06-26,819.326881757442
1998-06-29,851.9812436783194
1998-06-30,846.0389817996577
1998-07-01,834.2197338577963
1998-07-02,817.990434622852
1998-07-03,790.7605313957912
1998-07-06,812.5325383636246
1998-07-07,819.0923918044738
1998-07-08,822.9362428175194
1998-07-09,834.9687643324326
1998-07-10,856.1635817961416
1998-07-13,842.6103438119745
1998-07-14,852.2295551374932
1998-07-15,851.1500240959116
1998-07-16,871.1695738242914
1998-07-17,865.7414914853592
1998-07-20,846.9164953438325
1998-07-21,838.1025367991185
1998-07-22,835.4313750436921
1998-07-23,806.038243134645
1998-07-24,787.3680813382318
1998-07-27,765.8101018406733
1998-07-28,784.524696353153
1998-07-29,795.8332200959358
1998-07-30,793.3868995123604
1998-07-31,789.3447785248818
1998-08-03,770.4964782874661
1998-08-04,773.5864565411916
1998-08-05,779.2784653118333
1998-08-06,770.5124656489963
1998-08-07,759.1319277825135
1998-08-10,746.5225304604033
1998-08-11,727.0081588973321
1998-08-12,720.0850569954303
1998-08-13,727.19697120736
1998-08-14,721.5242645784194
1998-08-17,712.0135396623945
1998-08-18,695.2856199995642
1998-08-19,692.9058302323097
1998-08-20,728.8420896115394
1998-08-21,714.7748749477423
1998-08-24,722.3395614971283
1998-08-25,731.7865681316136
1998-08-26,731.9587937301384
1998-08-27,725.6345188930504
1998-08-28,700.9848394321334
1998-08-31,707.3861731798138
1998-09-01,686.6768431744332
1998-09-02,691.8417563317043
1998-09-03,694.9430374383785
1998-09-04,707.9567098414896
1998-09-07,734.556872248206
1998-09-08,743.0112914118308
1998-09-09,745.6938273875679
1998-09-10,750.263222696152
1998-09-11,740.808958688384
1998-09-14,762.0146046017721
1998-09-15,761.4594216299103
1998-09-16,755.5704294084636
1998-09-17,751.5964347592115
1998-09-18,746.6200504240026
1998-09-21,746.0254748253549
1998-09-22,743.4502583449474
1998-09-23,751.9883858958593
1998-09-24,765.9395690166446
1998-09-25,765.0173765844758
1998-09-28,761.4678501059323
1998-09-29,742.4601431711006
1998-09-30,732.5408470450847
1998-10-01,732.5408470450847
1998-10-02,732.5408470450847
1998-10-05,679.6539758087777
1998-10-06,674.9375760037915
1998-10-07,692.8160624600038
1998-10-08,659.9981161076691
1998-10-09,660.9357830888091
1998-10-12,652.8889600968242
1998-10-13,638.0327428746724
1998-10-14,661.1831480953589
1998-10-15,650.6193856059691
1998-10-16,641.6128606328031
1998-10-19,648.0478887662646
1998-10-20,624.5053835163833
1998-10-21,624.6678612651694
1998-10-22,624.7417427390034
1998-10-23,635.4717257251559
1998-10-26,671.9951114801087
1998-10-27,671.3408341790612
1998-10-28,654.4362514332239
1998-10-29,652.6916914439223
1998-10-30,645.315864513894
1998-11-02,642.2031755476237
1998-11-03,639.7548324311867
1998-11-04,639.9060478971043
1998-11-05,648.0957710023761
1998-11-06,660.1113506185507
1998-11-09,690.2007792127546
1998-11-10,698.1616973058815
1998-11-11,690.6427555554158
1998-11-12,698.9213437194358
1998-11-13,688.6797932886836
1998-11-16,680.447733869644
1998-11-17,688.4594722148756
1998-11-18,698.7799798116388
1998-11-19,690.0931324063793
1998-11-20,683.7661771693116
1998-11-23,674.5878677878883
1998-11-24,671.177394595323
1998-11-25,663.7505506368516
1998-11-26,646.7559461663247
1998-11-27,632.7314558898539
1998-11-30,636.9373471181722
1998-12-01,634.2880813060829
1998-12-02,640.0834156706145
1998-12-03,635.9641411994145
1998-12-04,640.3074831484485
1998-12-07,658.1310438238601
1998-12-08,663.6034613492477
1998-12-09,660.8121984605034
1998-12-10,662.9068917652525
1998-12-11,668.2870802347697
1998-12-14,667.4951867448566
1998-12-15,653.9528302104126
1998-12-16,656.3542797959823
1998-12-17,631.9396164624952
1998-12-18,636.6939942096766
1998-12-21,659.3741329988609
1998-12-22,664.0312480749743
1998-12-23,663.0243310200821
1998-12-24,664.365502401251
1998-12-25,664.365502401251
1998-12-28,690.105082997108
1998-12-29,691.7170287581812
1998-12-30,707.3160485853837
1998-12-31,690.6621866422233
1999-01-01,690.6621866422233
1999-01-04,711.4515256974896
1999-01-05,716.2361119839446
1999-01-06,722.6046404569744
1999-01-07,748.6092754303933
1999-01-08,781.9638252979386
1999-01-11,804.3026011709486
1999-01-12,785.1879997434751
1999-01-13,765.8599288363671
1999-01-14,751.338748160814
1999-01-15,726.4838925325558
1999-01-18,738.9749759674236
1999-01-19,717.7632742768834
1999-01-20,717.7632742768834
1999-01-21,739.7812834912307
1999-01-22,731.8189898464661
1999-01-25,728.8654916174863
1999-01-26,728.8654916174863
1999-01-27,739.5399441893932
1999-01-28,721.9830152635077
1999-01-29,716.353715497832
1999-02-01,698.6606894649967
1999-02-02,689.8293326312753
1999-02-03,697.8495239718167
1999-02-04,684.407231866485
1999-02-05,672.4949484939757
1999-02-08,662.3507482383008
1999-02-09,664.6585051036008
1999-02-10,672.960175940908
1999-02-11,681.2109304355408
1999-02-12,682.0777659127161
1999-02-15,676.7979277993688
1999-02-16,683.040882528169
1999-02-17,685.0242754934907
1999-02-18,694.3263971321346
1999-02-19,696.7485534741166
1999-02-22,685.8879796068613
1999-02-23,683.6125720310442
1999-02-24,686.2928032638587
1999-02-25,684.4822874458209
1999-02-26,675.4718310174534
1999-03-01,703.1573594419699
1999-03-02,703.15735944197
1999-03-03,725.966608889199
1999-03-04,717.9922655025971
1999-03-05,728.0418372602121
1999-03-08,746.884057492935
1999-03-09,755.1146156512901
1999-03-10,745.4100584474838
1999-03-11,724.8640815442043
1999-03-12,728.2586417486274
1999-03-15,740.8835856429461
1999-03-16,731.4166549280684
1999-03-17,721.866974881714
1999-03-18,721.866974881714
1999-03-19,727.3018020590241
1999-03-22,742.7359646495921
1999-03-23,749.167972796292
1999-03-24,734.6964722999453
1999-03-25,734.6964722999453
1999-03-26,710.4869738825818
1999-03-29,710.4869738825818
1999-03-30,723.5565731071013
1999-03-31,737.7833136877819
1999-04-01,729.5391245727398
1999-04-02,729.5391245727398
1999-04-05,691.7055630348601
1999-04-06,691.9206991142566
1999-04-07,688.5596053160732
1999-04-08,679.6577083371894
1999-04-09,656.9242309368536
1999-04-12,658.7925036473615
1999-04-13,654.8163019918468
1999-04-14,654.8163019918468
1999-04-15,636.2366680123889
1999-04-16,676.8823235522543
1999-04-19,653.8672942527053
1999-04-20,657.3556378111342
1999-04-21,658.2035789802328
1999-04-22,642.9475635236363
1999-04-23,637.6878309361373
1999-04-26,606.6754113163768
1999-04-27,606.958805178956
1999-04-28,624.1161695065005
1999-04-29,639.0391802371847
1999-04-30,639.3752807878003
1999-05-03,656.8428749057273
