Date,TAIWAN VALUE WEIGHTED
1996-11-29,1000.0
1996-12-31,1013.8451474291776
1997-01-01,1013.8451474291776
1997-01-02,1013.8451474291776
1997-01-03,1013.8451474291776
1997-01-06,1000.464167705845
1997-01-07,1002.5705030115827
1997-01-08,1022.6775497240744
1997-01-09,1019.9721667718273
1997-01-10,1028.149190713352
1997-01-13,1044.0941455763495
1997-01-14,1039.7857040020178
1997-01-15,1046.391062720526
1997-01-16,1055.5081882053983
1997-01-17,1044.9696705276413
1997-01-20,1053.3790925511637
1997-01-21,1048.0785025547932
1997-01-22,1053.1260405077087
1997-01-23,1048.9859737341812
1997-01-24,1052.6367099604818
1997-01-27,1036.9720231575488
1997-01-28,1036.197272878545
1997-01-29,1036.4403403131903
1997-01-30,1046.9605235119811
1997-01-31,1057.613774819666
1997-02-03,1065.9152945110523
1997-02-04,1065.9152945110523
1997-02-05,1063.58966114121
1997-02-06,1063.58966114121
1997-02-07,1063.2030418532634
1997-02-10,1063.58966114121
1997-02-11,1068.7333930013315
1997-02-12,1072.0853854316797
1997-02-13,1087.8659309313193
1997-02-14,1083.5631660255697
1997-02-17,1104.178631698248
1997-02-18,1097.1054854326314
1997-02-19,1098.6498672578027
1997-02-20,1099.494301965555
1997-02-21,1121.0693448784677
1997-02-24,1136.9531905553113
1997-02-25,1133.406401993187
1997-02-26,1111.1983592537044
1997-02-27,1128.1619043417388
1997-02-28,1134.9943813376042
1997-03-03,1137.3507351950009
1997-03-04,1153.9820546672881
1997-03-05,1160.4294762508052
1997-03-06,1168.0582969727668
1997-03-07,1183.2788117994887
1997-03-10,1175.1352606934292
1997-03-11,1182.8941372108611
1997-03-12,1184.8889254528765
1997-03-13,1188.087190256402
1997-03-14,1192.5997851685877
1997-03-17,1224.7583539873156
1997-03-18,1238.6193983222233
1997-03-19,1220.519212425536
1997-03-20,1222.4856175773132
1997-03-21,1177.4965282147095
1997-03-24,1136.2964621394926
1997-03-25,1130.3202854310982
1997-03-26,1157.1233986307102
1997-03-27,1162.9566688710343
1997-03-28,1168.1915814259369
1997-03-31,1155.3408221780558
1997-04-01,1180.8486267977357
1997-04-02,1186.8193582896204
1997-04-03,1212.0273549187425
1997-04-04,1212.0273549187425
1997-04-07,1245.3270011442496
1997-04-08,1241.9916088515247
1997-04-09,1268.3979534936593
1997-04-10,1264.04641227592
1997-04-11,1274.5970590760703
1997-04-14,1277.3617669386556
1997-04-15,1277.7879805217037
1997-04-16,1277.4399851189985
1997-04-17,1254.3260964017556
1997-04-18,1221.1314364245663
1997-04-21,1234.670384937309
1997-04-22,1230.0290010194908
1997-04-23,1257.5428740888465
1997-04-24,1259.4890329111208
1997-04-25,1269.7640707062444
1997-04-28,1271.2247957354818
1997-04-29,1264.439574840576
1997-04-30,1249.5642282140757
1997-05-01,1249.5642282140757
1997-05-02,1205.5452218084345
1997-05-05,1224.220997931808
1997-05-06,1224.160354009166
1997-05-07,1254.4007278263025
1997-05-08,1243.6405433136779
1997-05-09,1237.2550042603248
1997-05-12,1194.1718368576703
1997-05-13,1196.8754792822897
1997-05-14,1224.3527350416584
1997-05-15,1187.8119384873921
1997-05-16,1199.0037008252762
1997-05-19,1212.573361212055
1997-05-20,1193.5865194737605
1997-05-21,1201.8795677405785
1997-05-22,1224.3307286216639
1997-05-23,1226.494202873097
1997-05-26,1243.4558000523089
1997-05-27,1230.1950195886734
1997-05-28,1227.646395013772
1997-05-29,1218.0130718987807
1997-05-30,1223.2490384940777
1997-06-02,1251.2315260343682
1997-06-03,1258.5429447915697
1997-06-04,1263.3263356582454
1997-06-05,1253.9760860907588
1997-06-06,1267.2005944475588
1997-06-09,1281.9928211449717
1997-06-10,1297.5182099408066
1997-06-11,1275.9797509929917
1997-06-12,1273.1855937111313
1997-06-13,1279.3632231787674
1997-06-16,1321.8952694855882
1997-06-17,1326.0638405645643
1997-06-18,1332.2774376311424
1997-06-19,1318.721895943847
1997-06-20,1358.9451828995332
1997-06-23,1365.7284685308146
1997-06-24,1369.1481917915019
1997-06-25,1378.2369936639034
1997-06-26,1372.9530014526215
1997-06-27,1383.5965683908207
1997-06-30,1389.9146295908956
1997-07-01,1389.9146295908956
1997-07-02,1381.521539524719
1997-07-03,1381.908634794786
1997-07-04,1410.378980147521
1997-07-07,1423.1726059779958
1997-07-08,1418.0884623989357
