Date,CHILE VALUE WEIGHTED
1995-11-30,1000.0
1995-12-29,1066.8132011670732
1996-01-31,1026.6000959334067
1996-02-29,1011.4147713554324
1996-03-29,975.2065569391981
1996-04-30,1036.1256318677474
1996-05-31,1024.764852788062
1996-06-28,1074.4959253195937
1996-07-31,1058.1105157925542
1996-08-30,1020.9525145975953
1996-09-30,1037.0572558437004
1996-10-31,1015.4758020641435
1996-11-29,950.8374241359752
1996-12-31,903.9518125838581
1997-01-01,903.9518125838581
1997-01-02,908.2932763848306
1997-01-03,928.1738390715759
1997-01-06,948.2199430455347
1997-01-07,959.573526489271
1997-01-08,974.6220496828672
1997-01-09,966.9863581097908
1997-01-10,963.4118823900588
1997-01-13,971.5025766423523
1997-01-14,987.8075212628228
1997-01-15,1000.3307092781383
1997-01-16,997.0209348517791
1997-01-17,1009.9829897129079
1997-01-20,1022.3801246749144
1997-01-21,1010.6681880518141
1997-01-22,988.1266195368596
1997-01-23,1002.4147726319617
1997-01-24,986.7587419842822
1997-01-27,972.439367236836
1997-01-28,982.5398773121269
1997-01-29,986.8117170012133
1997-01-30,1001.5450850715508
1997-01-31,1005.7513451887561
1997-02-03,1016.5089697061762
1997-02-04,1017.5429068501298
1997-02-05,1017.3251840984105
1997-02-06,1017.4534985661047
1997-02-07,1049.8552484765214
1997-02-10,1046.4452938561626
1997-02-11,1035.1701719322202
1997-02-12,1044.8741859841418
1997-02-13,1055.6042867794051
1997-02-14,1049.5938850947464
1997-02-17,1044.1374944073814
1997-02-18,1050.0472433084942
1997-02-19,1048.1217358018528
1997-02-20,1050.9865248803665
1997-02-21,1048.259768712172
1997-02-24,1052.6332128149597
1997-02-25,1073.6500605605559
1997-02-26,1071.38906400529
1997-02-27,1062.9694568629905
1997-02-28,1050.1929375511827
1997-03-03,1038.3502079454552
1997-03-04,1037.1109344938159
1997-03-05,1037.0469491160848
1997-03-06,1042.615351903134
1997-03-07,1054.2036001789052
1997-03-10,1056.179067357361
1997-03-11,1058.429946002197
1997-03-12,1051.8664862928727
1997-03-13,1043.2600781088595
1997-03-14,1043.575324502131
1997-03-17,1032.4510326913116
1997-03-18,1022.5321172454549
1997-03-19,1013.3237388489248
1997-03-20,1010.8006655031386
1997-03-21,1013.0752283121709
1997-03-24,1012.0241265577029
1997-03-25,1010.8002148478153
1997-03-26,1012.8180313380174
1997-03-27,1023.0624670852817
1997-03-28,1023.0624670852817
1997-03-31,1014.6784169394234
1997-04-01,1013.5098187446586
1997-04-02,1021.5679380734607
1997-04-03,1040.781724146688
1997-04-04,1033.4250341142383
1997-04-07,1037.1292550212233
1997-04-08,1039.6725992439071
1997-04-09,1037.6576109367331
1997-04-10,1048.7694832374534
1997-04-11,1037.8786608935234
1997-04-14,1030.8369820030957
1997-04-15,1024.8065716918695
1997-04-16,1035.1849295678592
1997-04-17,1035.1276484224495
1997-04-18,1039.8848919214793
1997-04-21,1032.7919225723438
1997-04-22,1039.3075891462156
1997-04-23,1042.2431165791972
1997-04-24,1043.4262038284837
1997-04-25,1040.0153291818747
1997-04-28,1037.031200486636
1997-04-29,1043.9053144830825
1997-04-30,1047.1058699384507
1997-05-01,1047.1058699384507
1997-05-02,1057.2385284328195
1997-05-05,1061.5398068993834
1997-05-06,1065.1127494631917
1997-05-07,1063.5374640442676
1997-05-08,1069.5366410909267
1997-05-09,1073.3494936630348
