Date,KOREA VALUE WEIGHTED
1995-11-30,1000.0
1995-12-29,943.5154509280482
1996-01-31,930.0143988485796
1996-02-29,903.4168452202258
1996-03-29,924.9765363106951
1996-04-30,1031.3975945273153
1996-05-31,906.572401652504
1996-06-28,805.363295649119
1996-07-31,782.3613693151513
1996-08-30,742.1932303589942
1996-09-30,724.9078791749307
1996-10-31,684.535134213998
1996-11-29,675.8360798318342
1996-12-31,581.5323115319313
1997-01-01,581.5323115319313
1997-01-02,582.6693955089742
1997-01-03,596.8922659076522
1997-01-06,578.315252339481
1997-01-07,567.9344645717557
1997-01-08,586.2801464838972
1997-01-09,602.1593699129081
1997-01-10,608.5582673741596
1997-01-13,613.2212909288869
1997-01-14,642.2932274244631
1997-01-15,650.7445323194802
1997-01-16,656.00047871331
1997-01-17,642.5969308426246
1997-01-20,652.596957012534
1997-01-21,627.3005498533001
1997-01-22,614.186374056124
1997-01-23,610.6435810087019
1997-01-24,613.4653944525302
1997-01-27,596.5795640469779
1997-01-28,598.0693840702195
1997-01-29,600.6177257578238
1997-01-30,608.4384144657784
1997-01-31,613.9608705120494
1997-02-03,615.8566439982997
1997-02-04,625.5405084549053
1997-02-05,627.9648441151936
1997-02-06,629.6101513344595
1997-02-07,630.7003853627443
1997-02-10,635.8276108165423
1997-02-11,636.522104680295
1997-02-12,638.5773368903178
1997-02-13,647.1884292612361
1997-02-14,644.6864316079798
1997-02-17,628.3946067854714
1997-02-18,630.958199742533
1997-02-19,641.7924131517333
1997-02-20,640.7498796423453
1997-02-21,616.475725491313
1997-02-24,602.5695749945071
1997-02-25,612.99170471419
1997-02-26,609.2978372428514
1997-02-27,596.9924637866984
1997-02-28,601.3219682474955
1997-03-03,603.7670774967903
1997-03-04,599.4515198100986
1997-03-05,589.1095340729719
1997-03-06,590.8680375370304
1997-03-07,590.8914672915513
1997-03-10,573.5489154011441
1997-03-11,562.5248157663436
1997-03-12,572.2489174554843
1997-03-13,565.8105314530003
1997-03-14,552.6885588578388
1997-03-17,569.0382790204743
1997-03-18,567.7720890820941
1997-03-19,556.2985942638799
1997-03-20,556.468889777895
1997-03-21,544.4875669550828
1997-03-24,544.4794439007728
1997-03-25,564.0112791743427
1997-03-26,577.5071768643323
1997-03-27,564.6005697095463
1997-03-28,562.6271813226572
1997-03-31,582.1079743888919
1997-04-01,580.9347677626736
1997-04-02,589.9224006548798
1997-04-03,592.7048210063591
1997-04-04,604.9365224787757
1997-04-07,612.9457217485034
1997-04-08,612.3458714109372
1997-04-09,610.4827559651866
