Date,BRAZIL VALUE WEIGHTED
1995-11-30,1000.0
1995-12-29,971.3277429787697
1996-01-31,1136.971373643725
1996-02-29,1090.3440001506262
1996-03-29,1072.2426358253683
1996-04-30,1078.2056967202539
1996-05-31,1140.6157076207521
1996-06-28,1194.4525739537205
1996-07-31,1182.0724703025721
1996-08-30,1183.199318755874
1996-09-30,1188.8802808541866
1996-10-31,1260.5084416482262
1996-11-29,1299.6208345000105
1996-12-31,1374.0835117589688
1997-01-01,1374.0835117589688
1997-01-02,1364.648030480141
1997-01-03,1370.647525836672
1997-01-06,1391.9166249853247
1997-01-07,1414.063720155089
1997-01-08,1424.6100798121313
1997-01-09,1424.8095229935636
1997-01-10,1424.0725473386335
1997-01-13,1417.6490118652778
1997-01-14,1451.4709003544363
1997-01-15,1457.7927804358092
1997-01-16,1468.5660999491236
1997-01-17,1490.325503840849
1997-01-20,1498.4310973969305
1997-01-21,1512.8769045059123
1997-01-22,1503.6525014370668
1997-01-23,1514.2788136101956
1997-01-24,1493.4288125217033
1997-01-27,1492.3327869027341
1997-01-28,1509.051379570374
1997-01-29,1487.743219844935
1997-01-30,1495.4296048881222
1997-01-31,1524.9225144002835
1997-02-03,1554.2415825121598
1997-02-04,1551.1876770387005
1997-02-05,1562.0012127347366
1997-02-06,1561.3065145663647
1997-02-07,1593.5189200285315
1997-02-10,1593.5189200285315
1997-02-11,1593.5189200285315
1997-02-12,1657.9902597221937
1997-02-13,1657.3352225368408
1997-02-14,1660.524533464173
1997-02-17,1672.9669617625598
1997-02-18,1697.1163474327584
1997-02-19,1667.169990263646
1997-02-20,1656.2004603619002
1997-02-21,1653.3162832318483
1997-02-24,1681.2978318960375
1997-02-25,1705.542991732766
1997-02-26,1678.9512065022611
1997-02-27,1656.74615267976
1997-02-28,1666.7801923423515
1997-03-03,1680.9228655656716
1997-03-04,1681.826469554889
1997-03-05,1690.3192392809099
1997-03-06,1696.6376877553087
1997-03-07,1709.018758318503
1997-03-10,1743.5888393233008
1997-03-11,1758.3731136131476
1997-03-12,1706.9216376455295
1997-03-13,1709.001554863684
1997-03-14,1736.8815789942144
1997-03-17,1702.217862512658
1997-03-18,1682.5786408577746
1997-03-19,1669.1543422866469
1997-03-20,1695.5522443964567
1997-03-21,1692.0777076432412
1997-03-24,1694.6592322011154
1997-03-25,1701.1814954379952
1997-03-26,1687.1310702952105
1997-03-27,1687.1310702952105
1997-03-28,1687.1310702952105
1997-03-31,1646.82897549413
1997-04-01,1656.5879597608146
1997-04-02,1659.7296769190943
1997-04-03,1662.7951735343636
1997-04-04,1713.0727688401778
1997-04-07,1747.7437949893113
1997-04-08,1742.4274043895127
1997-04-09,1763.4420192516582
1997-04-10,1754.93249161129
1997-04-11,1720.851504613987
1997-04-14,1706.8926388798413
1997-04-15,1710.5979125967956
1997-04-16,1723.9370619606352
1997-04-17,1697.7260467045235
1997-04-18,1691.0477414016395
1997-04-21,1691.0477414016395
1997-04-22,1708.056637776968
1997-04-23,1727.9750997808003
1997-04-24,1749.3531005293219
1997-04-25,1752.4639333670189
1997-04-28,1766.409918431474
1997-04-29,1783.6456776562948
1997-04-30,1804.9411442193284
1997-05-01,1804.9411442193284
1997-05-02,1821.3685015186372
1997-05-05,1806.3644956887476
1997-05-06,1825.672394672896
1997-05-07,1819.296089075145
1997-05-08,1842.6953191988043
1997-05-09,1845.3565561369826
1997-05-12,1870.1403363311015
1997-05-13,1877.4194291731574
1997-05-14,1813.050224179392
1997-05-15,1830.2283603659964
1997-05-16,1839.8114299025185
1997-05-19,1838.4722779794836
1997-05-20,1862.9768930944786
1997-05-21,1870.0448563646053
1997-05-22,1862.6094646117638
1997-05-23,1862.8674252011692
1997-05-26,1884.0509526325993
1997-05-27,1894.2008862101495
1997-05-28,1917.2660201181225
1997-05-29,1917.2660201181225
1997-05-30,1935.4927942335612
1997-06-02,1941.462046613596
1997-06-03,1924.4500601439295
1997-06-04,1917.321877252933
1997-06-05,1934.7623997298033
1997-06-06,1969.710053236216
1997-06-09,1969.835758388489
1997-06-10,1979.1553815041495
1997-06-11,1994.2798954582654
1997-06-12,2053.9087133056155
1997-06-13,2071.5057733174895
1997-06-16,2101.203298052578
1997-06-17,2132.093251333026
1997-06-18,2134.9126236624697
1997-06-19,2143.1426064632765
1997-06-20,2132.68048909275
1997-06-23,2153.053866621594
1997-06-24,2205.1760362211653
1997-06-25,2262.2148843823356
1997-06-26,2231.8276232593257
1997-06-27,2215.7292229392265
1997-06-30,2188.0304514993554
1997-07-01,2244.7641850948094
1997-07-02,2278.9275752370704
1997-07-03,2281.0810296981776
1997-07-04,2321.599633296385
1997-07-07,2335.106649323301
1997-07-08,2373.204999613995
1997-07-09,2371.117264870377
1997-07-10,2388.014946435978
1997-07-11,2345.450035255238
1997-07-14,2278.1725685370197
1997-07-15,2092.8372868194747
1997-07-16,2213.6214687777224
1997-07-17,2098.8361187123114
1997-07-18,2025.3179526845831
1997-07-21,2038.004338050262
1997-07-22,2177.2870264255507
1997-07-23,2210.4510341474115
1997-07-24,2230.8909598746313
1997-07-25,2243.3793938399117
1997-07-28,2287.330964632059
1997-07-29,2296.497738964365
1997-07-30,2284.4163667792445
1997-07-31,2272.264213308809
1997-08-01,2189.6294871479304
1997-08-04,2162.607500313199
1997-08-05,2147.537690770481
1997-08-06,2225.8088256267274
1997-08-07,2205.20854447935
1997-08-08,2189.2714341303017
1997-08-11,2168.8805197771644
1997-08-12,2164.2755908871427
1997-08-13,2164.808278922503
1997-08-14,2182.42948279775
1997-08-15,2103.126715193212
1997-08-18,2065.3255183018528
1997-08-19,2083.1077980822633
1997-08-20,2027.4568790470596
1997-08-21,2056.564325205625
1997-08-22,2050.3928065809678
1997-08-25,2079.7858769925106
1997-08-26,2116.101861443643
1997-08-27,2152.4393945479246
1997-08-28,2093.883491704699
1997-08-29,1997.9961198187755
1997-09-01,1902.3230944917782
1997-09-02,2033.8036816150625
1997-09-03,2075.0287061546023
1997-09-04,2123.3743180699976
1997-09-05,2186.87750114142
1997-09-08,2169.531982623056
1997-09-09,2172.841067441058
1997-09-10,2120.1096687936097
1997-09-11,2074.742019130221
1997-09-12,2092.3429451759353
