Date,CHINA A ONSHORE VALUE WEIGHTED
2008-06-03,852.1206133406084
2008-06-04,836.1274425451322
2008-06-05,827.8494942875396
2008-06-06,824.9670697204306
2008-06-09,824.9670697204306
2008-06-10,753.1448342483616
2008-06-11,736.5481347313421
2008-06-12,726.9059250452142
2008-06-13,703.0590000160132
2008-06-16,698.6197407459649
2008-06-17,671.8590874324811
2008-06-18,707.8071320072837
2008-06-19,651.8676197154554
2008-06-20,669.1167859971563
2008-06-23,657.6605603526702
2008-06-24,671.6272842790372
2008-06-25,701.8281396937948
2008-06-26,704.6045873420686
2008-06-27,663.0048433509824
2008-06-30,660.0648047496546
2008-07-01,638.2760776519699
2008-07-02,643.0873918171922
2008-07-03,661.4015477673719
2008-07-04,658.4522570677091
2008-07-07,693.576807204825
2008-07-08,701.3607288618035
2008-07-09,727.584209476301
2008-07-10,717.5954248766412
2008-07-11,711.3712307173925
2008-07-14,717.0771820983447
2008-07-15,691.3171334660954
2008-07-16,664.7840749835029
2008-07-17,656.422669121373
2008-07-18,682.2196786837965
2008-07-21,704.6723825544705
2008-07-22,704.5551081466266
2008-07-23,698.7102672797666
2008-07-24,720.8938663283019
2008-07-25,713.4414646117857
2008-07-28,717.5819542786417
2008-07-29,703.177349813892
2008-07-30,698.7414782622207
2008-07-31,678.0175509844155
2008-08-01,685.5077546556803
2008-08-04,666.872143265505
2008-08-05,649.6840931373561
2008-08-06,653.9836506912058
2008-08-07,654.4971412115601
2008-08-08,620.1417042784356
2008-08-11,585.141639206249
2008-08-12,583.3422557388435
2008-08-13,585.1349112678731
2008-08-14,584.8289265145455
2008-08-15,584.1402676935587
2008-08-18,550.5268673564699
2008-08-19,560.076525936661
2008-08-20,604.732061029259
2008-08-21,584.1989101268475
2008-08-22,575.1415723682607
2008-08-25,572.9573932631814
2008-08-26,555.4732174190751
2008-08-27,554.6473973620865
2008-08-28,557.2481440869985
2008-08-29,571.0328517753333
2008-09-01,554.0202521192484
2008-09-02,549.7275783864188
2008-09-03,542.932979409642
2008-09-04,544.2988325660277
2008-09-05,526.8430724055888
2008-09-08,511.6980942501676
2008-09-09,515.4430035179978
2008-09-10,517.4332982075967
2008-09-11,500.8516596979915
2008-09-12,501.9065231814509
2008-09-15,501.9065231814509
2008-09-16,484.6491086550127
2008-09-17,467.77446120500827
2008-09-18,459.4045755298756
2008-09-19,502.39859252610734
2008-09-22,534.2272520077959
2008-09-23,512.7514785473293
2008-09-24,515.0747943856431
2008-09-25,535.3178120499883
2008-09-26,537.9785374857171
2008-09-29,537.9785374857171
2008-09-30,537.9785374857171
