Date,CHINA A RMB VALUE WEIGHTED
2008-11-25,1000.0
2008-11-26,1008.9349125712588
2008-11-27,1022.3002440812428
2008-11-28,996.6845358909131
2008-12-01,998.6692319689566
2008-12-02,993.8000341463083
2008-12-03,1040.1924306372284
2008-12-04,1062.015527935553
2008-12-05,1073.4229260771904
2008-12-08,1116.630463236702
2008-12-09,1089.5439443110022
2008-12-10,1118.5588997678806
2008-12-11,1091.4797788949797
2008-12-12,1047.02191290305
2008-12-15,1050.9907850064558
2008-12-16,1056.3077783558824
2008-12-17,1058.2496861456602
2008-12-18,1082.878294498758
2008-12-19,1082.1103020373982
2008-12-22,1058.132843003549
2008-12-23,1006.8213657659106
2008-12-24,990.6789995835885
2008-12-25,983.5176957027159
2008-12-26,982.8615525607415
2008-12-29,977.6182133094554
2008-12-30,967.945804162941
2008-12-31,965.7488464634529
2009-01-01,965.7488464634529
2009-01-02,965.7488464634529
2009-01-05,1003.3411808926867
2009-01-06,1034.9255760371473
2009-01-07,1027.5091660706116
2009-01-08,1001.0375346212707
2009-01-09,1014.6689806433634
2009-01-12,1011.4666170194134
2009-01-13,992.0505369333617
2009-01-14,1032.5285644175522
2009-01-15,1027.0843301817383
2009-01-16,1047.2083241221565
2009-01-19,1064.8082926246943
2009-01-20,1069.9396498647009
2009-01-21,1063.6725649892787
2009-01-22,1073.5263130668845
2009-01-23,1068.69245436571
2009-01-26,1068.6924543657099
2009-01-27,1068.6924543657096
2009-01-28,1068.6924543657094
2009-01-29,1068.6924543657092
2009-01-30,1068.692454365709
2009-02-02,1076.0890147164098
2009-02-03,1104.5603042982207
2009-02-04,1137.9842473461513
2009-02-05,1136.2528791856416
2009-02-06,1178.432163202325
2009-02-09,1205.4393982915258
2009-02-10,1217.0543584403244
2009-02-11,1218.3030526765301
2009-02-12,1205.5089731390776
2009-02-13,1249.7152676968017
2009-02-16,1292.6229187402175
2009-02-17,1247.8344405464627
2009-02-18,1183.0705618251204
2009-02-19,1194.044877440527
2009-02-20,1211.264700365201
2009-02-23,1235.3991437470795
2009-02-24,1171.370392000986
2009-02-25,1175.7689919926113
2009-02-26,1129.9803582723507
