Date,SOUTH AFRICA VALUE WEIGHTED
1995-11-30,1000.0
1995-12-29,1049.402226131952
1996-01-31,1145.324821357599
1996-02-29,1054.5569357071518
1996-03-29,1044.8005986184944
1996-04-30,1003.8757809055802
1996-05-31,978.8637704858905
1996-06-28,994.8394851618082
1996-07-31,906.6723837185315
1996-08-30,911.6883883631499
1996-09-30,930.6099716201819
1996-10-31,907.0012280893772
1996-11-29,900.9019089737985
1996-12-31,875.564979318503
1997-01-01,875.564979318503
1997-01-02,864.8731291441567
1997-01-03,863.2365314036705
1997-01-06,862.0978700375525
1997-01-07,877.8457891553642
1997-01-08,883.5290310159303
1997-01-09,887.4371248210305
1997-01-10,887.0140417071541
1997-01-13,902.7316027719403
1997-01-14,902.0981358352008
1997-01-15,904.8453671211928
1997-01-16,907.6543814866142
1997-01-17,911.4848388227698
1997-01-20,910.929200562041
1997-01-21,902.2025076116901
1997-01-22,913.301106301656
1997-01-23,910.3058131671471
1997-01-24,907.3259668582369
1997-01-27,914.2387532563962
1997-01-28,921.4513189995453
1997-01-29,915.8090350895575
1997-01-30,912.058477930154
1997-01-31,915.5536592354523
1997-02-03,930.4504426352167
1997-02-04,939.1304719751304
1997-02-05,955.9438419396075
1997-02-06,968.2666724754198
1997-02-07,978.037051032673
1997-02-10,999.1575622821636
1997-02-11,998.261020723382
1997-02-12,997.2476820876473
1997-02-13,1003.7583404527549
1997-02-14,995.7566171762903
1997-02-17,998.3786138799252
1997-02-18,996.7861446778622
1997-02-19,992.4063264418777
1997-02-20,990.1304669169471
1997-02-21,991.9823251448896
1997-02-24,1008.8680459081689
1997-02-25,1018.898865180521
1997-02-26,1014.5635390729547
1997-02-27,1002.3212704777054
1997-02-28,991.4713892232585
1997-03-03,995.9205705477339
1997-03-04,998.8000733524065
1997-03-05,988.4474758951667
1997-03-06,989.7865148339155
1997-03-07,987.676072896999
1997-03-10,1002.3851496318524
1997-03-11,1012.8147316142638
1997-03-12,1017.8744604553061
1997-03-13,1020.3550671119887
1997-03-14,1001.1661760573644
1997-03-17,1004.0118035484408
1997-03-18,1005.7709044007568
1997-03-19,1002.4518399197117
1997-03-20,1002.6211303214109
1997-03-21,1003.3004129300297
1997-03-24,1004.2509460047555
1997-03-25,1008.2860176464555
1997-03-26,1001.1396464478348
1997-03-27,1007.4602296073328
1997-03-28,1007.5514127936306
1997-03-31,1007.3234857689062
1997-04-01,989.6837370612209
1997-04-02,995.0598755814286
1997-04-03,999.9234407375311
1997-04-04,1008.9918198786423
1997-04-07,1020.1836254831708
1997-04-08,1013.7864967251188
1997-04-09,1012.8461616510186
1997-04-10,1007.2340034509552
1997-04-11,1005.9107346429893
1997-04-14,997.9601317007955
1997-04-15,1004.2351232653648
1997-04-16,1000.9443603555163
1997-04-17,998.9724306091363
1997-04-18,1005.8796981874426
1997-04-21,1007.908098991008
1997-04-22,1012.758569328913
1997-04-23,1015.3141271983277
1997-04-24,1017.2719522569538
1997-04-25,1012.2472848626934
1997-04-28,1014.869096523937
1997-04-29,1020.8853745884032
1997-04-30,1022.7047943938741
