Date,CHINA VALUE WEIGHTED
1996-11-29,1000.0
1996-12-31,1114.1519129639
1997-01-01,1114.1519129639
1997-01-02,1117.6373497966488
1997-01-03,1087.704089384807
1997-01-06,1049.0875510957553
1997-01-07,1074.0280584344757
1997-01-08,1049.9344790546609
1997-01-09,1051.1770035720383
1997-01-10,1061.0572969233601
1997-01-13,1068.5496979852346
1997-01-14,1052.7230120951858
1997-01-15,1052.6212829936992
1997-01-16,1049.0784211336538
1997-01-17,1061.3215052880203
1997-01-20,1066.2562980112607
1997-01-21,1060.0550890747531
1997-01-22,1074.8595887277984
1997-01-23,1090.1357942979082
1997-01-24,1090.9615868816434
1997-01-27,1102.347443747516
1997-01-28,1099.424608819122
1997-01-29,1107.8413394586514
1997-01-30,1109.5239599221363
1997-01-31,1134.2716456154
1997-02-03,1134.2188294348073
1997-02-04,1134.2386342246364
1997-02-05,1134.2056270934067
1997-02-06,1134.2386342246361
1997-02-07,1134.3839162164174
1997-02-10,1134.4400699957155
1997-02-11,1134.5358901837403
1997-02-12,1134.4698034563949
1997-02-13,1134.2716456153998
1997-02-14,1134.238634224636
1997-02-17,1123.519318497654
1997-02-18,1045.932483673855
1997-02-19,1058.3000948696051
1997-02-20,1060.3570298055884
1997-02-21,1088.4181847340508
1997-02-24,1093.255873312286
1997-02-25,1100.5293794385354
1997-02-26,1098.6383792351182
1997-02-27,1101.9277101392092
1997-02-28,1109.272240103308
1997-03-03,1121.796476741409
1997-03-04,1122.2079966054048
1997-03-05,1124.139275263753
1997-03-06,1130.1133571344262
1997-03-07,1108.5831673843302
1997-03-10,1119.1723007546739
1997-03-11,1130.5569063951518
1997-03-12,1153.4470556745478
1997-03-13,1169.9347153709664
1997-03-14,1168.425339706068
1997-03-17,1191.5276969519396
1997-03-18,1189.4369445191387
1997-03-19,1167.028215974037
1997-03-20,1149.6073275401775
1997-03-21,1169.2110803250443
1997-03-24,1170.0775716312733
1997-03-25,1168.8403400045618
1997-03-26,1189.9188803425882
1997-03-27,1191.9411238909495
1997-03-28,1188.0463894014786
1997-03-31,1192.8413983304558
1997-04-01,1190.3672905046071
1997-04-02,1195.7162505948993
1997-04-03,1195.8017969496889
1997-04-04,1193.1391892115946
1997-04-07,1200.1072446409921
1997-04-08,1189.3117003094023
1997-04-09,1185.8546990897246
