Date,EUROPE IMI MINIMUM VOLATILITY (EUR)
2001-05-31,1000.0
2001-06-01,999.8739757291412
2001-06-04,1003.6710964390096
2001-06-05,1008.6677074523185
2001-06-06,1003.994502029972
2001-06-07,1008.4004155342125
2001-06-08,1005.0680546225493
2001-06-11,994.2691325190491
2001-06-12,997.6470575146421
2001-06-13,1004.5441786480864
2001-06-14,1009.3852112264478
2001-06-15,1007.9402452029638
2001-06-18,1002.0889943298844
2001-06-19,998.9601536501872
2001-06-20,993.1477663037591
2001-06-21,992.9326307187489
2001-06-22,994.0365590682195
2001-06-25,1000.5988229534629
2001-06-26,994.3391356822991
2001-06-27,994.3906589162904
2001-06-28,986.9392178877249
2001-06-29,991.752444010386
2001-07-02,994.958147078728
2001-07-03,988.4303684218338
2001-07-04,985.9804558678809
2001-07-05,977.5118112977586
2001-07-06,978.0151371582355
2001-07-09,981.8650147444146
2001-07-10,983.8050036577868
2001-07-11,984.8280046811645
2001-07-12,979.4423502227951
2001-07-13,980.4005421704236
2001-07-16,980.5740699457652
2001-07-17,975.5246058518029
2001-07-18,990.5108681089208
2001-07-19,997.7366015357787
2001-07-20,999.4125552203573
2001-07-23,995.96751135071
2001-07-24,996.2143114207845
2001-07-25,993.1729391993107
2001-07-26,993.9066793748916
2001-07-27,998.7914477937223
2001-07-30,1004.1456644947809
2001-07-31,1009.953782713239
2001-08-01,1018.6431791324279
2001-08-02,1018.4769832204371
2001-08-03,1017.4903638329369
2001-08-06,1012.5722621582815
2001-08-07,1007.6086661902702
2001-08-08,1001.7781570067964
2001-08-09,1005.2645286907177
2001-08-10,1009.2495226644583
2001-08-13,1015.2352616413342
2001-08-14,1019.1224137041098
2001-08-15,1031.7652340522131
2001-08-16,1029.650801108936
2001-08-17,1026.7511079400952
2001-08-20,1023.2204830993257
2001-08-21,1028.9787271708478
2001-08-22,1037.0256110748637
2001-08-23,1031.6020981826355
2001-08-24,1039.331420117949
2001-08-27,1036.1054885803292
2001-08-28,1030.6976579168022
2001-08-29,1030.0741425032002
2001-08-30,1018.7479070584184
2001-08-31,1020.0029535392596
2001-09-03,1013.0682520771961
2001-09-04,1003.7593143036732
2001-09-05,995.7860661833455
2001-09-06,989.5144384692636
2001-09-07,987.662321895489
2001-09-10,970.858146605711
2001-09-11,944.3495286974537
2001-09-12,945.1712943427287
2001-09-13,955.4773139676887
2001-09-14,937.927196666722
2001-09-17,941.4055816898185
2001-09-18,935.8775769900632
2001-09-19,934.5573646172849
2001-09-20,905.4494352999056
2001-09-21,870.5483215054269
2001-09-24,895.751889571122
2001-09-25,908.0397640733821
2001-09-26,916.532932826822
2001-09-27,927.8123500037585
2001-09-28,940.0970600008828
2001-10-01,935.1083700720237
2001-10-02,941.9878459749815
2001-10-03,948.2973401737596
2001-10-04,957.8988003720567
2001-10-05,959.618936647238
2001-10-08,957.2466427643697
2001-10-09,955.2185078687257
2001-10-10,961.8093987625804
2001-10-11,957.5301384852759
2001-10-12,960.9812939914316
2001-10-15,952.6752420560864
2001-10-16,956.2827822204985
2001-10-17,963.8062127777043
2001-10-18,953.7035505138459
2001-10-19,939.5695990139434
2001-10-22,940.6662850784229
2001-10-23,946.7428223361817
2001-10-24,950.4833382281254
2001-10-25,945.4776632503822
2001-10-26,953.4235597399722
2001-10-29,954.8432947751886
2001-10-30,947.8896818686864
2001-10-31,950.4090693485616
2001-11-01,959.6991218461419
2001-11-02,956.3450855802706
2001-11-05,960.9378390234467
2001-11-06,959.4674108495793
2001-11-07,965.9848824686209
2001-11-08,967.5269093210829
2001-11-09,965.0305227263914
2001-11-12,954.3469449791655
2001-11-13,955.7047273673163
2001-11-14,956.2993106889613
2001-11-15,948.9782806857108
2001-11-16,957.3436954197487
2001-11-19,957.3993935048062
2001-11-20,958.1069033716161
2001-11-21,953.3490543824308
2001-11-22,959.1239278941199
2001-11-23,953.3876332455128
2001-11-26,953.4968725861742
2001-11-27,949.8069773595282
2001-11-28,949.3243165721349
2001-11-29,950.9552495330418
2001-11-30,960.5162024659058
2001-12-03,954.4512274325932
2001-12-04,960.5410551805428
2001-12-05,964.0101100843838
2001-12-06,968.9369162294827
2001-12-07,959.4676809897068
2001-12-10,950.8937127967566
2001-12-11,950.4837711331661
2001-12-12,952.9204437730647
2001-12-13,949.3546112940779
2001-12-14,949.5979615862756
2001-12-17,961.5487365635792
2001-12-18,960.5076985564531
2001-12-19,955.2978866123323
2001-12-20,955.6764854139127
2001-12-21,956.722975115486
2001-12-24,950.3488957253703
2001-12-25,950.3161347871714
2001-12-26,952.3802686622008
2001-12-27,968.7246318001792
2001-12-28,969.0864389897105
2001-12-31,977.2707310126037
2002-01-01,977.2375339432225
2002-01-02,982.1340842975741
2002-01-03,984.1875647982856
2002-01-04,977.5666705294537
2002-01-07,970.1451751205674
2002-01-08,965.8138697665775
2002-01-09,963.3546929856235
2002-01-10,965.2728203363904
2002-01-11,965.9781324609222
2002-01-14,962.0377674506275
2002-01-15,964.8704548608357
2002-01-16,954.1816826774713
2002-01-17,960.829227210616
2002-01-18,964.6286814510224
2002-01-21,963.9166417844187
2002-01-22,965.396804683196
2002-01-23,970.9499529910505
2002-01-24,969.4266498387639
2002-01-25,954.3307351157216
2002-01-28,955.624843008913
2002-01-29,950.0426507767505
2002-01-30,945.5098750523085
2002-01-31,952.4776403180955
2002-02-01,956.7269967606306
2002-02-04,959.5804500359762
2002-02-05,955.7446035894704
2002-02-06,954.5024406949007
2002-02-07,955.1287769467923
2002-02-08,957.654977506105
2002-02-11,966.3997795940222
2002-02-12,968.096569783641
2002-02-13,969.6594066573153
2002-02-14,973.0037917759383
2002-02-15,975.3485603199927
2002-02-18,968.3879544350843
2002-02-19,963.2070995906322
2002-02-20,959.1144777149414
2002-02-21,961.6213385499658
2002-02-22,965.1148494876252
2002-02-25,966.8528265676224
2002-02-26,966.7857535979754
2002-02-27,969.1339726009144
2002-02-28,969.3824234202026
2002-03-01,974.1158828023732
2002-03-04,983.2308702957395
2002-03-05,980.3147834213821
2002-03-06,986.0537639769115
2002-03-07,992.9156048057846
2002-03-08,991.1695946955124
2002-03-11,991.6181575226258
2002-03-12,986.6662649038467
2002-03-13,989.8400961824416
2002-03-14,998.0517942860556
2002-03-15,1004.002537819736
2002-03-18,1003.9162296000234
2002-03-19,1007.1511202309036
2002-03-20,1005.6864752062667
2002-03-21,1003.3139623172992
2002-03-22,1004.0545173289364
2002-03-25,999.1539277770155
2002-03-26,999.3146502706279
2002-03-27,997.0396705452933
2002-03-28,1003.7397999941645
2002-03-29,1003.7068656063758
2002-04-01,1012.7649320972978
2002-04-02,1014.1565135567937
2002-04-03,1013.6169100765449
2002-04-04,1009.0529936224334
2002-04-05,1007.6799100831456
2002-04-08,998.8046016584364
2002-04-09,1002.0847490957136
2002-04-10,1009.8137373369847
2002-04-11,1008.6322200249004
2002-04-12,1008.8492618321619
2002-04-15,1013.04331580862
2002-04-16,1019.4104322238596
2002-04-17,1024.8521057107769
2002-04-18,1028.0414762618936
2002-04-19,1031.1733351904202
2002-04-22,1032.2777249798842
2002-04-23,1032.7232666932412
2002-04-24,1035.115677452252
2002-04-25,1035.2079203036567
2002-04-26,1034.7168859928242
2002-04-29,1035.551620497945
2002-04-30,1040.6211689047389
2002-05-01,1045.9979056412158
2002-05-02,1045.28846167907
2002-05-03,1056.633191132586
2002-05-06,1057.512957085133
2002-05-07,1046.6276305647045
