Date,EUROPE IMI MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,999.6961054020115
2001-06-04,1003.5662141211708
2001-06-05,1008.9662189886072
2001-06-06,1002.6652865579524
2001-06-07,1005.8688057694845
2001-06-08,1002.4098633234246
2001-06-11,991.8307099555967
2001-06-12,994.5024571726493
2001-06-13,1002.0599491399589
2001-06-14,1006.1692886249563
2001-06-15,1005.3526475273713
2001-06-18,999.7362380154858
2001-06-19,997.1516489595422
2001-06-20,991.4651607765222
2001-06-21,992.2893600328856
2001-06-22,993.6370560729507
2001-06-25,1000.0202685670089
2001-06-26,992.9596037873756
2001-06-27,993.3066225865846
2001-06-28,986.6101551180674
2001-06-29,990.2446878360623
2001-07-02,994.4660850107125
2001-07-03,987.3903732371762
2001-07-04,985.0408776400058
2001-07-05,977.3507070831779
2001-07-06,977.162223497956
2001-07-09,980.6209301320233
2001-07-10,982.1411182720952
2001-07-11,982.9384785069692
2001-07-12,978.6337164705885
2001-07-13,979.0125620775509
2001-07-16,979.4581822180286
2001-07-17,973.610504901549
2001-07-18,986.8227136810904
2001-07-19,994.0540162084125
2001-07-20,996.795991122764
2001-07-23,993.5868472077824
2001-07-24,992.6508523754726
2001-07-25,990.5288783899242
2001-07-26,991.3624324337524
2001-07-27,996.383857357477
2001-07-30,1001.0986045220088
2001-07-31,1007.4483424286567
2001-08-01,1015.7868626924079
2001-08-02,1015.8522823752645
2001-08-03,1014.0223229899754
2001-08-06,1008.6603528154998
2001-08-07,1004.7831886551733
2001-08-08,999.3973192393144
2001-08-09,1001.5121576794493
2001-08-10,1005.1959494183584
2001-08-13,1010.4054868782267
2001-08-14,1014.8070013535113
2001-08-15,1027.062394285588
2001-08-16,1025.28665063853
2001-08-17,1021.6923680612467
2001-08-20,1017.2908828214518
2001-08-21,1023.344898914775
2001-08-22,1031.2997253710512
2001-08-23,1025.5828460896917
2001-08-24,1033.6535754514073
2001-08-27,1030.659789615419
2001-08-28,1025.260824970868
2001-08-29,1024.2397411586026
2001-08-30,1012.5995583351577
2001-08-31,1013.2078697893576
2001-09-03,1006.2658141025458
2001-09-04,998.7643064936816
2001-09-05,991.765862788852
2001-09-06,984.3422268762309
2001-09-07,980.9859460647594
2001-09-10,964.9852681566616
2001-09-11,937.3091192302398
2001-09-12,938.9951046233663
2001-09-13,950.0384830906066
2001-09-14,932.1642331707103
2001-09-17,935.317263254979
2001-09-18,927.1362914427588
2001-09-19,924.5287605053287
2001-09-20,895.2438912255087
2001-09-21,860.3153333125657
2001-09-24,885.4626717183795
2001-09-25,897.7140670324026
2001-09-26,905.4593593677884
2001-09-27,917.131558524792
2001-09-28,931.298283644746
2001-10-01,926.4829570898677
2001-10-02,932.1965265081722
2001-10-03,940.192390958992
2001-10-04,951.0203530044914
2001-10-05,951.9406430569769
2001-10-08,948.429060310166
2001-10-09,946.4363241334271
2001-10-10,953.1636072937134
2001-10-11,951.0839377037823
2001-10-12,954.3231059325875
2001-10-15,945.7405210269332
2001-10-16,949.7372321295195
2001-10-17,958.4643938130546
2001-10-18,947.5501763815757
2001-10-19,932.7436573340099
2001-10-22,933.2233248739608
2001-10-23,939.8405180699876
2001-10-24,943.2529699404938
