Date,ACWI ex JAPAN IMI MINIMUM VOL (USD)
2001-05-31,1000.0
2001-06-01,1002.095130181498
2001-06-04,1006.2547331334771
2001-06-05,1009.4708695075861
2001-06-06,1003.4303244595678
2001-06-07,1005.7663048770199
2001-06-08,1005.4360234766241
2001-06-11,1002.7402630122773
2001-06-12,1005.0948109749451
2001-06-13,1004.4872614135528
2001-06-14,999.7203409764807
2001-06-15,998.0287923060243
2001-06-18,993.0030660893957
2001-06-19,992.0226276155727
2001-06-20,992.0169900998676
2001-06-21,990.625667525318
2001-06-22,987.1501151044396
2001-06-25,986.2467365149325
2001-06-26,985.2072557930328
2001-06-27,982.2262966564007
2001-06-28,980.6308284174211
2001-06-29,983.8864779648231
2001-07-02,987.8752495390275
2001-07-03,984.8037079853182
2001-07-04,983.8200775092974
2001-07-05,980.0055888064726
2001-07-06,974.815856241689
2001-07-09,975.6799957698786
2001-07-10,974.0317700230248
2001-07-11,972.1488428776937
2001-07-12,973.5302772126036
2001-07-13,974.0301292225561
2001-07-16,971.8907816141441
2001-07-17,972.7634396964688
2001-07-18,977.4080898360186
2001-07-19,981.9351487134956
2001-07-20,980.6584086533096
2001-07-23,971.6786790018296
2001-07-24,962.7544560285916
2001-07-25,970.9567456360535
2001-07-26,975.2051314410851
2001-07-27,975.5979700792203
2001-07-30,979.0465604088866
2001-07-31,984.7265540437272
2001-08-01,989.7840975829147
2001-08-02,992.6155262421236
2001-08-03,991.5798293638838
2001-08-06,986.7283856061681
2001-08-07,987.2156676101145
2001-08-08,982.574224747142
2001-08-09,984.0287735603844
2001-08-10,988.6256522541867
2001-08-13,990.6607733670556
2001-08-14,993.4232373254675
2001-08-15,999.6261668533198
2001-08-16,1000.7101500593512
2001-08-17,997.6266930198232
2001-08-20,997.3501405616254
2001-08-21,999.9062990130118
2001-08-22,1003.731389649017
2001-08-23,1001.9168665488506
2001-08-24,1006.8320054602842
2001-08-27,1005.7348087481969
2001-08-28,1000.4393487240683
2001-08-29,997.6380979877409
2001-08-30,989.2675454458088
2001-08-31,987.6967536522877
2001-09-03,984.8977497137574
2001-09-04,986.6672130340207
2001-09-05,984.7731709572939
2001-09-06,977.018751057177
2001-09-07,971.0085962887008
2001-09-10,964.9958696914446
2001-09-11,956.5677204385314
2001-09-12,954.2669234570183
2001-09-13,955.4318370504399
2001-09-14,947.3484125960648
2001-09-17,933.0540660638584
2001-09-18,929.6709165184812
2001-09-19,921.3057200139899
2001-09-20,900.3555863240628
2001-09-21,876.211113637463
2001-09-24,888.1128718683449
2001-09-25,895.3564651950285
2001-09-26,900.4959158958136
2001-09-27,911.9474492765094
2001-09-28,927.3498833532375
2001-10-01,922.3144228681876
2001-10-02,926.7369479365985
2001-10-03,928.1686937470656
2001-10-04,932.4283477406839
2001-10-05,938.2447691583614
2001-10-08,934.0253122394755
2001-10-09,933.0707014437302
2001-10-10,941.9579428995618
2001-10-11,944.7781452893125
2001-10-12,944.7286998896725
2001-10-15,942.7567688665903
2001-10-16,946.6219979159035
2001-10-17,946.8187726480286
2001-10-18,936.0921112492937
2001-10-19,933.925935157972
2001-10-22,937.0704396538041
2001-10-23,935.9012305736063
2001-10-24,935.18261794363
2001-10-25,938.0836089463801
2001-10-26,942.7779391959903
2001-10-29,939.3383246554985
2001-10-30,930.9742991139474
2001-10-31,933.3154089531248
2001-11-01,942.947734549452
2001-11-02,942.5916049098555
2001-11-05,947.3540753413981
2001-11-06,951.433468408775
2001-11-07,953.1111070445136
2001-11-08,955.0620178783349
2001-11-09,955.5226936501032
2001-11-12,952.7759380197485
2001-11-13,957.9361816482558
2001-11-14,956.9212682969227
2001-11-15,954.0216555877977
2001-11-16,956.9391574164694
2001-11-19,958.5280353211398
2001-11-20,959.9772932663376
2001-11-21,957.4340281225245
2001-11-22,958.9306827224405
2001-11-23,961.3961256746218
2001-11-26,961.9049838164614
2001-11-27,959.4031789993819
2001-11-28,955.6631552820899
2001-11-29,959.3319781074933
2001-11-30,961.7688443673336
2001-12-03,962.4913329449902
2001-12-04,969.0065912405009
2001-12-05,977.1255471834812
2001-12-06,977.4108119300247
2001-12-07,976.3660415670963
2001-12-10,967.3219538633948
2001-12-11,964.134267176954
2001-12-12,967.0037074622089
2001-12-13,962.2019613082597
2001-12-14,964.734453912399
2001-12-17,969.364903058299
2001-12-18,973.0449249792241
2001-12-19,973.0003221960985
2001-12-20,973.9016611527444
2001-12-21,976.137533197123
2001-12-24,976.8151155243922
2001-12-25,978.5598597851359
2001-12-26,981.5952987614484
2001-12-27,988.4875054820716
2001-12-28,990.6415901846043
2001-12-31,992.4024998272321
2002-01-01,992.4267559418163
2002-01-02,993.8354647223847
2002-01-03,994.0577587525407
2002-01-04,995.4020687297394
2002-01-07,993.7698553817735
2002-01-08,990.1362194068483
2002-01-09,989.2455628780766
2002-01-10,989.14625062912
2002-01-11,985.7927686052541
2002-01-14,985.450355529275
2002-01-15,988.9874779209224
2002-01-16,982.0064914179303
2002-01-17,984.1196270891983
2002-01-18,982.124191035211
2002-01-21,984.6309771892313
2002-01-22,985.7309918609948
2002-01-23,988.9268775522526
2002-01-24,988.0364517837413
2002-01-25,985.4310511136724
2002-01-28,985.3873842263595
2002-01-29,976.8712648481605
2002-01-30,978.1316726190588
2002-01-31,987.4396406759714
2002-02-01,989.3387562729929
2002-02-04,986.6036664809932
2002-02-05,985.8272774073148
2002-02-06,982.3653962211823
2002-02-07,981.4088184555077
2002-02-08,985.8408328140544
2002-02-11,991.7538862107577
2002-02-12,992.9160663410316
2002-02-13,996.8217733260477
2002-02-14,1000.2128987958038
2002-02-15,1001.4454772689451
2002-02-18,999.6596734487199
2002-02-19,991.0791214159691
2002-02-20,992.8851649177877
2002-02-21,989.6155104934033
2002-02-22,996.1534429415253
2002-02-25,998.0142513077009
2002-02-26,999.8098393820209
2002-02-27,1004.037001176649
2002-02-28,1003.2898117298716
2002-03-01,1011.9838342528553
2002-03-04,1021.2628079229529
2002-03-05,1020.9171728234211
2002-03-06,1029.9234268786583
2002-03-07,1031.2452296231888
2002-03-08,1028.539970309434
2002-03-11,1031.4861651032256
2002-03-12,1030.0407943755565
2002-03-13,1029.231323422984
2002-03-14,1033.8552852016269
2002-03-15,1037.582363769065
2002-03-18,1040.5529394550483
2002-03-19,1043.1782629677652
2002-03-20,1042.2709554274134
2002-03-21,1043.7181911698867
2002-03-22,1044.580318856334
2002-03-25,1040.0952282047162
2002-03-26,1041.0987095231567
2002-03-27,1045.0567017076269
2002-03-28,1048.9589768278668
2002-03-29,1048.9372812617355
2002-04-01,1051.7797417090474
2002-04-02,1053.039436621361
2002-04-03,1047.8180315260297
2002-04-04,1045.4219741009558
2002-04-05,1044.5551044072292
2002-04-08,1043.2077405475716
2002-04-09,1042.251879195457
2002-04-10,1051.5433841176373
2002-04-11,1044.6578879866956
2002-04-12,1047.6055931496057
2002-04-15,1046.636555508133
2002-04-16,1052.459308124068
2002-04-17,1054.4822041268574
2002-04-18,1056.6551397328064
2002-04-19,1059.2626195698624
2002-04-22,1055.254741717922
2002-04-23,1053.4545375832902
2002-04-24,1051.7367850412713
2002-04-25,1050.2036661726586
2002-04-26,1046.5163116861438
2002-04-29,1041.3997294272524
2002-04-30,1046.2068738511723
2002-05-01,1053.6503959937486
2002-05-02,1054.6729337706292
2002-05-03,1056.74254752691
2002-05-06,1048.0688472888944
2002-05-07,1041.6897305953441
2002-05-08,1050.3450977389084
2002-05-09,1046.5230817245251
2002-05-10,1042.4326830886964
2002-05-13,1047.209856622768
2002-05-14,1049.84680343287
2002-05-15,1052.2265934459122
2002-05-16,1052.5562772574674
2002-05-17,1059.28393070146
2002-05-20,1054.5637929457698
2002-05-21,1050.6008683182959
2002-05-22,1056.3896493190753
2002-05-23,1059.0266792839564
2002-05-24,1056.0618096682663
2002-05-27,1054.4443299241832
2002-05-28,1054.3250336167034
2002-05-29,1053.2027168705038
2002-05-30,1050.3954964275636
2002-05-31,1051.7064764162865
2002-06-03,1043.5600104428265
2002-06-04,1039.9958013531455
2002-06-05,1038.0117666623948
2002-06-06,1031.2184586125252
2002-06-07,1028.625906801331
2002-06-10,1029.6949854194831
2002-06-11,1025.380284302668
2002-06-12,1021.1944616708419
2002-06-13,1016.2945446058636
2002-06-14,1009.5036482617946
2002-06-17,1023.4527794979377
2002-06-18,1026.1887440125486
2002-06-19,1020.107173475906
2002-06-20,1018.2430889289465
2002-06-21,1013.0836895684643
2002-06-24,1007.5031532482426
2002-06-25,1002.4508325749788
2002-06-26,1000.4706499297316
2002-06-27,1007.2624787573712
2002-06-28,1013.211623917502
2002-07-01,1006.1970671589747
2002-07-02,991.3731591667434
2002-07-03,982.4734197958704
2002-07-04,986.2612193437138
2002-07-05,1003.2908747115267
2002-07-08,1004.6407457230346
2002-07-09,994.8797488232623
2002-07-10,972.8539822351606
2002-07-11,960.922129371684
2002-07-12,958.3305060699716
2002-07-15,948.0023514225394
2002-07-16,938.817982293478
2002-07-17,942.5340632425966
2002-07-18,930.5087595234115
2002-07-19,904.4204298517825
2002-07-22,878.5212596580236
2002-07-23,861.4561180729165
2002-07-24,878.2745104664331
2002-07-25,897.3384159712718
