Date,MSCI EMU Sovereignty Select 20 Index
2010-05-27,1031.798992013328
2010-05-28,1028.387199376287
2010-05-31,1033.7708265019144
2010-06-01,1018.6064934354831
2010-06-02,1018.15208076449
2010-06-03,1029.340741187272
2010-06-04,1000.3656294134084
2010-06-07,985.4067209266747
2010-06-08,976.273531165542
2010-06-09,1012.9003777518757
2010-06-10,1039.6786540214946
2010-06-11,1053.2934193282545
2010-06-14,1081.4796849743275
2010-06-15,1094.83336743678
2010-06-16,1088.3589946705652
2010-06-17,1092.256208520093
2010-06-18,1104.8328246353065
2010-06-21,1119.0706311424633
2010-06-22,1107.9307301474614
2010-06-23,1091.7820761288458
2010-06-24,1062.3362070420521
2010-06-25,1055.1550600240173
2010-06-28,1071.149354266293
2010-06-29,1019.6497643407116
2010-06-30,1021.2565158589059
2010-07-01,996.8162416441119
2010-07-02,994.2359563182545
2010-07-05,993.849637391764
2010-07-06,1028.5222335656897
2010-07-07,1049.599882748556
2010-07-08,1069.0680444652892
2010-07-09,1078.8285737964052
2010-07-12,1076.3249835310726
2010-07-13,1103.2205002988485
2010-07-14,1104.7170039504986
2010-07-15,1073.5866473047195
2010-07-16,1056.2964979110163
2010-07-19,1052.5236654867301
2010-07-20,1050.4332465656105
2010-07-21,1062.5810462286777
2010-07-22,1098.1942176527054
2010-07-23,1107.425012414504
2010-07-26,1114.7352227888277
2010-07-27,1119.2226411871259
2010-07-28,1121.7653872123956
2010-07-29,1106.7541455481453
2010-07-30,1102.3648825017303
2010-08-02,1135.22489685029
2010-08-03,1133.4063221104786
2010-08-04,1133.263870106706
2010-08-05,1131.830623127236
2010-08-06,1118.9281893904326
2010-08-09,1129.1602333114258
2010-08-10,1117.79700447176
2010-08-11,1073.4223968402043
2010-08-12,1067.3096605149854
2010-08-13,1066.3105245760999
2010-08-16,1063.1967104941998
2010-08-17,1085.9973686856374
2010-08-18,1080.6433020968382
2010-08-19,1064.8281777983645
2010-08-20,1046.9944031357315
2010-08-23,1053.2353380117897
2010-08-24,1029.371036356451
2010-08-25,1012.6769823527999
2010-08-26,1023.8840798331634
2010-08-27,1017.7800169900905
2010-08-30,1012.8303063063925
2010-08-31,1011.5364733457138
2010-09-01,1050.8377420965935
2010-09-02,1058.6721496070793
2010-09-03,1066.0455769195141
2010-09-06,1071.5198130480092
2010-09-07,1059.5493149583222
