Date,MSCI World Semiconductors and Semiconductor Equipment 20% Capped Index
2014-06-02,1006.8768592097105
2014-06-03,1013.8522847495592
2014-06-04,1017.7448377077164
2014-06-05,1022.6456270441306
2014-06-06,1028.6290799604317
2014-06-09,1034.6757165263964
2014-06-10,1042.0235997103857
2014-06-11,1046.1472575130997
2014-06-12,1043.418666459912
2014-06-13,1062.9892589471142
2014-06-16,1064.3136189665033
2014-06-17,1070.9481447835117
2014-06-18,1067.5969637834398
2014-06-19,1063.8936782423089
2014-06-20,1071.164132620738
2014-06-23,1067.357755357936
2014-06-24,1066.3476365036965
2014-06-25,1065.3337033342077
2014-06-26,1062.124495200082
2014-06-27,1058.3964051095618
2014-06-30,1063.407548424981
2014-07-01,1078.088614955464
2014-07-02,1080.635559775802
2014-07-03,1092.147676906807
2014-07-04,1094.0824924953176
2014-07-07,1086.6363735690172
2014-07-08,1078.3395687648504
2014-07-09,1081.6970795965658
2014-07-10,1079.6769532679211
2014-07-11,1078.700079147616
2014-07-14,1081.0576773509406
2014-07-15,1083.9613609605024
2014-07-16,1112.7230771375
2014-07-17,1093.7211888340707
2014-07-18,1101.0450979359996
2014-07-21,1104.9034387483707
2014-07-22,1119.4489578630473
2014-07-23,1097.8438657855725
2014-07-24,1091.2878644712016
2014-07-25,1076.370466142688
2014-07-28,1073.2081575634372
2014-07-29,1072.4374856710642
2014-07-30,1089.3885669957037
2014-07-31,1071.4119350731928
2014-08-01,1068.645042389501
2014-08-04,1072.094941156133
2014-08-05,1061.5086240768817
2014-08-06,1064.933359919312
2014-08-07,1056.2738681512055
2014-08-08,1057.7914264674475
2014-08-11,1071.308761847127
2014-08-12,1073.3371056095132
2014-08-13,1082.8204649376069
2014-08-14,1084.21102857407
2014-08-15,1094.744435910926
2014-08-18,1104.8310052584363
2014-08-19,1113.718999287299
2014-08-20,1120.5219120951028
2014-08-21,1128.6715294359863
2014-08-22,1132.507098456636
2014-08-25,1132.6319552519483
2014-08-26,1132.760274175389
2014-08-27,1134.7336036586455
2014-08-28,1139.1348002003913
2014-08-29,1148.3795326934394
2014-09-01,1153.2501687052572
2014-09-02,1152.3737324373667
2014-09-03,1153.2099001844083
2014-09-04,1172.2280720816875
2014-09-05,1177.4399784239413
2014-09-08,1182.2466938288715
2014-09-09,1173.8618931198853
2014-09-10,1171.9059987445285
2014-09-11,1173.0255468281719
2014-09-12,1163.9139949873559
2014-09-15,1153.1103974709222
2014-09-16,1164.4101885587793
2014-09-17,1171.8447718632685
2014-09-18,1189.8786430351631
2014-09-19,1186.44744943406
2014-09-22,1173.8395842560074
2014-09-23,1165.0150415445646
2014-09-24,1182.1838779587697
2014-09-25,1169.5330584096484
2014-09-26,1186.1067991040738
2014-09-29,1192.559602058378
2014-09-30,1188.7043725452704
2014-10-01,1166.6341429237825
2014-10-02,1147.9451783209488
2014-10-03,1165.408774404266
2014-10-06,1155.8249202278396
2014-10-07,1132.0386555156695
2014-10-08,1143.6579810881053
2014-10-09,1119.7433551025692
2014-10-10,1056.721043670726
2014-10-13,1034.5152852458373
2014-10-14,1050.1458305389642
2014-10-15,1036.9247518567545
2014-10-16,1045.3434164113355
2014-10-17,1058.8050012331212
2014-10-20,1068.1179040689397
2014-10-21,1102.970960303638
2014-10-22,1102.3109476191755
2014-10-23,1115.3037655802232
2014-10-24,1125.103387773203
2014-10-27,1125.4308240202108
2014-10-28,1138.6485701808974
2014-10-29,1138.5521325111445
2014-10-30,1135.4583586249387
2014-10-31,1187.1749465254711
2014-11-03,1197.9135731599997
2014-11-04,1190.4593503193598
2014-11-05,1204.6248073295621
2014-11-06,1211.0419109051775
2014-11-07,1201.3512189163625
2014-11-10,1205.159549033865
2014-11-11,1205.8214646488748
2014-11-12,1200.5895459175877
2014-11-13,1203.266709532269
2014-11-14,1209.5893601465978
2014-11-17,1210.400577802898
2014-11-18,1219.897121483389
2014-11-19,1214.1754515414495
2014-11-20,1229.1331417847048
2014-11-21,1249.2327769417723
2014-11-24,1255.5119073212795
2014-11-25,1251.6555862730686
2014-11-26,1269.3293272252856
2014-11-27,1276.764119672007
2014-11-28,1283.8174281214604
2014-12-01,1273.0231391107327
2014-12-02,1287.5208644177828
2014-12-03,1316.3681912297516
2014-12-04,1312.790474945542
2014-12-05,1338.7750655334467
2014-12-08,1324.8425243258225
2014-12-09,1304.5526188191407
2014-12-10,1289.167267740165
2014-12-11,1297.284438394571
2014-12-12,1268.722337059901
2014-12-15,1259.690589708591
2014-12-16,1247.336024522147
2014-12-17,1277.3411023732372
2014-12-18,1315.8819518759362
2014-12-19,1311.303838702871
2014-12-22,1331.7655008984932
2014-12-23,1342.4808928638163
2014-12-24,1341.9971282004885
2014-12-25,1341.7630430372378
2014-12-26,1343.316926857746
2014-12-29,1339.0350669031066
2014-12-30,1330.9472520083682
2014-12-31,1330.689222783197
2015-01-01,1330.689222783197
2015-01-02,1337.520121464992
2015-01-05,1323.8317725753195
2015-01-06,1293.3367997560235
2015-01-07,1317.8531002066059
2015-01-08,1354.8431183516552
2015-01-09,1349.360249912687
2015-01-12,1337.2206424723206
2015-01-13,1332.4241987393295
2015-01-14,1322.5762660986775
2015-01-15,1337.5612188702228
2015-01-16,1359.9707090437428
2015-01-19,1349.6142084442006
2015-01-20,1365.0078666425732
2015-01-21,1382.5514254933528
2015-01-22,1414.4912389562876
2015-01-23,1429.5107165913087
2015-01-26,1426.5506362252543
2015-01-27,1382.062231159389
2015-01-28,1379.1456630553878
2015-01-29,1391.628465350107
2015-01-30,1372.7417378750122
2015-02-02,1361.2224383493133
2015-02-03,1366.0062900561122
2015-02-04,1376.9876179384323
2015-02-05,1387.1690922638427
2015-02-06,1385.9592233567082
2015-02-09,1368.0760223634413
2015-02-10,1407.6625796699968
2015-02-11,1413.3385600163656
2015-02-12,1428.938605035705
2015-02-13,1432.721262321236
2015-02-16,1431.965293008541
2015-02-17,1439.5823204553928
2015-02-18,1441.082233296899
2015-02-19,1440.0580872923974
2015-02-20,1452.8722350103153
2015-02-23,1448.1101314687403
2015-02-24,1471.3653298800607
