Date,MSCI World Information Technology 20-35 Custom
2013-05-31,1000.0
2013-06-03,997.6440372145618
2013-06-04,990.9313339450089
2013-06-05,977.6833296101154
2013-06-06,970.6337028735487
2013-06-07,977.2156658244817
2013-06-10,982.8160392050754
2013-06-11,967.8588137318246
2013-06-12,958.094722164008
2013-06-13,967.0163362485598
2013-06-14,959.3826500102758
2013-06-17,970.3279300543611
2013-06-18,973.0713546602816
2013-06-19,966.2555503828349
2013-06-20,957.7422969123605
2013-06-21,954.7641193211031
2013-06-24,943.8100965268258
2013-06-25,951.4079929204615
2013-06-26,962.0820947458537
2013-06-27,967.2228317760346
2013-06-28,964.1985811876477
2013-07-01,967.8953396691411
2013-07-02,969.8330443282131
2013-07-03,979.2669903061176
2013-07-04,983.9853266806363
2013-07-05,995.692627208399
2013-07-08,991.5528654094381
2013-07-09,1002.9117470335175
2013-07-10,1002.4739834481862
2013-07-11,1004.7043826015836
2013-07-12,1006.6118725671527
2013-07-15,1009.6881484451816
2013-07-16,1004.7181934916331
2013-07-17,1009.2133634401014
2013-07-18,1006.1340134013467
2013-07-19,984.9206933949687
2013-07-22,984.7868035962157
2013-07-23,978.7240743523631
2013-07-24,985.086911195235
2013-07-25,988.8285020823178
2013-07-26,985.8721854302196
2013-07-29,983.9211708979242
2013-07-30,991.6915787998107
2013-07-31,986.422112025657
2013-08-01,1001.9945746182424
2013-08-02,1005.0715806351548
2013-08-05,1010.2210008328739
2013-08-06,1002.0598656860981
2013-08-07,997.2447209488445
2013-08-08,995.6007874873181
2013-08-09,994.3311454196715
2013-08-12,1003.8013204861461
2013-08-13,1014.7259192239708
2013-08-14,1013.5263769721022
2013-08-15,997.4527525624422
2013-08-16,991.7770531016903
2013-08-19,989.7059921142618
2013-08-20,983.3689455405669
2013-08-21,984.941427871916
2013-08-22,991.0624768094626
2013-08-23,994.9117841369751
2013-08-26,994.5206231791094
2013-08-27,974.7474906527242
2013-08-28,978.7700131054212
2013-08-29,991.5311881148987
2013-08-30,988.8192910646486
2013-09-02,988.734893885557
2013-09-03,997.2087084305243
2013-09-04,1002.3205629200185
2013-09-05,1010.0940681830419
2013-09-06,1009.5924911348352
2013-09-09,1014.4028682627708
2013-09-10,1019.3137056892356
2013-09-11,1014.2378208832172
2013-09-12,1014.317612712493
