Date,EAFE VOTING RIGHTS-ADJUSTED
2018-12-03,1012.3254203649891
2018-12-04,1002.1863187445367
2018-12-05,991.6979572440298
2018-12-06,966.8718912891277
2018-12-07,971.5981261778
2018-12-10,952.8135220273805
2018-12-11,961.0970591039583
2018-12-12,976.9218640378203
2018-12-13,977.720337210563
2018-12-14,970.5973087763643
2018-12-17,964.9576432487148
2018-12-18,953.8783891848348
2018-12-19,953.8162001612176
2018-12-20,939.1474552204422
2018-12-21,935.3408163026448
2018-12-24,933.8850867320691
2018-12-25,922.559323022757
2018-12-26,925.2971230607808
2018-12-27,926.9855715368682
2018-12-28,937.7557743474484
2018-12-31,942.2259300439614
2019-01-31,1000.6083403420812
2019-02-28,1033.4682559436194
2019-03-29,1054.4586715293322
2019-04-30,1087.1502773694758
2019-05-31,1040.5509687394183
2019-06-28,1077.8197715156223
2019-07-31,1088.845637921051
2019-08-30,1071.5151748130322
2019-09-30,1113.442597792767
2019-10-31,1126.4663529045745
2019-11-29,1152.3340290320143
2019-12-06,1154.1802425160352
2019-12-09,1153.4951977254525
2019-12-10,1149.5118500315332
2019-12-11,1151.7471344416576
2019-12-12,1152.0522252835185
2019-12-13,1165.2847722446418
2019-12-16,1174.798107123646
2019-12-17,1171.329926141729
2019-12-18,1170.153101169007
2019-12-19,1171.9607887287166
2019-12-20,1177.7073238888981
2019-12-23,1176.7832397020363
2019-12-24,1178.1032591776686
2019-12-25,1177.1395227512917
2019-12-26,1177.9981732601082
2019-12-27,1178.2420503469764
2019-12-30,1170.2373018215274
2019-12-31,1168.5460765152202
2020-01-01,1168.5562249007749
2020-01-02,1178.0001971750064
2020-01-03,1178.17494974795
2020-01-06,1169.245004603111
2020-01-07,1177.1163969993456
2020-01-08,1174.8151707699435
2020-01-31,1157.8749196703372
2020-02-28,1061.544381899872
2020-03-31,917.3682672133489
2020-04-14,959.9829085361241
2020-04-15,941.0889896971233
2020-04-30,977.9116160171159
2020-05-29,1005.2560848657499
2020-06-30,1030.5224854568346
2020-07-21,1064.2128511924946
2020-07-22,1050.486421783951
2020-07-31,1001.1384637932333
2020-08-31,1041.4008002591622
2020-09-30,1033.4945199019708
2020-10-19,1050.1841880637905
2020-10-20,1043.305239067404
2020-10-30,999.6408496959157
2020-11-12,1110.1012620543152
2020-11-13,1107.4580943897104
2020-11-30,1126.7764830742242
2020-12-31,1152.70965266641
2021-05-31,1268.1908667689486
2021-06-01,1274.294822294957
2021-06-02,1281.0022093567623
2021-06-03,1282.8118375014255
2021-06-04,1287.542048571898
2021-06-07,1289.5742035051287
2021-06-08,1289.8310363696842
2021-06-09,1288.0308831136128
2021-06-10,1289.6254162212845
2021-06-11,1296.4406797899212
2021-06-14,1298.4356256560247
2021-06-15,1302.614195240414
2021-06-16,1305.2350229838794
2021-06-17,1306.777385083927
2021-06-18,1292.7196198792662
2021-06-21,1286.7556099993963
2021-06-22,1299.0385262644697
2021-06-23,1290.5048081524935
2021-06-24,1298.0414717350181
2021-06-25,1301.9158317443676
2021-06-28,1297.371821426464
2021-06-29,1297.7915036206894
2021-06-30,1290.9280363321245
2021-07-01,1292.4162920679978
2021-07-02,1298.749820997043
2021-07-05,1301.6292369094588
2021-07-06,1299.3444164083298
