Date,MSCI World Ex Mega Cap Speficied Index
2000-12-01,1008.7492753765786
2000-12-04,994.1383896899144
2000-12-05,1019.9853786877226
2000-12-06,1015.1013094075904
2000-12-07,1005.0568989895662
2000-12-08,1019.8061394520674
2000-12-11,1044.0833564811226
2000-12-12,1041.1439538699012
2000-12-13,1034.823353279705
2000-12-14,1011.3489547389075
2000-12-15,988.7225674599487
2000-12-18,996.728058167313
2000-12-19,996.5374609774341
2000-12-20,960.4940888217806
2000-12-21,953.4551181048056
2000-12-22,958.1395091932671
2000-12-25,962.9156989858001
2000-12-26,961.5697448131795
2000-12-27,972.17229447025
2000-12-28,981.9200567402862
2000-12-29,968.1209682286909
2001-01-01,968.1209682286909
2001-01-02,946.3356389256573
2001-01-03,962.613210270989
2001-01-04,965.3150540665329
2001-01-05,948.4806520435313
2001-01-08,950.8135182553272
2001-01-09,953.2885903616786
2001-01-10,955.1909184658945
2001-01-11,951.1779221371195
2001-01-12,952.2154710933804
2001-01-15,956.9841336736492
2001-01-16,958.8019670303802
2001-01-17,976.8581496320094
2001-01-18,970.5818561781914
2001-01-19,974.8125480999148
2001-01-22,978.9683233890901
2001-01-23,981.0345536231125
2001-01-24,995.5200515705726
2001-01-25,996.4974899414441
2001-01-26,992.9358843583987
2001-01-29,1002.0728832468413
2001-01-30,1001.3724713509046
2001-01-31,996.685123698005
2001-02-01,988.9270294227096
2001-02-02,982.7219395381611
2001-02-05,975.3297330569362
2001-02-06,982.1016696122123
2001-02-07,973.9579985929861
2001-02-08,979.4000330660614
2001-02-09,966.6657897364166
2001-02-12,968.4979581086191
2001-02-13,973.2339514671756
2001-02-14,971.2984396346682
2001-02-15,990.6834462100903
2001-02-16,967.4073934375923
2001-02-19,961.2056167964074
2001-02-20,962.0257280659686
2001-02-21,947.0083057146304
2001-02-22,946.8102398984397
2001-02-23,940.111443399139
2001-02-26,950.7243737985983
2001-02-27,941.8877263440875
2001-02-28,933.7418351492547
2001-03-01,922.5540888334566
2001-03-02,912.8130103915491
2001-03-05,922.1061035848559
2001-03-06,931.6135183593237
2001-03-07,938.2686307320746
2001-03-08,934.3132996326076
2001-03-09,921.8205450122293
2001-03-12,896.0150380164606
2001-03-13,897.7284625200388
2001-03-14,884.4362432125912
2001-03-15,895.3354353311058
2001-03-16,883.6752479294007
2001-03-19,889.6175766505897
2001-03-20,883.3769614517829
2001-03-21,881.7809956527758
2001-03-22,868.9600710905198
2001-03-23,881.6491588127552
2001-03-26,901.6291257512584
2001-03-27,912.2283298697541
2001-03-28,908.1586960498264
2001-03-29,905.0732548311087
2001-03-30,906.2005349528717
2001-04-02,899.3198733661262
2001-04-03,877.5770223038477
2001-04-04,869.4537287103562
2001-04-05,897.3600936327362
2001-04-06,884.8922710452999
2001-04-09,886.2425313767264
2001-04-10,909.3305517224995
2001-04-11,916.986432676776
2001-04-12,919.4410306655928
2001-04-13,918.8905768029502
2001-04-16,922.0618368257911
2001-04-17,924.8737982790011
2001-04-18,959.885208710457
2001-04-19,956.6726478376448
2001-04-20,941.3818072932826
2001-04-23,934.9325487323572
2001-04-24,933.4801488922188
2001-04-25,937.104724628743
2001-04-26,939.219853261481
2001-04-27,954.884393814969
2001-04-30,963.7211442837812
2001-05-01,970.6673385595012
2001-05-02,972.3747762383166
2001-05-03,960.8385516399351
2001-05-04,964.5289653984827
2001-05-07,967.7099611946123
2001-05-08,967.2726069967346
2001-05-09,963.1549583378747
2001-05-10,970.0046809717669
2001-05-11,972.0524991765893
2001-05-14,966.6278696872662
2001-05-15,967.2024436512787
2001-05-16,970.9418823651936
2001-05-17,983.3472107506516
2001-05-18,986.3448892176906
2001-05-21,998.8278962455208
2001-05-22,1007.9775949966984
2001-05-23,1005.7063640984509
2001-05-24,1008.1957436607034
2001-05-25,1001.7381725372712
2001-05-28,997.9343364817391
2001-05-29,999.0575583326987
2001-05-30,981.0692605878237
2001-05-31,992.3520236734838
2001-06-01,993.5815919180711
2001-06-04,995.8118689754258
2001-06-05,1001.4216668392436
2001-06-06,997.0249888689838
2001-06-07,996.3000096391116
2001-06-08,993.509473652586
2001-06-11,989.24685824291
2001-06-12,972.750428118435
2001-06-13,969.8611350027561
2001-06-14,951.7568600033699
2001-06-15,941.137518698723
2001-06-18,935.4777059157914
2001-06-19,939.9799312596595
2001-06-20,943.0957267081603
2001-06-21,947.7161257972238
2001-06-22,948.5044775418806
2001-06-25,939.6568371207674
2001-06-26,934.3864755738533
2001-06-27,934.220268998688
2001-06-28,949.5515977145072
2001-06-29,958.3198936517692
2001-07-02,965.4938246844109
2001-07-03,962.1129497629645
2001-07-04,959.0922940133801
2001-07-05,956.7000133237887
2001-07-06,931.0893456509511
2001-07-09,928.6592152878123
2001-07-10,919.5679101360627
2001-07-11,910.4383542709166
2001-07-12,933.0193645416034
2001-07-13,936.3249411411408
2001-07-16,926.7614100336365
2001-07-17,928.4515211238739
2001-07-18,906.8823667683256
2001-07-19,914.772573240837
2001-07-20,908.5474586534106
2001-07-23,903.0941519685583
2001-07-24,889.4412409545995
2001-07-25,888.1661542652306
2001-07-26,895.6047418462477
2001-07-27,904.5700354583842
2001-07-30,903.6797817870819
2001-07-31,912.7614072555665
2001-08-01,915.157909669233
2001-08-02,920.9471701906241
2001-08-03,911.8399971540381
2001-08-06,911.373153028953
2001-08-07,915.6963015459962
2001-08-08,905.4393401407683
2001-08-09,887.8701395919117
2001-08-10,884.3879317687872
2001-08-13,881.9561678233279
2001-08-14,889.8552204478359
2001-08-15,878.5136732632232
2001-08-16,873.392016324975
2001-08-17,860.5729539160452
2001-08-20,862.1915447264727
2001-08-21,863.426337917445
2001-08-22,862.3785002932244
2001-08-23,865.2142690722015
2001-08-24,876.1317784509425
2001-08-27,879.1590903680939
2001-08-28,870.0470057885932
2001-08-29,862.9538321949692
2001-08-30,848.856915929367
2001-08-31,850.2967511643644
2001-09-03,844.6820228242188
2001-09-04,860.0149052148255
2001-09-05,851.3501755278136
2001-09-06,834.6503888415898
2001-09-07,813.4608861742433
2001-09-10,808.7363051096795
2001-09-11,786.3224591932019
2001-09-12,779.4292866718903
2001-09-13,783.3954858798754
2001-09-14,766.8550074570753
2001-09-17,742.8122998910583
2001-09-18,735.0605370977183
2001-09-19,723.0710185877605
2001-09-20,702.3493464838654
2001-09-21,692.8497606666905
2001-09-24,717.3497620495001
2001-09-25,718.1284812197435
2001-09-26,717.2732693381105
2001-09-27,721.1923810520555
2001-09-28,745.4647727803791
2001-10-01,737.2248937552488
2001-10-02,743.9531301980668
2001-10-03,749.3836122377545
2001-10-04,765.2429863886376
2001-10-05,760.2775907024967
2001-10-08,756.7249855416354
2001-10-09,752.9588237133095
2001-10-10,768.7156326577413
2001-10-11,789.1778980605455
2001-10-12,785.7645368886557
2001-10-15,777.013039753339
2001-10-16,782.44262943152
2001-10-17,783.848802894071
2001-10-18,775.1183393522971
2001-10-19,774.7413590339742
2001-10-22,785.7765351875097
2001-10-23,796.9273112299026
2001-10-24,796.6495799030929
2001-10-25,795.0025822169304
2001-10-26,803.4382255468299
2001-10-29,780.0267362571861
2001-10-30,761.9076557122178
2001-10-31,769.1381909040697
2001-11-01,773.7916175344349
2001-11-02,777.1940888261018
2001-11-05,794.4142527259208
2001-11-06,801.2908289580338
2001-11-07,798.5742862228441
2001-11-08,810.3410876896262
2001-11-09,805.6588446068052
2001-11-12,797.4799299769986
2001-11-13,818.9005938099367
2001-11-14,822.9098747346727
2001-11-15,830.6311861382954
2001-11-16,829.4779875024007
2001-11-19,844.058944366318
2001-11-20,834.0745852583113
2001-11-21,834.6651086785372
2001-11-22,834.8794777364797
2001-11-23,839.9775527553676
2001-11-26,844.2216560606753
2001-11-27,838.1101991537894
2001-11-28,822.8512309425753
2001-11-29,825.1273687599206
2001-11-30,825.2091645836497
2001-12-03,819.223290792926
2001-12-04,828.1886388950703
2001-12-05,852.6377963787946
2001-12-06,852.7102311029446
2001-12-07,844.8624471430328
2001-12-10,832.481061335243
2001-12-11,830.8360833942963
2001-12-12,826.6560554545164
2001-12-13,810.2736566331979
2001-12-14,803.612868567559
2001-12-17,808.609214431064
2001-12-18,814.9040971447197
2001-12-19,815.9801007912096
2001-12-20,811.3442608017369
2001-12-21,821.8010482069798
2001-12-24,828.420415218297
2001-12-25,827.8756223840701
2001-12-26,828.6905303181157
2001-12-27,833.4994090337448
2001-12-28,843.5008645920473
2001-12-31,834.5585731028661
2002-01-01,834.5585731028664
2002-01-02,823.5270654937781
2002-01-03,835.8714626495347
2002-01-04,848.360876815497
2002-01-07,846.2284078032396
2002-01-08,839.5801817611801
2002-01-09,838.9766743689627
2002-01-10,830.5650206018283
2002-01-11,828.6352710860605
2002-01-14,816.8339674264557
2002-01-15,820.4445967940201
2002-01-16,814.9267191076268
2002-01-17,823.5909634350952
2002-01-18,819.2568453148764
2002-01-21,818.0247452808602
2002-01-22,812.3406010133377
2002-01-23,814.7935866754183
2002-01-24,825.5344419607565
2002-01-25,836.0521389503734
2002-01-28,841.3219075954712
2002-01-29,824.5536489242404
2002-01-30,822.7114962809803
2002-01-31,833.8354808671885
2002-02-01,828.7811389107504
2002-02-04,812.0391244957666
2002-02-05,800.6660524527086
2002-02-06,793.9259384510945
2002-02-07,796.7518357915565
2002-02-08,801.7678363024214
2002-02-11,808.9408956083206
2002-02-12,809.7432046666645
2002-02-13,818.8942033806678
2002-02-14,823.4243862077566
2002-02-15,814.7368130843229
2002-02-18,815.2107443523096
2002-02-19,796.5073698861469
2002-02-20,800.0339907934246
2002-02-21,801.6141403182515
2002-02-22,797.0236504945422
2002-02-25,811.565772416817
2002-02-26,815.7652359213187
2002-02-27,825.3996431109654
2002-02-28,823.9693422913739
2002-03-01,837.4987672014146
2002-03-04,859.660740917178
2002-03-05,856.8583823105254
2002-03-06,860.4538019585904
2002-03-07,863.4416740216424
2002-03-08,871.3620619210709
2002-03-11,873.144382442964
2002-03-12,866.1545735500745
2002-03-13,856.8099418786934
2002-03-14,854.8345689178963
2002-03-15,863.232753908899
2002-03-18,865.0975530411016
2002-03-19,869.376781784555
2002-03-20,859.0102357124762
2002-03-21,859.8870682558689
2002-03-22,858.2385375994354
2002-03-25,851.0998171888053
2002-03-26,853.2929906140934
2002-03-27,860.6926874507648
2002-03-28,867.3355862821852
2002-03-29,864.940270557683
2002-04-01,858.9122042354587
2002-04-02,853.7632280316363
2002-04-03,851.0996576613938
2002-04-04,849.7624657457866
2002-04-05,852.2961263638122
2002-04-08,852.6073698798745
2002-04-09,850.09756283008
2002-04-10,856.5119043254174
2002-04-11,840.256266279811
2002-04-12,845.5862111442095
2002-04-15,845.6650073463222
2002-04-16,860.1072243261295
2002-04-17,859.9598063008096
2002-04-18,856.657124354548
2002-04-19,859.3650799973724
2002-04-22,853.4529653505509
2002-04-23,850.6987960262765
2002-04-24,845.0122496030152
2002-04-25,837.1874746265396
2002-04-26,830.5697021162789
2002-04-29,822.9427107545227
2002-04-30,829.581995424817
2002-05-01,829.6559841810116
2002-05-02,830.0717945945023
2002-05-03,820.6640915889878
2002-05-06,811.3666085788788
2002-05-07,807.6203434476847
2002-05-08,828.16665118275
2002-05-09,823.3680175488524
2002-05-10,812.173805922324
2002-05-13,820.1763755341602
2002-05-14,834.9948584935761
2002-05-15,836.3996159306042
2002-05-16,836.214326526285
2002-05-17,832.113333734244
2002-05-20,827.5576468587412
2002-05-21,826.267851740427
2002-05-22,820.2902101638291
2002-05-23,827.4464673826658
2002-05-24,824.0876354167804
2002-05-27,826.1828926622547
2002-05-28,816.1990272450599
2002-05-29,810.1904116455572
2002-05-30,803.1612985217994
2002-05-31,806.0940747236853
2002-06-03,793.7319653353394
2002-06-04,782.7624738317064
2002-06-05,787.9215229155527
2002-06-06,776.567546806922
2002-06-07,771.585659527878
2002-06-10,772.8388253806941
2002-06-11,770.1085258951063
2002-06-12,762.2720693165438
2002-06-13,755.0829805574263
2002-06-14,743.0823388852438
2002-06-17,759.9678788740017
2002-06-18,758.4864343611741
2002-06-19,742.9794079757528
2002-06-20,729.5914893607503
