Date,JORDAN
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,99.32362923292997
2001-01-03,99.93073475353684
2001-01-04,101.75098662704563
2001-01-05,100.99719641455086
2001-01-08,101.94902260422165
2001-01-09,103.89583726761154
2001-01-10,103.74142896056212
2001-01-11,102.55514544853864
2001-01-12,102.67942626669779
2001-01-15,102.47002899533062
2001-01-16,101.33029059672796
2001-01-17,102.1158642205418
2001-01-18,100.64051019124086
2001-01-19,101.6521889376826
2001-01-22,103.61749605710143
2001-01-23,102.9091460178802
2001-01-24,105.18827537789964
2001-01-25,105.50553475035603
2001-01-26,105.29954748146872
2001-01-29,105.61580224440054
2001-01-30,104.76551136481986
2001-01-31,104.38920046793588
2001-02-01,103.24566548806911
2001-02-02,104.15542376784006
2001-02-05,103.7390064662022
2001-02-06,104.62818159306302
2001-02-07,104.25240682008119
2001-02-08,105.7748921150786
2001-02-09,105.28211634466162
2001-02-12,104.75648650744033
2001-02-13,105.81104018410159
2001-02-14,105.96211178015176
2001-02-15,108.01629152773606
2001-02-16,106.58315154186435
2001-02-19,107.93749518036233
2001-02-20,110.22280806222413
2001-02-21,109.29355148503578
2001-02-22,108.9684849091833
2001-02-23,108.9085000556607
2001-02-26,108.27500514105341
2001-02-27,106.97613077421968
2001-02-28,106.80724774069743
2001-03-01,105.53285806267252
2001-03-02,104.87856562358803
2001-03-05,105.76112672744613
2001-03-06,105.60198487725435
2001-03-07,105.80599389719254
2001-03-08,105.28371943434558
2001-03-09,105.28936861175794
2001-03-12,107.41604679828187
2001-03-13,108.05127696896007
2001-03-14,107.86232341102549
2001-03-15,108.69497695645055
2001-03-16,110.04987060108355
2001-03-19,110.29213288633525
2001-03-20,109.56376787077134
2001-03-21,109.86476036831789
2001-03-22,112.40336119570944
2001-03-23,111.21400752501248
2001-03-26,110.92213984096115
2001-03-27,110.58868799263892
2001-03-28,111.54468307234549
2001-03-29,112.11151613849246
2001-03-30,111.8578701743782
2001-04-02,110.85965029336029
2001-04-03,112.25943474311238
2001-04-04,110.2301882452646
2001-04-05,110.4912008428141
2001-04-06,109.90892625025477
2001-04-09,110.09331256033832
2001-04-10,111.90583008100505
2001-04-11,112.30109899920058
2001-04-12,111.47251241405667
2001-04-13,111.47251241405667
2001-04-16,111.56665894495943
2001-04-17,111.13619265590664
2001-04-18,111.51276347920351
2001-04-19,110.37269038850381
2001-04-20,108.87843657644174
2001-04-23,108.40410164106672
2001-04-24,108.45360907828419
2001-04-25,108.05204527304119
2001-04-26,107.25347501428796
2001-04-27,108.36500338119417
2001-04-30,110.03456716823159
2001-05-01,109.3973974601105
2001-05-02,110.2066471951887
2001-05-03,109.95997572253427
2001-05-04,109.77569555541086
2001-05-07,109.55850608849131
2001-05-08,110.44650736628148
2001-05-09,109.9079106576898
2001-05-10,110.14123151541094
2001-05-11,111.02754093463663
2001-05-14,111.59252329121905
2001-05-15,111.53211492164769
2001-05-16,111.11925025962168
2001-05-17,111.63362398287592
2001-05-18,112.19376532798327
2001-05-21,113.398665732364
2001-05-22,116.55807222289312
2001-05-23,116.89102802938227
2001-05-24,117.24180507375107
2001-05-25,117.3444327042428
2001-05-28,116.79179995689033
2001-05-29,118.21929328812281
2001-05-30,117.27962438751602
2001-05-31,120.26302547281259
2001-06-01,120.34160933482978
2001-06-04,120.05151821732049
2001-06-05,121.14906213772448
2001-06-06,120.79387214632942
2001-06-07,120.54977332830661
2001-06-08,120.82686657754361
2001-06-11,122.40823734509601
2001-06-12,121.46934051720307
2001-06-13,120.56379567821794
2001-06-14,119.52788808238681
2001-06-15,119.05654173643445
2001-06-18,119.26248950624164
2001-06-19,119.36919524649258
2001-06-20,119.85505845616697
2001-06-21,119.5660822536863
2001-06-22,119.413484834953
2001-06-25,119.34870773098129
2001-06-26,119.26846159652983
2001-06-27,120.02920390498142
2001-06-28,121.80344677414955
2001-06-29,122.07682288763472
2001-07-02,122.86039884413552
2001-07-03,125.14087245698006
2001-07-04,125.90723904628985
2001-07-05,127.68510196174887
2001-07-06,126.53601164214048
2001-07-09,126.20894036589743
2001-07-10,124.80898008945854
2001-07-11,123.44534471716976
2001-07-12,125.96674480252575
2001-07-13,126.08507204475201
2001-07-16,125.30077927916345
2001-07-17,125.63672311208849
2001-07-18,122.76641117263375
2001-07-19,122.97770202163338
2001-07-20,122.53389178921297
2001-07-23,124.65928857071955
2001-07-24,124.41067719588709
2001-07-25,123.29769812232033
2001-07-26,123.18954365766346
2001-07-27,123.66912738519086
2001-07-30,123.73845268418803
2001-07-31,124.35233037954062
2001-08-01,123.37631655993259
2001-08-02,123.22355627453454
2001-08-03,122.69487894152877
2001-08-06,124.81732175521468
2001-08-07,125.16426083548913
2001-08-08,124.7285890644257
2001-08-09,123.34984922801857
2001-08-10,122.43369744674165
2001-08-13,123.81156675310376
2001-08-14,126.11697607979787
2001-08-15,127.13841071748895
2001-08-16,127.67546340955457
2001-08-17,127.15308821149029
2001-08-20,123.51231852374927
2001-08-21,123.78759140190303
2001-08-22,122.73745821614231
2001-08-23,124.75013423081863
2001-08-24,124.75696611111604
2001-08-27,126.06426805653997
2001-08-28,125.98658718049778
2001-08-29,125.6677341884736
2001-08-30,124.9250976599697
2001-08-31,125.05275683437057
2001-09-03,127.78961221608924
2001-09-04,129.39763726497443
2001-09-05,132.33001332468197
2001-09-06,131.51060274780096
2001-09-07,129.53027555033128
2001-09-10,131.61439302557312
2001-09-11,130.97946308596207
2001-09-12,130.76050303959963
2001-09-13,130.3708626889928
2001-09-14,128.62899693722807
