Date,RUSSIA GROWTH
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,99.09230038524458
2001-01-03,89.05601523678492
2001-01-04,98.93186300117053
2001-01-05,101.49177087393677
2001-01-08,101.68410143936615
2001-01-09,107.63297215046357
2001-01-10,113.0988796098075
2001-01-11,115.86421117885732
2001-01-12,114.93097422982235
2001-01-15,119.28961022346562
2001-01-16,118.97367397128478
2001-01-17,126.82308645579077
2001-01-18,122.88644167704904
2001-01-19,121.65627154206413
2001-01-22,115.92988165055662
2001-01-23,117.91527617303112
2001-01-24,125.72624051803847
2001-01-25,125.6988579900445
2001-01-26,124.94416869592712
2001-01-29,113.12475829387225
2001-01-30,111.79052482517636
2001-01-31,110.93250773548104
2001-02-01,108.04995438449171
2001-02-02,109.63013164952375
2001-02-05,104.93036164159699
2001-02-06,108.86370445766013
2001-02-07,107.01031086989076
2001-02-08,111.14673647574361
2001-02-09,108.73093039318549
2001-02-12,108.84332403562217
2001-02-13,113.76623259169232
2001-02-14,115.2020808901032
2001-02-15,122.67548458975168
2001-02-16,114.33038858491238
2001-02-19,111.58827015067433
2001-02-20,111.75115673222057
2001-02-21,104.16700861023399
2001-02-22,109.5618966232994
2001-02-23,105.22809009106966
2001-02-26,108.6201558101497
2001-02-27,105.54830786122218
2001-02-28,105.68046533664875
2001-03-01,102.54183088537701
2001-03-02,102.19310912425661
2001-03-05,108.53334173363164
2001-03-06,114.4953163389756
2001-03-07,116.29540243328903
2001-03-08,115.72135065606709
2001-03-09,115.72755988237259
2001-03-12,111.54935832171905
2001-03-13,112.80312662797438
2001-03-14,106.73165120185928
2001-03-15,111.21780114119349
2001-03-16,113.7842050305432
2001-03-19,116.38962564163693
2001-03-20,115.55891568867617
2001-03-21,112.94163226514249
2001-03-22,113.37942763567949
2001-03-23,112.06438871895152
2001-03-26,112.64398297554284
2001-03-27,112.3660709158636
2001-03-28,111.57807972233401
2001-03-29,108.01619149965829
2001-03-30,107.00604990325981
2001-04-02,106.8540433629052
2001-04-03,102.65057312405266
2001-04-04,98.52159883279236
2001-04-05,105.68779709455265
2001-04-06,104.29369967767002
2001-04-09,104.67415009040383
2001-04-10,107.43156797555274
2001-04-11,109.79397519031849
2001-04-12,107.17641926304857
2001-04-13,108.33687101881989
2001-04-16,108.1152305536701
2001-04-17,106.68622767633302
2001-04-18,110.7949103485347
2001-04-19,111.78783022398285
2001-04-20,106.4477187685836
2001-04-23,104.79739269557923
2001-04-24,106.99444650915775
2001-04-25,107.92287526651066
2001-04-26,110.67849426760623
2001-04-27,116.49905659743837
2001-04-30,117.2874998207023
2001-05-01,116.6689850951401
2001-05-02,116.62972684206562
2001-05-03,120.50102078749576
2001-05-04,122.20317379595285
2001-05-07,125.48826009477763
