Date,CHILE VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1008.3890407399422
1999-01-05,1009.0739953723198
1999-01-06,1020.0896038598046
1999-01-07,1009.9776136799123
1999-01-08,1018.4018331047058
1999-01-11,986.7918753482619
1999-01-12,960.2093422493363
1999-01-13,904.5205561066152
1999-01-14,884.0381390775103
1999-01-15,909.7101917254417
1999-01-18,912.9215874733466
1999-01-19,906.298675739648
1999-01-20,927.1096099058254
1999-01-21,926.3081640141843
1999-01-22,928.4893744855154
1999-01-25,976.3830080539819
1999-01-26,988.2834057024616
1999-01-27,997.9198413740115
1999-01-28,1000.3638613092194
1999-01-29,1004.5650357888649
1999-02-01,1014.1289418809753
1999-02-02,1003.4610596239634
1999-02-03,1007.9260048850753
1999-02-04,1018.0022465540852
1999-02-05,1020.0392994495393
1999-02-08,1033.235555269315
1999-02-09,1040.4875792600074
1999-02-10,1048.0846303568762
1999-02-11,1068.6577824638646
1999-02-12,1065.5127581631828
1999-02-15,1065.9433192256315
1999-02-16,1076.2781425308128
1999-02-17,1069.3622586565937
1999-02-18,1084.4517315566845
1999-02-19,1118.6731847880185
1999-02-22,1119.869544235617
1999-02-23,1110.1307888723638
1999-02-24,1128.1208442438585
1999-02-25,1102.4069385845714
1999-02-26,1088.6656979632733
1999-03-01,1090.6351928720173
1999-03-02,1079.4921875309212
1999-03-03,1106.4491310458664
1999-03-04,1149.1209763593151
1999-03-05,1141.3589125573906
1999-03-08,1150.8586110881288
1999-03-09,1150.9123235943564
1999-03-10,1162.4532551431
1999-03-11,1182.7184489438673
1999-03-12,1184.1704759513816
1999-03-15,1187.1242752363305
1999-03-16,1194.1707151320893
1999-03-17,1184.5292176086502
1999-03-18,1193.3674349200978
1999-03-19,1211.7171092905533
1999-03-22,1214.6395693762124
1999-03-23,1209.858699452063
1999-03-24,1210.9284423873526
1999-03-25,1237.0784081833513
1999-03-26,1258.3800132792521
1999-03-29,1264.0880891470354
1999-03-30,1266.6384734986693
1999-03-31,1278.4438834761681
1999-04-01,1287.5087644776597
1999-04-02,1290.3732103963125
1999-04-05,1315.8947361509277
1999-04-06,1315.5251726780157
1999-04-07,1323.92702278689
1999-04-08,1344.3569928124027
1999-04-09,1356.3321451109975
1999-04-12,1348.844607078289
1999-04-13,1370.0800351368478
1999-04-14,1385.8625737680252
1999-04-15,1411.4964182488852
1999-04-16,1434.8576894766738
1999-04-19,1489.7699459524806
1999-04-20,1508.0830646211193
1999-04-21,1483.927673794486
1999-04-22,1444.913978952206
1999-04-23,1406.9660751298177
1999-04-26,1391.653281881251
1999-04-27,1354.7678065016332
1999-04-28,1398.7828369172435
1999-04-29,1386.0953461311522
1999-04-30,1408.518979635629
1999-05-03,1420.508314242288
1999-05-04,1418.7378682511905
1999-05-05,1409.764118044188
1999-05-06,1400.919367082454
1999-05-07,1434.3722150636988
1999-05-10,1474.5217147116698
1999-05-11,1472.8158626132747
1999-05-12,1484.1411972004216
1999-05-13,1513.0982557888967
1999-05-14,1475.8918820941321
1999-05-17,1451.0653521250915
1999-05-18,1445.9323132500638
1999-05-19,1425.691538219608
1999-05-20,1410.5857535807716
1999-05-21,1419.8733960300979
1999-05-24,1370.101858799651
1999-05-25,1347.0586178484996
1999-05-26,1391.8029151699561
1999-05-27,1388.694594640805
1999-05-28,1380.7806843263725
1999-05-31,1387.2122363831209
1999-06-01,1384.576206641927
1999-06-02,1397.3045576912086
1999-06-03,1398.0468715197899
1999-06-04,1423.0996282229682
1999-06-07,1439.8456555234268
1999-06-08,1431.07587207956
1999-06-09,1421.1544640013608
1999-06-10,1419.6916549831308
1999-06-11,1427.0211546809053
1999-06-14,1433.8427556590773
1999-06-15,1429.6328029495328
1999-06-16,1470.9509763622177
1999-06-17,1483.6391865244088
1999-06-18,1464.414469612381
1999-06-21,1479.4765397855435
1999-06-22,1505.8186453315864
1999-06-23,1478.8366219836016
1999-06-24,1462.9776376485831
1999-06-25,1426.7097225655027
1999-06-28,1438.0056192451475
1999-06-29,1442.874320253475
1999-06-30,1483.4409762069522
1999-07-01,1533.6930707931103
1999-07-02,1560.3025744160534
1999-07-05,1572.0151944968115
1999-07-06,1575.3505776254783
1999-07-07,1586.102161274745
1999-07-08,1583.4281205247396
1999-07-09,1591.4247478876014
1999-07-12,1576.8841940477278
1999-07-13,1579.614215903293
1999-07-14,1569.8735349842611
1999-07-15,1572.9547447420998
1999-07-16,1573.920193373776
1999-07-19,1569.6242983298928
1999-07-20,1530.1802889380135
1999-07-21,1525.1329197355656
1999-07-22,1523.3651694864816
1999-07-23,1493.9453434152688
1999-07-26,1444.1201066671595
1999-07-27,1443.4334921863647
1999-07-28,1459.4289781563994
1999-07-29,1434.6785149892526
1999-07-30,1436.2719492556007
1999-08-02,1448.3810812726615
1999-08-03,1444.6337668315668
