Date,CHINA A RMB VALUE WEIGHTED
2008-11-25,1000.0
2008-11-26,1016.408504516231
2008-11-27,1031.2326177722948
2008-11-28,1020.1701278391662
2008-12-01,1029.789685587139
2008-12-02,1015.0178778352732
2008-12-03,1064.5773838001908
2008-12-04,1082.858979182522
2008-12-05,1099.7568008117494
2008-12-08,1121.6826989843605
2008-12-09,1097.4018416992087
2008-12-10,1118.6019626706627
2008-12-11,1071.4337063175872
2008-12-12,1017.0309329732116
2008-12-15,998.4470113494384
2008-12-16,997.0077704506523
2008-12-17,959.4127407273376
2008-12-18,971.4005794073881
2008-12-19,1008.7528155651697
2008-12-22,987.1802151298419
2008-12-23,937.9282670038477
2008-12-24,919.9541591242734
2008-12-25,913.3041026551942
2008-12-26,908.3112170669497
2008-12-29,891.9152398470925
2008-12-30,888.8034292105256
2008-12-31,902.3521468916462
2009-01-01,902.3521468916462
2009-01-02,900.1827198124964
2009-01-05,955.8363778511912
2009-01-06,1004.4172151369676
2009-01-07,977.8559478970584
2009-01-08,947.7675681339164
2009-01-09,975.5363624691689
2009-01-12,983.9290283375008
2009-01-13,977.895596060299
2009-01-14,1018.7238677191709
2009-01-15,1021.1092529394073
2009-01-16,1026.4237954643852
2009-01-19,1051.5305736473183
2009-01-20,1076.1956377496795
2009-01-21,1072.9664303584912
2009-01-22,1075.8456600395598
2009-01-23,1085.1942924281184
2009-01-26,1056.9333788160548
2009-01-27,1053.8038641993576
2009-01-28,1049.6202054825949
2009-01-29,1061.2162236554784
2009-01-30,1083.119594014969
2009-02-02,1091.4251003972302
2009-02-03,1106.221169157982
2009-02-04,1147.348191626441
2009-02-05,1149.4841605221104
2009-02-06,1190.8560152244152
2009-02-09,1197.9224075144677
2009-02-10,1212.3405305382466
2009-02-11,1226.4713442749114
2009-02-12,1225.5606859324753
2009-02-13,1257.3145278164188
2009-02-16,1311.9157981244
2009-02-17,1288.868242380807
2009-02-18,1226.26554862014
2009-02-19,1222.0365523972707
2009-02-20,1247.0299178267392
2009-02-23,1260.0906332891243
2009-02-24,1193.1891809190863
2009-02-25,1202.8583094797395
2009-02-26,1151.0281865998427
2009-02-27,1136.6686536122547
2009-03-02,1151.5256827761834
2009-03-03,1141.6448482113217
2009-03-04,1216.0026486741815
2009-03-05,1229.1166546769098
2009-03-06,1206.298844404275
2009-03-09,1165.4244396932645
2009-03-10,1176.5778458044888
2009-03-11,1164.755838519874
2009-03-12,1159.4098795345744
2009-03-13,1149.2948037912126
2009-03-16,1158.0687107332574
2009-03-17,1197.807868572503
2009-03-18,1188.4890436384985
2009-03-19,1156.476705477046
2009-03-20,1168.6988830384034
2009-03-23,1195.0816344825646
2009-03-24,1207.0700691577488
2009-03-25,1178.5324764644663
2009-03-26,1218.5364668285447
2009-03-27,1252.5486073424502
2009-03-30,1254.9299251927127
2009-03-31,1251.8875671393903
2009-04-01,1274.9410951909445
2009-04-02,1271.8080950896428
2009-04-03,1275.2525006822682
2009-04-06,1277.0123224980687
2009-04-07,1292.6017071298083
2009-04-08,1244.4476188824326
2009-04-09,1265.3510487314975
2009-04-10,1298.5188360229852
2009-04-13,1326.88597464208
2009-04-14,1343.6271663284633
2009-04-15,1351.1066967614743
2009-04-16,1351.567337443151
2009-04-17,1347.559339098984
2009-04-20,1389.99513108857
2009-04-21,1368.2403298238696
2009-04-22,1320.218126744814
2009-04-23,1321.727120579596
2009-04-24,1292.5089454935135
2009-04-27,1277.2345966535943
2009-04-28,1281.7993776771486
2009-04-29,1310.4248996148906
2009-04-30,1316.758399676724
2009-05-01,1316.5596886830351
2009-05-04,1355.6380758381683
2009-05-05,1357.0603996608359
2009-05-06,1381.2072683734043
2009-05-07,1372.598809352437
2009-05-08,1380.8836757574254
2009-05-11,1344.264271995859
2009-05-12,1369.7813069089605
2009-05-13,1385.5676016199557
2009-05-14,1369.1518726427805
2009-05-15,1368.6393012016836
2009-05-18,1383.3654689512234
2009-05-19,1385.1163104300529
2009-05-20,1350.6418378148733
2009-05-21,1321.0941224945568
2009-05-22,1297.1681358467756
2009-05-25,1295.373953596409
2009-05-26,1280.7340315409901
2009-05-27,1312.9585215116808
2009-05-28,1311.7813603067675
2009-05-29,1292.0877265461131
2009-06-01,1342.7636994720267
2009-06-02,1331.2326318849698
2009-06-03,1378.413991372298
2009-06-04,1388.3815030153162
2009-06-05,1396.0629355423102
2009-06-08,1420.291372248062
2009-06-09,1414.4156702338898
2009-06-10,1431.7524268061652
2009-06-11,1410.6370265396602
2009-06-12,1392.3226376687585
2009-06-15,1437.5515528347203
2009-06-16,1427.5717188602757
2009-06-17,1450.9719560054323
2009-06-18,1467.4512708177704
2009-06-19,1488.0657109362116
2009-06-22,1504.00315807392
2009-06-23,1498.4101156668826
2009-06-24,1513.9527654936778
2009-06-25,1527.0265678416563
2009-06-26,1511.9422596293996
2009-06-29,1537.644977082815
2009-06-30,1530.760564971478
2009-07-01,1553.9590338581156
2009-07-02,1588.0787581003785
2009-07-03,1605.488420781166
2009-07-06,1646.7242524014553
2009-07-07,1621.6071692993262
2009-07-08,1627.2443554210327
2009-07-09,1638.1864879521154
2009-07-10,1636.203170158703
2009-07-13,1611.8414159732959
2009-07-14,1658.2828934899162
2009-07-15,1666.0095739524027
2009-07-16,1666.4531845040913
2009-07-17,1674.9845843285386
2009-07-20,1699.8776664258523
2009-07-21,1669.7271563849492
2009-07-22,1705.2531393869697
2009-07-23,1721.5457160319002
2009-07-24,1746.0527048257263
2009-07-27,1784.6663724996042
2009-07-28,1801.0151242605364
2009-07-29,1729.8073018938685
2009-07-30,1774.2217989979802
2009-07-31,1805.3817011301164
2009-08-03,1804.0638227938462
2009-08-04,1799.8090788494262
2009-08-05,1775.8471276411692
2009-08-06,1732.0719811873557
2009-08-07,1696.123170052479
2009-08-10,1695.7028489257875
2009-08-11,1703.222671843914
2009-08-12,1613.9341922543908
2009-08-13,1625.8412495320608
2009-08-14,1584.6096965603726
2009-08-17,1507.8661596612053
2009-08-18,1525.6143317471108
2009-08-19,1439.068213440891
2009-08-20,1500.3834684221065
2009-08-21,1519.6845040293156
2009-08-24,1524.3884580369543
2009-08-25,1465.06320404428
2009-08-26,1499.8800417014063
2009-08-27,1490.1850943218137
2009-08-28,1425.2383319644587
2009-08-31,1328.6416972146724
2009-09-01,1348.6365799070527
2009-09-02,1375.7819800810782
2009-09-03,1447.5576650875119
2009-09-04,1454.6625494840582
2009-09-07,1452.612849194151
2009-09-08,1465.1786949699408
2009-09-09,1469.3536355391332
2009-09-10,1458.5072307737455
2009-09-11,1488.444320680958
2009-09-14,1503.8701573260544
2009-09-15,1510.7021302157086
2009-09-16,1475.5388538170494
2009-09-17,1498.5940175032472
2009-09-18,1448.6389699502417
2009-09-21,1451.9167273089113
2009-09-22,1404.4472925453676
2009-09-23,1382.0493026996378
2009-09-24,1399.6646106486462
2009-09-25,1393.9746253094143
2009-09-28,1361.4771608427316
2009-09-29,1372.2244304486803
2009-09-30,1377.5052090464353
2009-10-01,1382.7554606758745
2009-10-02,1378.6370175030293
2009-10-05,1376.4693492365152
2009-10-06,1365.315724063858
2009-10-07,1371.453437362105
2009-10-08,1363.836057888153
2009-10-09,1432.863838068791
2009-10-12,1417.932645530617
2009-10-13,1438.8300188866497
2009-10-14,1445.3835905183125
2009-10-15,1447.0194625577296
2009-10-16,1451.3673135168406
2009-10-19,1481.0808140615402
2009-10-20,1503.10453819734
2009-10-21,1492.6895846231025
2009-10-22,1479.1275078852473
2009-10-23,1507.8316607523313
2009-10-26,1516.5123810261775
2009-10-27,1482.5574204038069
2009-10-28,1489.0353427528912
2009-10-29,1447.3506971747108
2009-10-30,1469.2328940030914
2009-11-02,1507.5728860512515
2009-11-03,1537.5477777883734
2009-11-04,1529.2879029564822
2009-11-05,1530.7752825149423
2009-11-06,1540.767089696506
2009-11-09,1531.9505593437557
2009-11-10,1539.6549125893139
2009-11-11,1532.9073452239122
2009-11-12,1544.305839026399
2009-11-13,1549.681184271833
2009-11-16,1589.9839285841115
2009-11-17,1605.6025258194493
2009-11-18,1595.1227370467088
2009-11-19,1610.8875761346114
2009-11-20,1602.114721962446
2009-11-23,1596.8765763981125
2009-11-24,1557.150515779238
2009-11-25,1581.0298611758517
2009-11-26,1527.348589354543
2009-11-27,1482.8866011933299
2009-11-30,1529.546605578198
2009-12-01,1541.8489723079635
2009-12-02,1557.8189754375878
2009-12-03,1551.4629882614904
2009-12-04,1613.2452437308307
2009-12-07,1625.9438324338098
2009-12-08,1614.5336013233984
2009-12-09,1583.3974029491094
2009-12-10,1594.371566350554
2009-12-11,1602.83232411046
2009-12-14,1628.3869429414933
2009-12-15,1623.341877111593
2009-12-16,1607.4597291554462
2009-12-17,1599.1621760148073
2009-12-18,1577.157438444157
2009-12-21,1570.5227359883709
2009-12-22,1544.3338850000962
2009-12-23,1542.5209331253363
2009-12-24,1582.313365398945
2009-12-25,1572.7679355017822
2009-12-28,1592.1290082716741
2009-12-29,1601.237596437279
2009-12-30,1651.8858719587697
2009-12-31,1652.2488951441412
2010-01-01,1652.2488951441412
2010-01-04,1618.2393632788305
2010-01-05,1633.2009981117787
2010-01-06,1624.12426845472
2010-01-07,1595.9828899716842
2010-01-08,1598.1678384377951
2010-01-11,1575.637295193134
2010-01-12,1601.1130574052024
2010-01-13,1545.2854617219575
2010-01-14,1564.4487352582123
2010-01-15,1578.3004013924394
2010-01-18,1580.0123663843588
2010-01-19,1595.5049692273308
2010-01-20,1561.1854946598378
2010-01-21,1573.2620761978446
2010-01-22,1557.0111948642693
2010-01-25,1534.539009425816
2010-01-26,1513.0067599909546
2010-01-27,1495.1391626601182
2010-01-28,1502.1531583613626
2010-01-29,1502.8486998921237
2010-02-01,1476.9989735463407
2010-02-02,1469.7247753045183
2010-02-03,1515.7463580966917
2010-02-04,1520.524183181801
2010-02-05,1502.671486508256
2010-02-08,1495.5337648199563
2010-02-09,1501.109437922104
2010-02-10,1523.3734610158388
2010-02-11,1539.6210620622937
2010-02-12,1554.6771653452774
2010-02-15,1556.3352741972876
2010-02-16,1544.238521409227
2010-02-17,1549.6104742282196
2010-02-18,1552.9086066822665
2010-02-19,1565.8950024310252
2010-02-22,1548.1765201768055
2010-02-23,1530.8110228109422
2010-02-24,1546.8974762120138
2010-02-25,1576.2226569577208
2010-02-26,1555.9031900599116
2010-03-01,1596.8192581706387
2010-03-02,1580.4308575430125
2010-03-03,1573.1542535215378
2010-03-04,1547.4019184612212
2010-03-05,1550.6398247384168
2010-03-08,1558.1197277324388
2010-03-09,1578.131698343887
2010-03-10,1560.264756897516
2010-03-11,1562.1393608108613
2010-03-12,1533.0720940129784
2010-03-15,1521.0585612825907
2010-03-16,1518.7009821283978
2010-03-17,1550.121512769102
2010-03-18,1560.6330032654287
2010-03-19,1581.9157071812945
2010-03-22,1584.1050829527362
2010-03-23,1569.6562957046974
2010-03-24,1589.9446378988803
2010-03-25,1569.3135223765933
2010-03-26,1584.2846612755136
2010-03-29,1618.507546931144
2010-03-30,1625.4907008342655
2010-03-31,1600.1476343223055
2010-04-01,1617.8301976546015
2010-04-02,1623.1554121807596
2010-04-05,1626.8808642059041
2010-04-06,1639.9313309646266
2010-04-07,1633.8147190710272
2010-04-08,1609.0839025481891
2010-04-09,1611.1887889282857
2010-04-12,1573.0105470660355
2010-04-13,1603.973881989172
2010-04-14,1595.5842243001985
2010-04-15,1602.364778989053
2010-04-16,1587.918625714757
2010-04-19,1507.8371474256294
2010-04-20,1498.435571958288
2010-04-21,1528.9907668286912
2010-04-22,1514.4257084923865
2010-04-23,1500.9314300577257
2010-04-26,1496.335357753902
2010-04-27,1469.0010690706274
2010-04-28,1479.539479952442
2010-04-29,1469.9924096239847
2010-04-30,1481.0624600316964
2010-05-03,1494.7208349003
2010-05-04,1483.6153296124444
2010-05-05,1504.4064013098896
2010-05-06,1451.7849553995773
2010-05-07,1429.8011990280645
2010-05-10,1427.0408300074555
2010-05-11,1418.2272533366154
2010-05-12,1438.8528449386909
2010-05-13,1480.5498099444662
2010-05-14,1483.200450832352
2010-05-17,1419.7578282356624
2010-05-18,1445.3846866131241
2010-05-19,1442.467392531908
2010-05-20,1427.6566462815479
2010-05-21,1419.0989834876098
2010-05-24,1485.1549924648177
2010-05-25,1464.7773556288626
2010-05-26,1468.8573780139895
2010-05-27,1483.4734310424747
2010-05-28,1469.1619914066484
2010-05-31,1439.7345031379384
2010-06-01,1423.8771892484365
2010-06-02,1436.4825056876198
2010-06-03,1426.7384716036531
2010-06-04,1448.0572576742768
2010-06-07,1431.3315403137854
2010-06-08,1425.5506763823037
2010-06-09,1457.4518895235424
2010-06-10,1429.786897745286
2010-06-11,1438.2696874976334
2010-06-14,1416.7723764561888
2010-06-15,1413.203970243145
2010-06-16,1412.228674197428
2010-06-17,1406.2586692485327
2010-06-18,1389.6904650141569
2010-06-21,1439.6571580265181
2010-06-22,1447.6696571284954
2010-06-23,1438.9695489162903
2010-06-24,1433.4536209671842
2010-06-25,1433.5210909078462
2010-06-28,1423.1494854183516
2010-06-29,1382.8494568505419
2010-06-30,1365.6419619140697
2010-07-01,1329.873927665047
2010-07-02,1326.6706494306131
2010-07-05,1323.7334982116333
2010-07-06,1332.8411557812324
2010-07-07,1340.97892216503
2010-07-08,1334.6436962642313
2010-07-09,1373.9948949336347
2010-07-12,1393.7343195833123
2010-07-13,1361.9794179126104
2010-07-14,1364.6579141574382
2010-07-15,1324.4625352997268
2010-07-16,1319.8299122429403
2010-07-19,1348.5219870284675
2010-07-20,1383.4578688043312
2010-07-21,1395.2903651857312
2010-07-22,1399.317449507039
2010-07-23,1415.3414852314213
2010-07-26,1408.1152915921161
2010-07-27,1393.5565867173639
2010-07-28,1426.690787697052
2010-07-29,1428.5043924225984
2010-07-30,1430.9935959252982
