Date,INDIA VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1025.16791031168
1999-01-05,1033.4198455777168
1999-01-06,1048.2576104431319
1999-01-07,1090.5877883164555
1999-01-08,1150.8151613819634
1999-01-11,1185.5896947894962
1999-01-12,1156.561309876546
1999-01-13,1112.5728998600366
1999-01-14,1091.7576797208135
1999-01-15,1065.706079403179
1999-01-18,1083.3753863953746
1999-01-19,1051.4166421772597
1999-01-20,1054.6879786898032
1999-01-21,1085.868344544546
1999-01-22,1074.2738486423875
1999-01-25,1071.789044312999
1999-01-26,1070.7240618954418
1999-01-27,1093.063534073284
1999-01-28,1075.0578426613772
1999-01-29,1072.452095427756
1999-02-01,1050.7752612735535
1999-02-02,1032.9243897236013
1999-02-03,1045.716346555037
1999-02-04,1030.660275748285
1999-02-05,1013.0354193105275
1999-02-08,1001.0805050671327
1999-02-09,1000.0345682259755
1999-02-10,1010.602302151637
1999-02-11,1025.1658895523794
1999-02-12,1028.2452030657853
1999-02-15,1024.0539893498492
1999-02-16,1038.7230872754699
1999-02-17,1036.8241222478232
1999-02-18,1051.9335387606216
1999-02-19,1067.6381585676409
1999-02-22,1057.0458565399056
1999-02-23,1058.4803848666024
1999-02-24,1065.249702833425
1999-02-25,1053.0658395717348
1999-02-26,1046.1613864507715
1999-03-01,1093.4230047382766
1999-03-02,1094.0233742673029
1999-03-03,1130.546252118936
1999-03-04,1127.2657235507188
1999-03-05,1140.77888798954
1999-03-08,1166.8617481396273
1999-03-09,1179.1786244296934
1999-03-10,1156.8518793187775
1999-03-11,1137.7919732887212
1999-03-12,1131.4211532477827
1999-03-15,1150.9826530519188
1999-03-16,1139.9733508156994
1999-03-17,1114.9198357745026
1999-03-18,1117.1016749834544
1999-03-19,1131.7962010011329
1999-03-22,1158.0400689088765
1999-03-23,1168.8725010670453
1999-03-24,1143.7745714342655
1999-03-25,1148.8767159929748
1999-03-26,1125.3546727436515
1999-03-29,1127.1397832630732
1999-03-30,1143.0741277106072
1999-03-31,1161.8788396545626
1999-04-01,1147.2485689099262
1999-04-02,1149.8009643355429
1999-04-05,1096.8326129641064
1999-04-06,1093.1465852048677
1999-04-07,1084.360164312688
1999-04-08,1066.5870469417366
1999-04-09,1036.4120115539442
1999-04-12,1032.6042260987965
1999-04-13,1031.7460226391188
1999-04-14,1029.789608480937
1999-04-15,1008.3587272067549
1999-04-16,1074.9817879591244
1999-04-19,1047.481448978555
1999-04-20,1048.771053880573
1999-04-21,1054.974806636735
1999-04-22,1031.5920866199638
1999-04-23,1018.4913693885248
1999-04-26,972.8435451669351
1999-04-27,969.0479757024623
1999-04-28,997.9401825464032
1999-04-29,1025.8536490391393
1999-04-30,1027.50889088685
1999-05-03,1056.7788827616798
1999-05-04,1104.838139549591
1999-05-05,1119.1327882445048
1999-05-06,1138.7155714705268
1999-05-07,1168.4892935792877
1999-05-10,1210.99099515337
1999-05-11,1265.4625539644178
1999-05-12,1239.40512755902
1999-05-13,1306.030824497722
1999-05-14,1343.716924416158
1999-05-17,1358.6698950824493
1999-05-18,1392.1333345992075
1999-05-19,1437.772610681176
1999-05-20,1412.6399067184914
1999-05-21,1367.8558607506152
1999-05-24,1358.48285917721
1999-05-25,1373.1129997172704
1999-05-26,1338.6215276254154
1999-05-27,1292.703165418049
1999-05-28,1250.5840903175847
1999-05-31,1340.419349183158
1999-06-01,1314.479194681026
1999-06-02,1345.822588688162
1999-06-03,1377.9009583490786
1999-06-04,1423.4549673715826
1999-06-07,1430.878228412411
1999-06-08,1433.145774015272
1999-06-09,1422.288557804855
1999-06-10,1418.8073672802268
1999-06-11,1383.7423892097306
1999-06-14,1379.0905072821463
1999-06-15,1353.7160817589152
1999-06-16,1414.2018171722784
1999-06-17,1447.6183981911295
1999-06-18,1433.1063150838145
1999-06-21,1493.3146067667913
1999-06-22,1506.0219739155887
1999-06-23,1473.9822105237988
1999-06-24,1453.6379428464431
1999-06-25,1435.50484080279
1999-06-28,1468.0648851011733
1999-06-29,1472.1922839181298
1999-06-30,1464.0374292151369
1999-07-01,1462.461706651084
1999-07-02,1490.5310363047279
1999-07-05,1561.1852005136518
1999-07-06,1585.665379217582
1999-07-07,1599.848814205497
1999-07-08,1612.7064011537623
1999-07-09,1655.735496397461
1999-07-12,1778.7833495192826
1999-07-13,1782.397188140045
1999-07-14,1802.8120433471972
1999-07-15,1763.5995334578197
1999-07-16,1754.528547311573
1999-07-19,1770.5419247688656
1999-07-20,1682.3151062080885
1999-07-21,1682.3486578039401
1999-07-22,1698.6099862297194
1999-07-23,1664.3437110546142
1999-07-26,1602.5616473328375
1999-07-27,1588.7180157410826
1999-07-28,1590.8746487503997
1999-07-29,1563.1558189679893
1999-07-30,1531.9421005497354
1999-08-02,1492.8352141256678
1999-08-03,1512.7415030689135
