Date,SOUTH AFRICA VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,995.5316839230695
1999-01-05,1021.7591497794
1999-01-06,1093.2875161547217
1999-01-07,1073.2036459985507
1999-01-08,1113.9936930904994
1999-01-11,1097.2024475684145
1999-01-12,1088.516174054139
1999-01-13,1017.2770944784174
1999-01-14,1011.4686233020822
1999-01-15,1030.678833872991
1999-01-18,1069.2341177671376
1999-01-19,1060.034576694552
1999-01-20,1060.3975374329602
1999-01-21,1041.3283982917944
1999-01-22,1030.822060070524
1999-01-25,1021.3831625477536
1999-01-26,1021.4493384530043
1999-01-27,1052.5708680272076
1999-01-28,1066.3098034529114
1999-01-29,1075.7916266434581
1999-02-01,1084.4895041838356
1999-02-02,1077.4693630771808
1999-02-03,1070.884638069006
1999-02-04,1084.4061629721425
1999-02-05,1111.0069889078175
1999-02-08,1132.708062957747
1999-02-09,1092.9142023711465
1999-02-10,1076.707700411255
1999-02-11,1094.5773293176615
1999-02-12,1105.267543297599
1999-02-15,1099.961829740438
1999-02-16,1110.3368819318375
1999-02-17,1101.3111734859535
1999-02-18,1108.0290340016315
1999-02-19,1104.423669678154
1999-02-22,1126.0353317704626
1999-02-23,1141.0609978537912
1999-02-24,1150.9693156574995
1999-02-25,1147.6776016515553
1999-02-26,1143.5330093182433
1999-03-01,1149.8937337061056
1999-03-02,1146.8724986174088
1999-03-03,1172.2205084884126
1999-03-04,1199.2026334712473
1999-03-05,1224.4177853690094
1999-03-08,1234.5325980477878
1999-03-09,1236.2096327976826
1999-03-10,1230.054913355565
1999-03-11,1274.294842779066
1999-03-12,1262.8923464762838
1999-03-15,1250.5625985817856
1999-03-16,1267.5572309119054
1999-03-17,1265.8102404772653
1999-03-18,1255.5009338073105
1999-03-19,1292.3182420225476
1999-03-22,1298.8442621314348
1999-03-23,1285.921522279154
1999-03-24,1272.6836982675852
1999-03-25,1291.741101684626
1999-03-26,1296.8685702431887
1999-03-29,1295.4500711367568
1999-03-30,1297.1303157601435
1999-03-31,1284.7648660916989
1999-04-01,1288.7680727917132
1999-04-02,1290.7979555405288
1999-04-05,1300.8444024317384
1999-04-06,1294.2277912594684
1999-04-07,1290.682819340216
1999-04-08,1277.9734491333163
1999-04-09,1311.9010647377565
1999-04-12,1316.3505924410777
1999-04-13,1362.13096588107
1999-04-14,1379.8594730734178
1999-04-15,1427.140351932361
1999-04-16,1471.9469122375847
1999-04-19,1527.895939508819
1999-04-20,1497.9072387639353
1999-04-21,1463.173595439306
1999-04-22,1455.7740787698137
1999-04-23,1452.300715250432
1999-04-26,1473.29366284258
1999-04-27,1466.7999513004852
1999-04-28,1497.7600700707155
1999-04-29,1518.3751993124915
1999-04-30,1534.9096262042324
1999-05-03,1540.7814514479403
1999-05-04,1535.8492846976815
1999-05-05,1485.7648053150167
1999-05-06,1483.5779758675772
1999-05-07,1456.0652261821908
1999-05-10,1434.1200123807248
1999-05-11,1440.6625254030089
1999-05-12,1408.1205212605462
1999-05-13,1419.2085031907707
1999-05-14,1401.8586761130668
1999-05-17,1392.804970292269
1999-05-18,1396.1465519863414
1999-05-19,1383.45237401769
1999-05-20,1377.9883866009015
1999-05-21,1397.4108193420343
1999-05-24,1386.6845598702723
1999-05-25,1362.7875756055605
1999-05-26,1364.3843943585096
1999-05-27,1343.364083539729
1999-05-28,1346.8079723792819
1999-05-31,1363.3246132389336
1999-06-01,1399.551117470496
1999-06-02,1415.6515801156195
1999-06-03,1447.3434985817917
1999-06-04,1467.756319348066
1999-06-07,1513.4434691961833
1999-06-08,1494.6732730965857
1999-06-09,1491.0078305502284
1999-06-10,1471.0069070548363
1999-06-11,1500.1757336761636
1999-06-14,1511.3235831645068
1999-06-15,1516.5167704797902
1999-06-16,1534.8283361891597
1999-06-17,1550.420144251509
1999-06-18,1566.105797722297
1999-06-21,1600.0860127828914
1999-06-22,1611.1664713561643
1999-06-23,1593.9464688250048
1999-06-24,1566.8334195366347
1999-06-25,1543.734711599918
1999-06-28,1567.5723377341376
1999-06-29,1573.6048996273196
1999-06-30,1592.0551053408835
1999-07-01,1637.0364239444903
1999-07-02,1657.4745112435003
1999-07-05,1694.9032645891548
1999-07-06,1666.0428896281217
1999-07-07,1654.4275410353607
1999-07-08,1654.4024090222404
1999-07-09,1643.9619137810726
1999-07-12,1666.2153030093443
1999-07-13,1615.812326464204
1999-07-14,1623.5590775550797
1999-07-15,1618.5843403273768
1999-07-16,1606.626614745288
1999-07-19,1614.5464185350888
1999-07-20,1571.6603858220387
1999-07-21,1556.5726114628196
1999-07-22,1557.8941628308569
1999-07-23,1568.1753133487741
1999-07-26,1507.2344268059874
1999-07-27,1519.0499097363186
1999-07-28,1517.771049145368
1999-07-29,1483.351055352027
1999-07-30,1496.2079393917807
1999-08-02,1489.5774509759253
