Date,CHINA VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,982.3176175506293
1999-01-05,982.2272491189343
1999-01-06,984.6311403027617
1999-01-07,1002.0534970463902
1999-01-08,1026.8341080193727
1999-01-11,1027.56678831753
1999-01-12,1020.8591140705992
1999-01-13,987.6588231975829
1999-01-14,950.917993714486
1999-01-15,954.8110774030057
1999-01-18,958.8323769050354
1999-01-19,947.0430643396984
1999-01-20,928.5885541784368
1999-01-21,924.2043216932168
1999-01-22,897.4208492191899
1999-01-25,885.4073560429988
1999-01-26,876.7369957118153
1999-01-27,882.3299289484062
1999-01-28,891.1032880976278
1999-01-29,909.5218476451713
1999-02-01,912.3156574323002
1999-02-02,898.1635659553216
1999-02-03,869.4476487816979
1999-02-04,851.4896658078138
1999-02-05,866.9889531529298
1999-02-08,866.3994847709748
1999-02-09,868.4278212723401
1999-02-10,866.8100670318933
1999-02-11,868.6244925061515
1999-02-12,870.0970804587037
1999-02-15,873.3445493802164
1999-02-16,877.7808742309105
1999-02-17,873.6754984239523
1999-02-18,874.5137687890626
1999-02-19,884.4497561267423
1999-02-22,889.5498483521116
1999-02-23,893.7288988572084
1999-02-24,895.9203083403861
1999-02-25,888.0020465510405
1999-02-26,894.0078754354128
1999-03-01,885.8715179393382
1999-03-02,858.3903910329693
1999-03-03,851.8358395580153
1999-03-04,855.0369194925341
1999-03-05,845.6490349025177
1999-03-08,806.9215963270781
1999-03-09,775.5630547076801
1999-03-10,765.0178756150945
1999-03-11,837.7483322403551
1999-03-12,850.3264419853632
1999-03-15,836.9287244624945
1999-03-16,822.7066027527931
1999-03-17,815.0399042493485
1999-03-18,869.7659122979575
1999-03-19,876.7086845551896
1999-03-22,955.1792784317494
1999-03-23,983.1161171189651
1999-03-24,996.8871834823797
1999-03-25,999.9916208309992
1999-03-26,981.6753403668698
1999-03-29,1041.0856398803498
1999-03-30,978.0579319217841
1999-03-31,984.2775687630598
1999-04-01,984.3807227383207
1999-04-02,1009.5765724445048
1999-04-05,1010.4481546067033
1999-04-06,1007.7228189486677
1999-04-07,1005.6899552897949
1999-04-08,1039.3208039626213
1999-04-09,1100.6018380047592
1999-04-12,1082.2243701072168
1999-04-13,1073.461648476062
1999-04-14,1104.211672096004
1999-04-15,1178.675711159922
1999-04-16,1156.0422372021267
1999-04-19,1155.580272632741
1999-04-20,1144.165627101316
1999-04-21,1106.6503907841893
1999-04-22,1115.9743866189392
1999-04-23,1121.8092171767728
1999-04-26,1121.4987891798442
1999-04-27,1095.483514848928
1999-04-28,1073.8423850370946
1999-04-29,1074.56513530483
1999-04-30,1107.2523250197544
1999-05-03,1108.5096732951492
1999-05-04,1120.6898080887236
1999-05-05,1138.4749519532509
1999-05-06,1182.93582550724
1999-05-07,1196.6236881304699
1999-05-10,1103.4243708267143
1999-05-11,1134.1733362752598
1999-05-12,1182.2634830942598
1999-05-13,1188.8585425848073
1999-05-14,1149.9273332134212
1999-05-17,1156.8490314281678
1999-05-18,1134.0629105065104
1999-05-19,1146.3856613790522
1999-05-20,1145.9138530335338
1999-05-21,1149.1835360940543
1999-05-24,1225.3646340937778
1999-05-25,1244.1406461981487
1999-05-26,1258.0454675810956
1999-05-27,1327.2388788915227
1999-05-28,1391.591181715319
1999-05-31,1486.1729697285605
1999-06-01,1617.084203926521
1999-06-02,1549.5025753589382
1999-06-03,1572.272083927791
1999-06-04,1677.3897417563667
1999-06-07,1747.512889748565
1999-06-08,1711.6607336769325
1999-06-09,1730.9506459320792
1999-06-10,1812.9759190537177
1999-06-11,1883.1669067257426
1999-06-14,2051.724968963677
1999-06-15,1946.0263214246856
1999-06-16,2107.4597298865874
1999-06-17,2157.8723345884127
1999-06-18,2147.9608212825474
1999-06-21,2158.229970313881
1999-06-22,2145.2603660470463
1999-06-23,2210.958529703616
1999-06-24,2302.136659254873
1999-06-25,2245.873003009086
1999-06-28,2424.4033310416257
1999-06-29,2480.6678088631124
1999-06-30,2357.4802469144092
1999-07-01,2269.717177785966
1999-07-02,2304.5958015850506
1999-07-05,2281.891722627959
1999-07-06,2058.375941082441
1999-07-07,1998.2241606408707
1999-07-08,2078.116679138672
1999-07-09,2076.9022595429433
1999-07-12,2043.0199928218653
1999-07-13,1910.3668410704831
1999-07-14,1840.5272092329915
1999-07-15,1765.8547443455197
1999-07-16,1683.7603539743677
1999-07-19,1530.680729483596
1999-07-20,1639.007233135981
1999-07-21,1782.9485967585429
1999-07-22,1745.966958790802
1999-07-23,1867.6755004696108
1999-07-26,1877.9192641144361
1999-07-27,1789.7772723818257
1999-07-28,1812.8455610162446
1999-07-29,1802.8430955979445
1999-07-30,1821.9690755157517
1999-08-02,1849.3304386957855
1999-08-03,1838.926514407746
1999-08-04,1850.3415601538597
1999-08-05,1830.937256988888
1999-08-06,1746.983497330412
