Date,CHINA A ONSHORE VALUE WEIGHTED
2007-11-30,1000.0
2007-12-03,1009.7602124321285
2007-12-04,1014.940866891644
2007-12-05,1052.0382834607644
2007-12-06,1051.45253065696
2007-12-07,1066.3869478469358
2007-12-10,1083.9151210124483
2007-12-11,1089.2562997228454
2007-12-12,1082.2991139486069
2007-12-13,1049.1271211068718
2007-12-14,1082.0746593792808
2007-12-17,1062.7029191631102
2007-12-18,1058.9590776001403
2007-12-19,1087.6952608808174
2007-12-20,1107.5323122403931
2007-12-21,1120.5815861967271
2007-12-24,1140.9606702516546
2007-12-25,1146.4576659310849
2007-12-26,1149.5294805535018
2007-12-27,1167.364182705169
2007-12-28,1151.3033615646427
2007-12-31,1157.9180110206414
2008-01-01,1157.9180110206414
2008-01-02,1168.0851355269083
2008-01-03,1187.1470161486804
2008-01-04,1191.3627147102686
2008-01-07,1213.5457951283465
2008-01-08,1202.2836808354357
2008-01-09,1228.7936758425856
2008-01-10,1234.2484561611327
2008-01-11,1235.4893120530312
2008-01-14,1240.9982502481803
2008-01-15,1242.1908649116351
2008-01-16,1219.7799947163446
2008-01-17,1188.4654445410256
2008-01-18,1207.5380632871788
2008-01-21,1161.8188114274992
2008-01-22,1061.8201923519068
2008-01-23,1121.0534512509887
2008-01-24,1124.642996284238
2008-01-25,1138.381760604424
2008-01-28,1054.8640879169607
2008-01-29,1067.146803267671
2008-01-30,1057.4211652634267
2008-01-31,1035.6379233150642
2008-02-01,1015.8499170139568
2008-02-04,1101.1960910146822
2008-02-05,1111.2712908686412
2008-02-06,1110.1340526381769
2008-02-07,1121.9215966176494
2008-02-08,1122.463344706934
2008-02-11,1122.463344706934
2008-02-12,1115.1553902302076
2008-02-13,1094.2551971900623
2008-02-14,1107.8840386073398
2008-02-15,1092.8372439459354
2008-02-18,1121.5950118879746
2008-02-19,1140.1119981518705
2008-02-20,1126.5547829904224
2008-02-21,1114.2782398879551
2008-02-22,1075.845824981073
2008-02-25,1035.0576477153122
2008-02-26,1031.294260948508
2008-02-27,1044.4340943354075
2008-02-28,1040.2971423984227
2008-02-29,1050.6864948269372
2008-03-03,1075.7718023347559
2008-03-04,1050.5133674711599
2008-03-05,1040.3318594171294
2008-03-06,1045.0198869660853
2008-03-07,1028.4874375489446
2008-03-10,987.6801528685178
2008-03-11,993.453268804082
2008-03-12,953.2944197861473
2008-03-13,923.4927885846768
2008-03-14,912.8915443699779
2008-03-17,856.2168814744416
2008-03-18,810.2401946721577
