Date,TAIWAN VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,997.3009383324126
1999-01-05,956.9568491633489
1999-01-06,977.1713070349009
1999-01-07,1018.0946738472128
1999-01-08,1029.107177608221
1999-01-11,1023.6483982298643
1999-01-12,1010.764565680992
1999-01-13,989.3215833922714
1999-01-14,978.263119938495
1999-01-15,1028.2208852475992
1999-01-18,1012.6701898758129
1999-01-19,1008.510727355194
1999-01-20,1009.1872251939793
1999-01-21,1013.2541068481224
1999-01-22,995.7924914015306
1999-01-25,970.3753183967666
1999-01-26,986.0144016031605
1999-01-27,994.1622388852608
1999-01-28,990.217414462157
1999-01-29,985.1736030057425
1999-02-01,968.3374421391402
1999-02-02,951.9291134789792
1999-02-03,956.34670276817
1999-02-04,921.7170293773177
1999-02-05,911.0342862946774
1999-02-08,970.0591857420947
1999-02-09,946.801412868885
1999-02-10,960.7630234328384
1999-02-11,962.5060441302569
1999-02-12,964.4687506468241
1999-02-15,968.0308432158484
1999-02-16,972.9229489977532
1999-02-17,966.8358142825056
1999-02-18,967.78352359966
1999-02-19,975.0496615533498
1999-02-22,1051.0979449019771
1999-02-23,1040.3138387620213
1999-02-24,1050.6685419628564
1999-02-25,1052.4598034825892
1999-02-26,1065.5987715695676
1999-03-01,1068.827790594042
1999-03-02,1060.502053322688
1999-03-03,1085.6477282081983
1999-03-04,1089.0894736532503
1999-03-05,1086.7085019489832
1999-03-08,1093.3158675456139
1999-03-09,1101.013291736163
1999-03-10,1096.044723511825
1999-03-11,1099.0324810522725
1999-03-12,1090.9178576532802
1999-03-15,1112.3017138108023
1999-03-16,1127.6669226712904
1999-03-17,1132.7751866793283
1999-03-18,1159.7597370051337
1999-03-19,1186.8090419273979
1999-03-22,1197.7324609675738
1999-03-23,1179.3815617689615
1999-03-24,1168.9522189120437
1999-03-25,1187.4695342519447
1999-03-26,1228.4274781218887
1999-03-29,1206.0718295018644
1999-03-30,1204.5648857702233
1999-03-31,1198.3578854213526
1999-04-01,1234.6529558689924
1999-04-02,1284.7754008751085
1999-04-05,1282.3681978031955
1999-04-06,1273.1810258439016
1999-04-07,1262.309662497502
1999-04-08,1284.6560979009928
1999-04-09,1293.3822818495862
1999-04-12,1279.4910683965156
1999-04-13,1301.400297396836
1999-04-14,1311.7709232601107
1999-04-15,1354.9646057101895
1999-04-16,1356.3715663993814
1999-04-19,1410.2365835792066
1999-04-20,1410.8658459154844
1999-04-21,1382.1695581521785
1999-04-22,1378.6182482037968
1999-04-23,1398.6897609998043
1999-04-26,1400.9396433835402
1999-04-27,1379.6363341732472
1999-04-28,1367.7202858897167
1999-04-29,1331.4121788304478
1999-04-30,1349.341423790271
1999-05-03,1349.5402280419662
1999-05-04,1387.3708070163152
1999-05-05,1369.6365443091727
1999-05-06,1344.88910537274
1999-05-07,1323.9750332873002
1999-05-10,1326.3657440728607
1999-05-11,1336.1880677546455
1999-05-12,1336.9923415493677
1999-05-13,1333.9975844654555
1999-05-14,1360.1979470326985
1999-05-17,1356.8870830591227
1999-05-18,1339.083551319843
1999-05-19,1338.08707856223
1999-05-20,1350.4460528471486
1999-05-21,1357.5724868531188
1999-05-24,1339.5367642608908
1999-05-25,1300.9056826018254
1999-05-26,1328.413706926858
1999-05-27,1342.9859215074673
1999-05-28,1317.720308088355
1999-05-31,1290.2941037623457
1999-06-01,1304.310679016983
1999-06-02,1330.754403951251
1999-06-03,1353.2492490277218
1999-06-04,1362.9939194137182
1999-06-07,1409.00505498864
1999-06-08,1410.140212849317
1999-06-09,1423.9655554843548
1999-06-10,1426.6354366879925
1999-06-11,1432.3946986259689
1999-06-14,1439.2069772898285
1999-06-15,1438.4460231962642
1999-06-16,1471.8394619107808
1999-06-17,1514.9628229882646
1999-06-18,1505.2031739833567
1999-06-21,1549.3320996476132
1999-06-22,1588.3565383180037
1999-06-23,1556.5651170176905
1999-06-24,1570.672131647257
1999-06-25,1491.8506796726247
1999-06-28,1510.9726759651658
1999-06-29,1560.390732470248
1999-06-30,1543.7383072169632
1999-07-01,1553.201004008692
1999-07-02,1574.7111746498501
1999-07-05,1576.5444142856534
1999-07-06,1549.059376318998
1999-07-07,1558.0632464649234
1999-07-08,1585.828977376316
1999-07-09,1571.4447178729497
1999-07-12,1560.562389123046
1999-07-13,1506.3930181931971
1999-07-14,1449.7733098278727
1999-07-15,1454.9062792113252
1999-07-16,1358.252589664562
1999-07-19,1358.059424241009
1999-07-20,1407.150471602897
1999-07-21,1384.4128012226336
1999-07-22,1363.3898570929093
1999-07-23,1375.5444524415507
1999-07-26,1324.3145056815697
1999-07-27,1290.0395152453957
1999-07-28,1319.5772355235954
1999-07-29,1287.616514643799
1999-07-30,1295.4421287684345
1999-08-02,1272.2515090212532
1999-08-03,1272.7640360918306
1999-08-04,1252.250422468294
