Date,AC AP WITH PARTIAL A SHARES
2008-11-28,1057.7043756229418
2008-12-31,1047.0839355009393
2009-01-30,1054.729422912343
2009-02-27,964.9193536735683
2009-03-31,999.0738912253563
2009-04-30,1125.8186262787437
2009-05-29,1184.9904590980013
2009-06-30,1211.9185029543223
2009-07-31,1302.110219850466
2009-08-31,1305.8694238975963
2009-09-30,1339.4498348194902
2009-10-30,1310.552743749073
2009-11-30,1303.3188808619946
2009-12-31,1396.8017407286743
2010-01-29,1398.7432058767522
2010-02-26,1442.2913709173727
2010-03-31,1548.3353003173434
2010-04-30,1586.5226988378895
2010-05-31,1553.845022334388
2010-06-30,1549.450362723166
2010-07-30,1541.5260659021515
2010-08-31,1549.9088541185415
2010-09-30,1571.3444642908973
2010-10-29,1581.6893497390147
2010-11-30,1682.1033869831597
2010-12-31,1747.8763541148378
2011-01-31,1697.533271261294
2011-02-28,1698.481680955933
2011-03-31,1640.6691243878086
2011-04-29,1613.7804379817217
2011-05-31,1631.4978656382452
2011-06-30,1606.0400943370153
2011-07-29,1644.834829662398
2011-08-31,1504.6799303075263
2011-09-30,1469.8444109505526
2011-10-31,1522.2834728561693
2011-11-30,1473.9772473713892
2011-12-30,1533.6412679605342
2012-01-31,1642.147857892875
2012-02-29,1689.8405015778067
2012-03-30,1673.9928725557843
2012-04-30,1668.9788818214884
2012-05-31,1610.9566550728496
2012-06-29,1638.4694756481956
2012-07-31,1712.321082589592
2012-08-31,1664.6734132506342
2012-09-28,1705.6203484010916
2012-10-31,1687.0339642199417
2012-11-30,1720.0315121400442
2012-12-31,1763.496439081429
2013-01-31,1764.9452907931259
2013-02-28,1860.657124415628
2013-03-29,1908.6999555886753
2013-04-30,1950.051760695284
2013-05-31,1889.5031898780585
2013-06-28,1827.9002480531421
2013-07-31,1815.6249098486066
2013-08-30,1804.9014136733588
2013-09-30,1879.3117720275368
2013-10-31,1922.5416994543407
2013-11-29,1919.8428009578918
2013-12-31,1888.854449253885
2014-01-31,1841.8354044119292
2014-02-28,1841.5648663302213
2014-03-31,1854.869111548813
2014-04-30,1836.2195824508872
2014-05-30,1931.7373511888727
2014-06-30,1984.1278057517188
2014-07-31,2079.0420997407964
2014-08-29,2103.893999174839
2014-09-30,2090.463459847966
2014-10-31,2131.647974393641
2014-11-28,2129.165265206129
2014-12-31,2155.4061205770154
2015-01-30,2352.577845148004
2015-02-27,2468.6587794379207
2015-03-31,2593.4278325560435
2015-04-30,2614.0411315121014
2015-05-29,2644.3799279815053
2015-06-30,2520.778166296791
2015-07-31,2468.143043769292
2015-08-31,2229.7347211842116
2015-09-30,2143.2073772755944
2015-10-30,2353.206276252354
2015-11-30,2415.6919199112417
2015-12-31,2354.6413419894943
2016-01-29,2168.9570993012885
2016-02-29,2124.337363267045
2016-03-31,2203.455464513203
2016-04-29,2231.4906658462714
2016-05-31,2265.8688171612953
2016-06-30,2275.7838671566114
2016-07-29,2394.3841081886603
2016-08-31,2439.2678294839848
2016-09-30,2458.191935240487
2016-10-31,2508.08976514054
2018-03-30,2868.709838796339
2018-04-30,2944.777533440737
2018-05-01,2962.344592820642
2018-05-31,3022.1864933876427
