Date,ACWI VOTING RIGHTS-ADJUSTED
2018-12-03,1011.3392993723645
2018-12-04,989.38820407645
2018-12-05,985.3115967252199
2018-12-06,971.143097871443
2018-12-07,959.7256760728154
2018-12-10,953.307487123611
2018-12-11,958.487831310365
2018-12-12,965.7860801799978
2018-12-13,967.6944488319249
2018-12-14,956.4531186149501
2018-12-17,940.8579061517329
2018-12-18,935.1007643321511
2018-12-19,924.6043797392803
2018-12-20,911.1501538574471
2018-12-21,899.2234338261507
2018-12-24,884.7652626313587
2018-12-25,880.9807266545431
2018-12-26,905.1108529638148
2018-12-27,911.2900249660905
2018-12-28,913.6012043641402
2018-12-31,920.1987323322844
2019-01-31,987.7884099922808
2019-02-28,1022.5585362471867
2019-03-29,1049.944656317611
2019-04-30,1087.1813009480877
2019-05-31,1028.6364470169067
2019-06-28,1073.0203900512622
2019-07-01,1086.1610179000247
2019-07-02,1091.7432581504518
2019-07-31,1099.5901888240396
2019-08-30,1085.1475173711212
2019-09-30,1120.0200499268099
2019-10-11,1107.870321153046
2019-10-14,1107.781481359502
2019-10-31,1124.5648716977942
2019-11-27,1174.6164236930229
2019-11-28,1173.1655770167094
2019-11-29,1165.5063321429127
2019-12-02,1153.7840228392915
2019-12-03,1146.133236599008
2019-12-04,1150.9491043558407
2019-12-05,1152.7302033249875
2019-12-06,1166.1673015187089
2019-12-09,1162.572213393937
2019-12-10,1159.087908808385
2019-12-11,1163.0697679541922
2019-12-12,1168.243917920421
2019-12-13,1173.3250007002725
2019-12-16,1181.0689560748106
2019-12-17,1180.9675310499085
2019-12-18,1183.1163777480263
2019-12-19,1186.92852183437
2019-12-20,1194.7023049834067
2019-12-23,1195.3350218495825
2019-12-24,1195.338550439734
2019-12-25,1195.0576753074693
2019-12-26,1198.3950470598531
2019-12-27,1194.8378006090115
2019-12-30,1185.745196417971
2019-12-31,1185.3019279403666
2020-01-01,1185.3026944394685
2020-01-02,1197.0374791520658
2020-01-03,1194.6758649407552
2020-01-06,1190.7100897790824
2020-01-07,1195.4625279880108
2020-01-08,1199.0587396519168
2020-01-09,1209.162390411079
2020-01-10,1207.4223445558155
2020-01-13,1211.0811806019894
2020-01-14,1212.6938713361242
2020-01-15,1209.9579494118532
2020-01-16,1217.74006156869
2020-01-17,1227.5455975523078
2020-01-20,1228.6082451925035
2020-01-21,1221.796776963793
2020-01-22,1225.6487436377015
2020-01-23,1225.755626722201
2020-01-24,1223.155955718581
2020-01-27,1204.9456519781681
2020-01-28,1213.327715245236
2020-01-29,1213.1912290275625
2020-01-30,1205.7980542845803
2020-01-31,1186.3469890358879
2020-02-03,1192.071427234366
2020-02-04,1211.9447013579256
2020-02-05,1226.6024301639743
2020-02-06,1236.3972385382513
2020-02-07,1231.1281379354623
2020-02-10,1238.6589447231754
2020-02-11,1245.1938804800463
2020-02-12,1255.0167182645614
2020-02-13,1257.7435034871999
2020-02-14,1258.8209761578319
2020-02-17,1260.4732023338838
2020-02-18,1255.2191558729994
2020-02-19,1264.5244436517958
2020-02-20,1257.311412486226
2020-02-21,1242.711987328885
2020-02-24,1205.9100214280083
2020-02-25,1177.0920852616919
2020-02-26,1170.1425801624412
2020-02-27,1119.4042565711998
2020-02-28,1099.463790354642
2020-03-02,1118.2374971867923
2020-03-03,1100.7250604719982
2020-03-04,1134.0685478578541
2020-03-05,1107.6915790798212
2020-03-06,1073.504196439126
2020-03-09,988.1418876657841
2020-03-10,1021.2966659621877
2020-03-11,990.3036798875555
2020-03-12,912.3332611236419
2020-03-13,960.9203191228742
2020-03-16,868.1764830438648
2020-03-17,912.4338401941311
2020-03-18,877.1377605928045
2020-03-19,889.4984834001106
2020-03-20,876.0329946593279
2020-03-23,841.5267811706426
2020-03-24,909.2252219969296
2020-03-25,931.3728426858448
2020-03-26,957.4663292942263
2020-03-27,932.228202822812
2020-03-30,953.3086356072661
