Date,AC ASIA ex JAPAN WITH PARTIAL A SHARES
2008-11-28,1095.7341119605458
2008-12-31,1098.4017156395944
2009-01-30,1127.4429095515618
2009-02-27,1064.1551072445043
2009-03-31,1158.2527419861592
2009-04-30,1353.8254162686524
2009-05-29,1470.1001784125322
2009-06-30,1478.5456608233046
2009-07-31,1653.5938848170838
2009-08-31,1577.2922189626881
2009-09-30,1685.3549025596162
2009-10-30,1662.0325298984176
2009-11-30,1677.9961491972604
2009-12-31,1831.906312217689
2010-01-29,1776.2532748676379
2010-02-26,1819.244769635775
2010-03-31,1967.410869689705
2010-04-30,2042.6605372665078
2010-05-31,2026.9777615089379
2010-06-30,2064.459114370072
2010-07-30,2054.460530150176
2010-08-31,2081.7952706954216
2010-09-30,2156.3606836943477
2010-10-29,2175.3617772325297
2010-11-30,2288.976661085171
2010-12-31,2342.847975237948
2011-01-31,2269.8660328027267
2011-02-28,2166.7258526601727
2011-03-31,2240.2033080337933
2011-04-29,2223.6514812583323
2011-05-31,2264.4416207944378
2011-06-30,2193.917730371195
2011-07-29,2238.6539907097954
2011-08-31,2014.148946962963
2011-09-30,1877.1854652517209
2011-10-31,2021.5047809405735
2011-11-30,1920.9536346837292
2011-12-30,2003.335817908787
2012-01-31,2199.0748520867223
2012-02-29,2280.8067928598157
2012-03-30,2218.672445369518
2012-04-30,2233.989759910721
2012-05-31,2163.5081280754976
2012-06-29,2170.4453502137117
2012-07-31,2293.7908457202443
2012-08-31,2228.647012368531
2012-09-28,2336.935396234219
2012-10-31,2314.0402970240407
2012-11-30,2368.1517404006177
2012-12-31,2412.717708742527
2013-01-31,2383.6690540895147
2013-02-28,2471.767585636949
2013-03-29,2465.552459381859
2013-04-30,2443.258159800002
2013-05-31,2456.5145573121163
2013-06-28,2306.474617615159
2013-07-31,2299.0903583813233
2013-08-30,2282.4561142288644
2013-09-30,2343.3420172389747
2013-10-31,2434.4140042835625
2013-11-29,2436.496719633963
2013-12-31,2381.2880985249767
2014-01-31,2312.1049541076936
2014-02-28,2333.8106164914852
2014-03-31,2360.3689513180075
2014-04-30,2361.950957168219
2014-05-30,2496.3737645837973
2014-06-30,2546.431451018107
2014-07-31,2706.4274604828947
2014-08-29,2768.039876461256
2014-09-30,2719.284523674438
2014-10-31,2795.67938430467
2014-11-28,2821.063958571783
2014-12-31,2852.517919950462
2015-01-30,3132.3186820196333
2015-02-27,3211.3136514574767
2015-03-31,3377.3750412056197
2015-04-30,3486.7946402944417
2015-05-29,3476.0095414901093
2015-06-30,3287.3055663217187
2015-07-31,3097.608007503129
2015-08-31,2750.4657744063816
2015-09-30,2711.85526716523
2015-10-30,2960.7970516617793
2015-11-30,2993.6574776208195
2015-12-31,2894.766460442034
2016-01-29,2668.091858518424
2016-02-29,2633.203269229681
2016-03-31,2793.971279104179
2016-04-29,2756.0975926808555
2016-05-31,2800.047065730414
2016-06-30,2879.0963518806043
2016-07-29,2997.465306423258
2016-08-31,3114.1361250472487
2016-09-30,3134.9957080372324
2016-10-31,3165.844304399958
2018-03-30,3828.8562960217178
2018-04-30,3923.365315291608
2018-05-01,3954.8962896333924
2018-05-31,4011.018693685592
