Date,PAKISTAN SMALL CAP
2010-11-30,1000.0
2010-12-01,987.8485148894364
2010-12-02,1002.6618129055549
2010-12-03,1007.5260633146265
2010-12-06,1001.9172547415988
2010-12-07,1002.8213639875509
2010-12-08,1008.5759252996598
2010-12-09,995.406160026981
2010-12-10,1001.5945049955199
2010-12-13,1000.7912488187346
2010-12-14,1005.2062439324923
2010-12-15,1007.1524925442801
2010-12-16,1007.1524925442801
2010-12-17,1007.1524925442801
2010-12-20,1019.4655179115964
2010-12-21,1024.9172690384473
2010-12-22,1021.5155016220764
2010-12-23,1016.1352237744075
2010-12-24,1018.527230792926
2010-12-27,1026.624749564926
2010-12-28,1021.0636056903394
2010-12-29,1020.4274329154609
2010-12-30,1035.2119537632018
2010-12-31,1039.1708989469848
2011-01-03,1014.7221235668942
2011-01-04,1053.1645354610898
2011-01-05,1053.3839531971782
2011-01-06,1064.535675013377
2011-01-07,1066.691172809171
2011-01-10,1065.4989412320083
2011-01-11,1070.9204999254982
2011-01-12,1086.44276951109
2011-01-13,1105.200931131182
2011-01-14,1121.9439370028674
2011-01-17,1127.4275010454287
2011-01-18,1125.1858762234076
2011-01-19,1127.2020933135482
2011-01-20,1099.3275582180001
2011-01-21,1106.7814172962758
2011-01-24,1099.9688068590203
2011-01-25,1105.8654468591762
2011-01-26,1103.2404253148818
2011-01-27,1101.3513649181252
2011-01-28,1111.5862916079918
2011-01-31,1089.5765882396643
2011-02-01,1075.3260196040724
2011-02-02,1065.7948250871236
2011-02-03,1089.8022132475105
2011-02-04,1098.9089450052907
2011-02-07,1109.1017337292947
2011-02-08,1106.9775611481389
2011-02-09,1098.4820388555067
2011-02-10,1089.3572894706597
2011-02-11,1068.1452688862669
2011-02-14,1065.2232769519314
2011-02-15,1072.0400933054036
2011-02-16,1072.0400933054036
2011-02-17,1055.7559658186121
2011-02-18,1060.8833920010068
2011-02-21,1047.3569396213602
2011-02-22,1013.6172291749936
2011-02-23,997.591658631519
2011-02-24,991.592217528379
2011-02-25,966.2515875956352
2011-02-28,982.3757172222898
2011-03-01,1019.2693430052439
2011-03-02,1021.3922832812934
2011-03-03,1031.8294762157113
2011-03-04,1048.0728559277486
2011-03-07,1043.0659200720634
2011-03-08,1039.779153932938
2011-03-09,1045.5763592220758
2011-03-10,1041.5798452057677
2011-03-11,1033.7697553411958
2011-03-14,1031.6696247005946
2011-03-15,1019.823365136652
2011-03-16,1020.1101680620104
2011-03-17,1028.0011330560114
2011-03-18,1017.4292487924075
2011-03-21,1006.073150310979
2011-03-22,1026.4155546999373
2011-03-23,1026.4155546999373
2011-03-24,1032.7368782617611
2011-03-25,1034.0525803134892
2011-03-28,1030.0798135084056
2011-03-29,1039.294227738854
2011-03-30,1050.631719773333
2011-03-31,1048.6641761425099
2011-04-01,1057.1226518611777
2011-04-04,1053.5110414636772
2011-04-05,1061.556630974037
2011-04-06,1069.1643685256433
2011-04-07,1077.3290223126905
2011-04-08,1084.4800766715146
2011-04-11,1081.9260637466407
2011-04-12,1076.4895585215484
2011-04-13,1082.6376023438431
2011-04-14,1064.049321440553
2011-04-15,1070.5389695024983
2011-04-18,1073.6170196009116
2011-04-19,1058.0159660492204
2011-04-20,1076.4281491306508
2011-04-21,1087.2419573728869
2011-04-22,1088.3590948633034
2011-04-25,1074.8078542668534
2011-04-26,1075.6326016922508
2011-04-27,1085.6210747248783
2011-04-28,1083.5271801907008
2011-04-29,1076.1306320915835
2011-05-02,1071.6528671889835
2011-05-03,1063.290782339668
2011-05-04,1033.3513974110563
2011-05-05,1049.0829652103234
2011-05-06,1049.53941736909
2011-05-09,1045.940791193292
2011-05-10,1049.2423620174363
2011-05-11,1057.8440591709525
2011-05-12,1056.619933042919
2011-05-13,1051.6680614482382
2011-05-16,1035.0794684240864
2011-05-17,1036.5221234115502
2011-05-18,1031.8337876678436
2011-05-19,1027.5090087613587
2011-05-20,1031.6930246198308
2011-05-23,1043.9245860349322
2011-05-24,1055.0328858228509
2011-05-25,1059.1558923944983
2011-05-26,1066.555649208208
2011-05-27,1070.0383398535132
2011-05-30,1058.9181441742894
2011-05-31,1053.9051334074843
2011-06-01,1072.0104547716621
2011-06-02,1065.633865223291
2011-06-03,1070.9852460117843
2011-06-06,1062.8329247830561
2011-06-07,1065.030675183997
2011-06-08,1068.5120315967833
2011-06-09,1069.3566881326662
2011-06-10,1068.1758072590135
2011-06-13,1059.1183330912634
2011-06-14,1057.227325472076
2011-06-15,1052.6546181729643
2011-06-16,1052.98776731619
2011-06-17,1049.353787380735
2011-06-20,1024.8783179784111
2011-06-21,1038.353685304515
2011-06-22,1041.0324224970234
2011-06-23,1048.8758408852557
2011-06-24,1036.0743630901377
2011-06-27,1023.0914985310683
2011-06-28,1009.3086348642801
2011-06-29,1010.2944014619834
2011-06-30,1011.7994890609523
2011-07-01,1011.0706365905027
2011-07-04,1025.0713897925793
2011-07-05,1031.8063522601453
2011-07-06,1034.9580174111616
2011-07-07,1033.4224392448662
2011-07-08,1030.2857825186966
2011-07-11,1024.7602742117504
2011-07-12,1019.6322479609508
2011-07-13,1020.6241505956882
2011-07-14,1019.2236206198553
2011-07-15,1021.3055341991363
2011-07-18,1014.3021972071705
2011-07-19,1021.9980760214479
2011-07-20,1022.6496479270487
2011-07-21,1028.2922850648972
2011-07-22,1031.130734195656
2011-07-25,1021.6370101114726
2011-07-26,1018.7918624535366
2011-07-27,1005.2838094996872
2011-07-28,998.3919461595192
2011-07-29,996.5476155113506
2011-08-01,995.494741553863
2011-08-02,989.5940565031748
2011-08-03,973.0817847972638
2011-08-04,975.2294428696114
2011-08-05,936.7075143857563
2011-08-08,939.2500925811189
2011-08-09,911.6454515313021
2011-08-10,942.7725431300258
2011-08-11,957.2680374733304
2011-08-12,965.8987201051393
2011-08-15,958.903505909999
2011-08-16,961.0489802929545
2011-08-17,966.3746822110343
2011-08-18,950.8254714586025
2011-08-19,924.4874632789191
2011-08-22,929.8233582943461
2011-08-23,930.4995333635236
