Date,ROMANIA SMALL CAP
2010-11-30,1000.0
2010-12-01,1004.5917591607116
2010-12-02,1019.4982276358455
2010-12-03,1051.682588064842
2010-12-06,1018.5921746369438
2010-12-07,1025.2304254724886
2010-12-08,1031.728634293099
2010-12-09,1028.5673619927816
2010-12-10,1041.661783896193
2010-12-13,1055.3236144446184
2010-12-14,1055.6693415031086
2010-12-15,1051.0292168833157
2010-12-16,1031.538410069215
2010-12-17,1004.4161973046022
2010-12-20,1004.7420512277473
2010-12-21,996.6391404833549
2010-12-22,985.3057823942502
2010-12-23,967.8233351651542
2010-12-24,971.717549585368
2010-12-27,972.3035920448513
2010-12-28,978.8681306362479
2010-12-29,981.1788799886524
2010-12-30,1012.5749543235398
2010-12-31,1034.2457804885269
2011-01-03,1057.6162185707724
2011-01-04,1058.8674483146979
2011-01-05,1042.175139053661
2011-01-06,1068.1398486241867
2011-01-07,1091.5333696576593
2011-01-10,1097.0280059963561
2011-01-11,1125.726982322738
2011-01-12,1157.6158422157632
2011-01-13,1188.0880021441785
2011-01-14,1186.7771260997074
2011-01-17,1192.804624412426
2011-01-18,1211.320726010579
2011-01-19,1229.076228924247
2011-01-20,1205.4416859415012
2011-01-21,1224.7899202784922
2011-01-24,1234.1346660958382
2011-01-25,1231.1469953877126
2011-01-26,1215.5041150559719
2011-01-27,1218.171959914245
2011-01-28,1209.5054293223145
2011-01-31,1199.8669738418243
2011-02-01,1208.1336338360177
2011-02-02,1213.8638439160338
2011-02-03,1188.5733474047788
2011-02-04,1182.4848870505896
2011-02-07,1186.1948122827687
2011-02-08,1224.1490823833788
2011-02-09,1227.323671276694
2011-02-10,1203.5982147865207
2011-02-11,1190.9095297320785
2011-02-14,1180.42709156015
2011-02-15,1184.7630289504916
2011-02-16,1177.9842326742587
2011-02-17,1190.2158887435417
2011-02-18,1201.9047085602986
2011-02-21,1209.7446627509128
2011-02-22,1201.4829732411652
2011-02-23,1220.9948980126796
2011-02-24,1190.5312347708523
2011-02-25,1219.837038220646
2011-02-28,1257.8883635991722
2011-03-01,1248.2658665258155
2011-03-02,1250.6008959626279
2011-03-03,1284.3209187122432
2011-03-04,1290.9837701210595
2011-03-07,1299.1074530818971
2011-03-08,1286.1745953426548
2011-03-09,1327.3404708397065
2011-03-10,1311.4439412510021
2011-03-11,1289.829314254108
2011-03-14,1302.1700213098209
2011-03-15,1275.5989639367815
2011-03-16,1299.6066089693156
2011-03-17,1325.2912246615028
2011-03-18,1305.689320632656
2011-03-21,1347.6695413293548
2011-03-22,1359.1981957071423
2011-03-23,1357.7959485228785
2011-03-24,1377.0425553833618
2011-03-25,1406.7465890934761
2011-03-28,1377.6526177279798
2011-03-29,1344.6890277666166
2011-03-30,1358.1158969327655
2011-03-31,1360.751411394408
2011-04-01,1352.2344981894976
2011-04-04,1355.4846275985544
2011-04-05,1348.0508549116364
2011-04-06,1381.047654676
2011-04-07,1384.5371595971274
2011-04-08,1413.4991824697058
2011-04-11,1400.8262775080755
2011-04-12,1405.2992343084454
2011-04-13,1411.8857189715375
2011-04-14,1410.1431726392561
2011-04-15,1435.7929302684959
2011-04-18,1432.7549799335548
2011-04-19,1432.7635836366867
2011-04-20,1465.5050039037553
2011-04-21,1430.426739824585
2011-04-22,1443.72419955735
2011-04-25,1446.4573048589607
2011-04-26,1440.9579930941372
2011-04-27,1468.2607033217746
2011-04-28,1483.1463202925324
2011-04-29,1485.4403741780523
2011-05-02,1511.8741125805288
2011-05-03,1467.808945552863
2011-05-04,1485.2579662967075
2011-05-05,1438.902124308771
2011-05-06,1423.8335428603602
2011-05-09,1399.426812559404
2011-05-10,1407.6220081876713
2011-05-11,1395.9864193176534
2011-05-12,1381.8593402556494
2011-05-13,1397.4136740331498
2011-05-16,1376.342967580881
2011-05-17,1369.8737476907784
2011-05-18,1360.5082443406511
2011-05-19,1362.511445330385
2011-05-20,1357.0455147037267
2011-05-23,1283.6391055296162
2011-05-24,1284.93651849536
2011-05-25,1260.9211851073776
2011-05-26,1264.261290665544
