Date,SRI LANKA SMALL CAP
2010-11-30,1000.0
2010-12-01,1018.0757160780323
2010-12-02,1010.6816011068063
2010-12-03,1013.5243360967376
2010-12-06,1013.0416243490134
2010-12-07,1011.1174080841513
2010-12-08,1005.6391132055546
2010-12-09,1003.9534373554937
2010-12-10,1004.2670161046088
2010-12-13,1007.3005134812089
2010-12-14,997.3533988594684
2010-12-15,991.2680025489028
2010-12-16,992.9099477676208
2010-12-17,993.7122302224464
2010-12-20,993.7122302224464
2010-12-21,998.6844419671979
2010-12-22,1012.5878227516971
2010-12-23,1021.2144005094711
2010-12-24,1022.2649618518254
2010-12-27,1026.890840695108
2010-12-28,1036.3133251741867
2010-12-29,1028.51790619209
2010-12-30,1024.5706905611048
2010-12-31,1027.620360402345
2011-01-03,1029.131058867105
2011-01-04,1049.3366450559317
2011-01-05,1064.3149217329587
2011-01-06,1064.0582678944904
2011-01-07,1081.3973451839577
2011-01-10,1091.1148051850778
2011-01-11,1096.9710439755536
2011-01-12,1087.2547348353419
2011-01-13,1088.8098110010485
2011-01-14,1087.6386652906613
2011-01-17,1078.7181524384146
2011-01-18,1076.9645705286891
2011-01-19,1076.9645705286891
2011-01-20,1091.2447382897928
2011-01-21,1091.218409591335
2011-01-24,1093.57548088547
2011-01-25,1093.335544193633
2011-01-26,1104.8534577325513
2011-01-27,1099.5043518720665
2011-01-28,1099.9674983005111
2011-01-31,1097.1236278948104
2011-02-01,1093.5575618432933
2011-02-02,1085.6079590200654
2011-02-03,1095.3540068155355
2011-02-04,1096.7391532427253
2011-02-07,1098.1619198329
2011-02-08,1092.5725327217256
2011-02-09,1092.6766069048751
2011-02-10,1101.7406862580833
2011-02-11,1114.7782793369124
2011-02-14,1157.32903866465
2011-02-15,1131.4860387624483
2011-02-16,1131.4860387624483
2011-02-17,1131.4860387624483
2011-02-18,1140.469339186764
2011-02-21,1129.205618263946
2011-02-22,1113.366323436562
2011-02-23,1112.5713068369373
2011-02-24,1111.7643335445619
2011-02-25,1117.1348614594758
2011-02-28,1113.5809961207217
2011-03-01,1111.3554030197504
2011-03-02,1111.3554030197504
2011-03-03,1111.0731374891768
2011-03-04,1122.8086917797557
2011-03-07,1121.9701402182968
2011-03-08,1106.8350788822781
2011-03-09,1098.0879534695696
2011-03-10,1100.446216251507
2011-03-11,1099.5909701469975
2011-03-14,1072.935371025086
2011-03-15,1057.1568932948396
2011-03-16,1071.8410984457773
2011-03-17,1082.071163383215
2011-03-18,1078.0520655516482
2011-03-21,1073.2660774647134
2011-03-22,1087.69709881573
2011-03-23,1086.3670974705237
2011-03-24,1090.9257047444858
2011-03-25,1099.5318819518461
2011-03-28,1097.1028388049804
2011-03-29,1093.795392182795
2011-03-30,1090.0898830766407
2011-03-31,1094.0885194784714
2011-04-01,1111.466691796236
2011-04-04,1114.181631050216
2011-04-05,1115.2688751718927
2011-04-06,1110.2658323117762
