Date,SERBIA SMALL CAP
2010-11-30,1000.0
2010-12-01,1010.9828101645824
2010-12-02,1015.4870859024389
2010-12-03,1032.0769529893698
2010-12-06,1037.9199364481392
2010-12-07,1051.797799843712
2010-12-08,1064.0693386491791
2010-12-09,1066.4236229048652
2010-12-10,1070.6694727142462
2010-12-13,1091.8922621263557
2010-12-14,1090.8093199852406
2010-12-15,1110.0513466902642
2010-12-16,1112.7190922667758
2010-12-17,1116.5900397471785
2010-12-20,1100.371064960531
2010-12-21,1069.5112355621256
2010-12-22,1053.6135507989018
2010-12-23,1056.9978755945365
2010-12-24,1049.491075688068
2010-12-27,1034.5749289507241
2010-12-28,1033.4477010823193
2010-12-29,1034.8581288940513
2010-12-30,1025.9642005504413
2010-12-31,1054.0408201259004
2011-01-03,1048.4694994053757
2011-01-04,1040.481908614352
2011-01-05,1029.7433585408958
2011-01-06,1011.9536149082334
2011-01-07,1008.6068795331082
2011-01-10,1011.1280658128354
2011-01-11,1015.3733872364558
2011-01-12,1032.7453700577041
2011-01-13,1054.409618872382
2011-01-14,1083.1407229996662
2011-01-17,1092.8761113960604
2011-01-18,1128.6178112790808
2011-01-19,1157.0381801553983
2011-01-20,1151.0326829783985
2011-01-21,1166.3556960578949
2011-01-24,1196.8487385865515
2011-01-25,1240.107637104603
2011-01-26,1269.6133192875616
2011-01-27,1246.9616509871476
2011-01-28,1227.2530380632036
2011-01-31,1183.564399398113
2011-02-01,1203.1615738703722
2011-02-02,1212.6050072448738
2011-02-03,1201.1515511193331
2011-02-04,1192.3028420703308
2011-02-07,1208.5842976254912
2011-02-08,1231.679209402291
2011-02-09,1254.3818395523604
2011-02-10,1245.9216688598383
2011-02-11,1233.9642569451266
2011-02-14,1228.7351947555233
2011-02-15,1232.750144418167
2011-02-16,1216.86209054483
2011-02-17,1212.3832557062615
2011-02-18,1223.3073899438914
2011-02-21,1226.6289530556596
2011-02-22,1245.643774771869
2011-02-23,1246.7918604032523
2011-02-24,1236.0657845964245
2011-02-25,1235.2895182987902
2011-02-28,1235.1303344611933
2011-03-01,1240.4596652678165
2011-03-02,1237.5134702452451
2011-03-03,1240.2889088546651
2011-03-04,1276.2086041157343
2011-03-07,1300.3957947469985
2011-03-08,1273.2431953051462
2011-03-09,1273.9147369564312
2011-03-10,1264.9874714305083
2011-03-11,1269.4760183469612
2011-03-14,1302.2821125022222
2011-03-15,1262.0639846563304
2011-03-16,1265.6679530094302
2011-03-17,1280.2698328907536
2011-03-18,1269.0849642872176
2011-03-21,1283.927706295029
2011-03-22,1306.2159174843594
2011-03-23,1297.8884745388273
2011-03-24,1280.346415798314
2011-03-25,1274.587899365644
2011-03-28,1256.4566440888602
2011-03-29,1261.4072912999343
2011-03-30,1270.9968314268863
2011-03-31,1270.4218740997276
2011-04-01,1286.2650905865066
2011-04-04,1298.1484444580224
2011-04-05,1266.714575642883
2011-04-06,1273.6455400395637
2011-04-07,1268.0717975294306
2011-04-08,1288.8833110700143
2011-04-11,1281.9354037957212
2011-04-12,1266.0246108476497
2011-04-13,1270.1078252384211
2011-04-14,1256.0153826032072
2011-04-15,1255.2714936396085
2011-04-18,1234.300412072945
