Date,RUSSIA SMALL GROWTH
1997-11-28,374.76523417643614
1997-12-01,371.59029829676734
1997-12-02,360.51979305968905
1997-12-03,365.13309482768835
1997-12-04,388.4559311415318
1997-12-05,386.0375208482341
1997-12-08,407.6117680094864
1997-12-09,408.4501669107135
1997-12-10,384.27299476825453
1997-12-11,350.5013438957167
1997-12-12,350.5013438957167
1997-12-15,348.57835515207364
1997-12-16,342.17712535448015
1997-12-17,339.4571427566329
1997-12-18,340.08991770146633
1997-12-19,340.12368683652585
1997-12-22,332.862444650613
1997-12-23,331.8154658192316
1997-12-24,333.7487619159688
1997-12-25,333.7487619159688
1997-12-26,331.76035552486877
1997-12-29,325.61457202052145
1997-12-30,320.5598097180767
1997-12-31,320.5598097180767
1998-01-01,320.5598097180767
1998-01-02,320.6090242692802
1998-01-05,324.41145721738803
1998-01-06,338.4761396900622
1998-01-07,338.4761396900622
1998-01-08,320.6549073615844
1998-01-09,335.6057632100053
1998-01-12,301.21104694557704
1998-01-13,288.2064187140547
1998-01-14,268.85534848271107
1998-01-15,261.4973086258811
1998-01-16,261.51692768289143
1998-01-19,263.06038546846213
1998-01-20,270.9745701392381
1998-01-21,270.72130162629185
1998-01-22,252.26136774010416
1998-01-23,251.3759980994886
1998-01-26,238.46678515341364
1998-01-27,235.43140926742262
1998-01-28,239.0486787808814
1998-01-29,231.36799661492245
1998-01-30,227.69934378429312
1998-02-02,245.88207215063622
1998-02-03,248.35749575608014
1998-02-04,244.97036648838628
1998-02-05,246.02337210338015
1998-02-06,243.3218412986207
1998-02-09,234.39887633373968
1998-02-10,231.6129226913315
1998-02-11,224.45346764843742
1998-02-12,231.06291353201408
1998-02-13,251.28545233479832
1998-02-16,246.77257112768166
1998-02-17,261.0610929969357
1998-02-18,252.18339831924177
1998-02-19,261.2087366505463
1998-02-20,247.06418877001119
1998-02-23,245.10318465220502
1998-02-24,247.73616314159338
1998-02-25,248.16206943958622
1998-02-26,247.64443279211585
1998-02-27,243.8378891555633
1998-03-02,243.9479922317512
1998-03-03,239.10487477522398
1998-03-04,247.9411415300314
1998-03-05,252.24195591414494
1998-03-06,244.30937968428736
1998-03-09,244.30937968428736
1998-03-10,251.1716881555453
1998-03-11,250.02206550603492
1998-03-12,246.00213053424656
1998-03-13,250.0088475202797
1998-03-16,246.34202227602094
1998-03-17,237.92149769433348
1998-03-18,219.57967597804156
1998-03-19,222.0406325178125
1998-03-20,228.1321960767082
1998-03-23,232.6891985696027
1998-03-24,232.46249872291736
1998-03-25,232.46249872291736
1998-03-26,224.9403301445391
1998-03-27,221.9188273113758
1998-03-30,218.34889918891704
1998-03-31,217.52285363488608
1998-04-01,218.6065091253258
1998-04-02,220.07992104811962
1998-04-03,218.92327147442725
1998-04-06,215.0300406892928
1998-04-07,215.90359526081738
1998-04-08,213.54408479164542
1998-04-09,204.81845103110356
1998-04-10,203.27168072620256
1998-04-13,199.30799562831376
1998-04-14,199.28338606291604
1998-04-15,197.61046754139886
1998-04-16,203.0618550277077
1998-04-17,203.03724546231
1998-04-20,203.8140718855455
1998-04-21,202.7804701388417
1998-04-22,199.44125925952392
1998-04-23,203.02799305586748
1998-04-24,200.86343255950584
1998-04-27,200.373826923303
1998-04-28,195.28163111669647
1998-04-29,194.2771551926248
1998-04-30,196.739984239018
1998-05-01,196.739984239018
1998-05-04,196.739984239018
1998-05-05,197.5105742431139
1998-05-06,198.5273476219756
1998-05-07,191.9049508712849
1998-05-08,189.88848850093314
1998-05-11,189.88848850093314
1998-05-12,188.52416152586432
1998-05-13,186.1082392116259
1998-05-14,185.58912279070614
1998-05-15,179.12935502947647
1998-05-18,165.63386181233946
1998-05-19,164.7003793936679
1998-05-20,164.72498895906563
1998-05-21,164.77420808986108
1998-05-22,152.65847663300312
1998-05-25,152.65847663300312
1998-05-26,154.60834957989442
1998-05-27,152.4459302952274
1998-05-28,152.72824986294094
1998-05-29,153.50652367277434
1998-06-01,153.8326217016728
1998-06-02,150.5684988039934
1998-06-03,151.95066466513813
1998-06-04,170.50078907041183
1998-06-05,169.39493877615524
1998-06-08,158.48945735595845
1998-06-09,163.27352780362128
1998-06-10,160.98864177524572
1998-06-11,160.98864177524572
1998-06-12,160.98864177524572
1998-06-15,159.17314509296062
1998-06-16,161.89324750769347
1998-06-17,142.29525936418972
1998-06-18,144.65163392072657
1998-06-19,129.89718551752608
1998-06-22,127.71796097704501
1998-06-23,131.9825464469211
1998-06-24,129.26244403218828
1998-06-25,128.86309751726535
1998-06-26,128.49936965906937
1998-06-29,124.64670295753474
1998-06-30,127.13179724158522
1998-07-01,123.40223847714869
1998-07-02,121.46371084682879
1998-07-03,119.90672040306835
1998-07-06,118.8186794371752
1998-07-07,118.6352442037298
1998-07-08,114.46337296490785
1998-07-09,109.13467474517321
1998-07-10,96.74544600225454
1998-07-13,97.50321237349615
1998-07-14,101.5251016424172
1998-07-15,118.58040033217473
1998-07-16,113.6307880005652
1998-07-17,119.47145659569154
1998-07-20,120.02438174281984
1998-07-21,120.02438174281984
1998-07-22,117.26866067136007
1998-07-23,115.07776827162452
1998-07-24,114.39577853750706
1998-07-27,100.84604355483677
1998-07-28,97.67934880125372
1998-07-29,98.2233692842003
1998-07-30,98.58709714239627
1998-07-31,100.76317907418256
1998-08-03,100.76317907418256
1998-08-04,99.13111762534285
1998-08-05,99.13111762534285
1998-08-06,99.13111762534285
1998-08-07,92.8573697875114
1998-08-10,93.21481242831776
1998-08-11,93.36030357159615
1998-08-12,87.92009874213049
1998-08-13,87.92009874213049
