Date,ACWI SMALL VALUE
1994-05-31,244.38729014141424
1994-06-30,248.80515635002692
1994-07-29,250.63917384336509
1994-08-31,255.03455515184558
1994-09-30,250.43427578810787
1994-10-31,251.2782259499212
1994-11-30,238.5038936726198
1994-12-30,242.50621356568857
1995-01-31,239.49410087964358
1995-02-28,238.8983345024623
1995-03-31,245.28008915658646
1995-04-28,250.0188443172215
1995-05-31,249.38708950600017
1995-06-30,249.94213894996713
1995-07-31,260.9082292267213
1995-08-31,258.57417174273775
1995-09-29,260.54507123589275
1995-10-31,251.93866010842066
1995-11-30,256.78084612523776
1995-12-29,265.43507440497393
1996-01-31,268.7777626980157
1996-02-29,273.63190622905944
1996-03-29,277.77390303135246
1996-04-30,289.7070304632427
1996-05-31,292.1799329640094
1996-06-28,291.0859522485867
1996-07-31,278.84165108814983
1996-08-30,283.0828940933448
1996-09-30,285.6089252100625
1996-10-31,283.75718514491206
1996-11-29,290.33932389412615
1996-12-31,290.28361894291174
1997-01-01,290.28304375307357
1997-01-02,288.94961878975727
1997-01-03,289.51386403501766
1997-01-06,290.02091254667056
1997-01-07,290.900961592144
1997-01-08,290.4199271602451
1997-01-09,289.98793299961596
1997-01-10,288.8490971242746
1997-01-13,289.9153787888005
1997-01-14,291.00635397502145
1997-01-15,291.7771572457697
1997-01-16,292.7052343458004
1997-01-17,292.73634931716657
1997-01-20,292.30649617667126
1997-01-21,291.826067078188
1997-01-22,291.6104320409937
1997-01-23,290.9266247502243
1997-01-24,290.50529850565164
1997-01-27,289.10452790808984
1997-01-28,287.98621031673366
1997-01-29,287.97245591480134
1997-01-30,288.88936335078506
1997-01-31,290.2530422267003
1997-02-03,290.757865617818
1997-02-04,290.9739488406066
1997-02-05,289.8414882747453
1997-02-06,289.90669319366896
1997-02-07,289.2232590710513
1997-02-10,290.7256101730871
1997-02-11,290.3425070424501
1997-02-12,290.1394074094421
1997-02-13,290.54743074620444
1997-02-14,290.9768600336798
1997-02-17,290.7405471373444
1997-02-18,291.28076661860496
1997-02-19,291.63864340244993
1997-02-20,292.26996817524304
1997-02-21,292.96565535913356
1997-02-24,294.4986608140926
1997-02-25,294.98502027030116
1997-02-26,293.7485093614133
1997-02-27,293.2667464617568
1997-02-28,292.81782222496514
1997-03-03,292.4899907242569
1997-03-04,292.2694663812114
1997-03-05,292.77563722996047
1997-03-06,292.8701622984468
1997-03-07,293.35627259641086
1997-03-10,294.84139777922496
1997-03-11,295.2266760763532
1997-03-12,293.4971765744201
1997-03-13,291.5890571846224
1997-03-14,290.89071954679525
1997-03-17,290.39541409598814
1997-03-18,290.4028619427209
1997-03-19,289.48164622711766
1997-03-20,288.1244935914229
1997-03-21,288.6910404949727
1997-03-24,287.75629471808776
1997-03-25,288.1888293947096
1997-03-26,288.9730237151629
1997-03-27,288.44714816349926
1997-03-28,288.4705442174211
1997-03-31,286.6442884052857
1997-04-01,284.6700156768987
1997-04-02,284.1710621510081
1997-04-03,282.9596994406841
1997-04-04,283.01325535011586
1997-04-07,282.29382941440736
1997-04-08,281.90098486499926
1997-04-09,281.70343018608816
1997-04-10,281.09589867923364
1997-04-11,278.8824236481683
1997-04-14,277.9928530953845
1997-04-15,279.01411795340886
1997-04-16,279.9204920288951
1997-04-17,280.7719597261891
1997-04-18,282.4886729928825
1997-04-21,283.2167096267568
1997-04-22,283.07616185090495
1997-04-23,283.38273385916506
1997-04-24,283.33556499421735
1997-04-25,282.29071441757236
1997-04-28,282.0993870700112
1997-04-29,283.70655263056994
1997-04-30,284.69679635550614
1997-05-01,286.6065515407233
1997-05-02,288.9532509206132
1997-05-05,291.0672823570464
1997-05-06,293.086086915226
1997-05-07,293.24125344159273
1997-05-08,293.5063746794959
1997-05-09,295.24772729218915
1997-05-12,297.5369342507456
