Date,AC FAR EAST SMALL VALUE
1994-05-31,666.9437315924872
1994-06-30,716.7057200317241
1994-07-29,701.9559842335469
1994-08-31,697.085890378057
1994-09-30,677.2340013950188
1994-10-31,684.4539986410863
1994-11-30,632.2320009187736
1994-12-30,643.9334704293392
1995-01-31,626.0449515756858
1995-02-28,590.1290383672639
1995-03-31,619.1490205028977
1995-04-28,627.2472799655877
1995-05-31,588.4952799057963
1995-06-30,564.387491431633
1995-07-31,596.4218256542187
1995-08-31,581.3914529514083
1995-09-29,572.8271471149462
1995-10-31,549.8775509722595
1995-11-30,570.7661742144683
1995-12-29,602.1275602721062
1996-01-31,617.8466266382101
1996-02-29,612.9018535180238
1996-03-29,621.7050012240217
1996-04-30,681.4904663999043
1996-05-31,662.5063920013516
1996-06-28,663.6132460441603
1996-07-31,635.6346815904021
1996-08-30,614.0099717314462
1996-09-30,609.8023884049669
1996-10-31,577.5403311666935
1996-11-29,568.4829648865649
1996-12-31,523.8470707531941
1997-01-01,523.8722661458605
1997-01-02,524.8383201138691
1997-01-03,523.1690707050836
1997-01-06,525.3446925621428
1997-01-07,525.4826729160613
1997-01-08,518.8593822507912
1997-01-09,510.2702520671102
1997-01-10,502.78636560042366
1997-01-13,505.3060339293004
1997-01-14,504.76099198434076
1997-01-15,505.03074281872534
1997-01-16,510.9222729841902
1997-01-17,509.38468492928433
1997-01-20,505.26538964887817
1997-01-21,502.1041877080665
1997-01-22,501.8358571867552
1997-01-23,497.53054685661573
1997-01-24,496.68843510004035
1997-01-27,491.2982332108555
1997-01-28,486.31220217420366
1997-01-29,483.7601534440673
1997-01-30,482.3737298887509
1997-01-31,487.16674746281984
1997-02-03,486.8783859721258
1997-02-04,489.11308761841684
1997-02-05,482.70332814528444
1997-02-06,480.511573510439
1997-02-07,474.7369653396236
1997-02-10,480.3197384897267
1997-02-11,480.0725699655698
1997-02-12,477.6217441157314
1997-02-13,475.0932316321192
1997-02-14,474.8169341879369
1997-02-17,475.59898783068013
1997-02-18,474.88004373022903
1997-02-19,474.12966619423275
1997-02-20,481.6531398247642
1997-02-21,483.74775560250106
1997-02-24,488.10186657678287
1997-02-25,488.57681908825907
1997-02-26,487.2198842194603
1997-02-27,489.0411205947831
1997-02-28,488.36756143882116
1997-03-03,485.89169659473777
1997-03-04,482.81706803307696
1997-03-05,481.7422336078065
1997-03-06,478.80111938948164
1997-03-07,477.4865702513006
1997-03-10,477.0191068901653
1997-03-11,476.38685940871994
1997-03-12,472.1855934274206
1997-03-13,469.07498930391023
1997-03-14,463.6485887471383
1997-03-17,465.0901683789839
1997-03-18,469.3844882633511
1997-03-19,467.46990270879445
1997-03-20,464.6452859951022
1997-03-21,467.8225603496294
1997-03-24,465.122210045959
1997-03-25,463.980535282005
1997-03-26,464.9202676941857
1997-03-27,463.78066180513343
1997-03-28,462.96936623717403
1997-03-31,462.76978127681144
1997-04-01,459.89924379433984
1997-04-02,461.6121242156616
1997-04-03,459.4350283562017
1997-04-04,453.21280979272257
1997-04-07,445.02495841791944
1997-04-08,440.6385111568703
1997-04-09,435.3973447755479
1997-04-10,431.18299323335054
1997-04-11,429.7120975391435
1997-04-14,427.3842494852608
1997-04-15,427.97817140129007
1997-04-16,432.020903071735
1997-04-17,435.424473677087
1997-04-18,442.29252253593216
1997-04-21,451.24033529553196
1997-04-22,452.5643698390962
1997-04-23,454.97100582477276
1997-04-24,454.54967064938046
1997-04-25,454.75294915007333
1997-04-28,452.14126887355417
1997-04-29,451.35146530116543
1997-04-30,455.1321612723637
1997-05-01,460.16040833775173
