Date,GOLDEN DRAGON SMALL VALUE
2007-05-31,1000.0
2007-06-01,1005.1377348230417
2007-06-04,1003.328558456646
2007-06-05,1004.7448594609871
2007-06-06,1007.4044452819187
2007-06-07,1011.6919407377621
2007-06-08,1007.9601280993044
2007-06-11,1014.3906394235796
2007-06-12,1017.8287831669577
2007-06-13,1020.0221135607406
2007-06-14,1023.5758632470026
2007-06-15,1027.1583303410262
2007-06-18,1029.0128564420957
2007-06-19,1030.4826727110822
2007-06-20,1039.2969112091898
2007-06-21,1046.6060848381233
2007-06-22,1054.7307066002172
2007-06-25,1058.9205649091994
2007-06-26,1054.0640409270552
2007-06-27,1050.058178251988
2007-06-28,1052.7943956075917
2007-06-29,1052.5799256944415
2007-07-02,1059.542763576501
2007-07-03,1075.6021578345687
2007-07-04,1078.823330265784
2007-07-05,1087.5646885019628
2007-07-06,1098.7167695476933
2007-07-09,1122.6005809119515
2007-07-10,1128.4497821459672
2007-07-11,1125.4371782331393
2007-07-12,1137.091129129993
2007-07-13,1141.9043965080054
2007-07-16,1145.1960702248855
2007-07-17,1163.0373675560509
2007-07-18,1164.0219900687705
2007-07-19,1163.591565431575
2007-07-20,1176.9704214389524
2007-07-23,1189.4331032099633
2007-07-24,1198.805423784098
2007-07-25,1209.6546678890845
2007-07-26,1193.5094402248617
2007-07-27,1159.988094309629
2007-07-30,1161.5831687562784
2007-07-31,1184.2190299237216
2007-08-01,1142.1117626739438
2007-08-02,1126.8036063219088
2007-08-03,1136.1637988341645
2007-08-06,1112.8806546910384
2007-08-07,1101.2404536366362
2007-08-08,1124.4153748041076
2007-08-09,1136.3087049987948
2007-08-10,1104.5751225640538
2007-08-13,1101.0666277615578
2007-08-14,1102.70856379813
2007-08-15,1062.5783963023416
2007-08-16,1005.805495028454
2007-08-17,975.0020803900808
2007-08-20,1031.6041591320868
2007-08-21,1033.0305317305003
2007-08-22,1047.1626766292436
2007-08-23,1079.4043191471603
2007-08-24,1081.1603230723879
2007-08-27,1102.7166562586553
2007-08-28,1089.2036117269458
2007-08-29,1073.3340240765915
2007-08-30,1093.2664170331743
2007-08-31,1114.8938060753221
2007-09-03,1125.3122206198443
2007-09-04,1120.1400353703757
2007-09-05,1114.744678238624
2007-09-06,1121.426043114154
2007-09-07,1128.0939910592292
2007-09-10,1130.934764756104
2007-09-11,1129.3760080529091
2007-09-12,1134.5795196147374
2007-09-13,1132.6713461878321
2007-09-14,1142.2388565567596
2007-09-17,1135.8725018581788
2007-09-18,1134.9382364844143
2007-09-19,1142.306544474484
2007-09-20,1144.6337591703034
2007-09-21,1161.7008385370993
2007-09-24,1167.2042885919566
2007-09-25,1163.61988901331
2007-09-26,1177.823082562946
2007-09-27,1194.0070254117766
2007-09-28,1204.2426368542372
2007-10-01,1214.6846181042458
2007-10-02,1234.6995861100786
2007-10-03,1222.5784316994693
2007-10-04,1210.483027642916
2007-10-05,1227.0007689182323
2007-10-08,1223.6847880292387
2007-10-09,1222.9545486007582
2007-10-10,1229.8970183351057
2007-10-11,1239.7103015872462
2007-10-12,1227.2877218673532
2007-10-15,1225.16773521641
2007-10-16,1221.9509718887607
2007-10-17,1225.5296292617513
2007-10-18,1229.126018193811
2007-10-19,1228.4485556943612
2007-10-22,1194.2009773371008
2007-10-23,1211.9929029829532
2007-10-24,1210.7731941609554
2007-10-25,1219.94016036946
2007-10-26,1230.6918215847336
2007-10-29,1253.1379201592154
2007-10-30,1246.804585777569
2007-10-31,1244.4342321810082
2007-11-01,1242.2103950533767
2007-11-02,1216.957907738955
2007-11-05,1200.3275139978957
2007-11-06,1205.0016349552736
2007-11-07,1216.8913016432905
2007-11-08,1175.8517256358145
2007-11-09,1171.1763391170743
2007-11-12,1118.096121268251
2007-11-13,1116.8423082143972
2007-11-14,1154.4466376457494
