Date,KUKJE (ACWI ex KOREA) SMALL VALUE
2002-05-31,1000.0
2002-06-03,989.6425689938225
2002-06-04,985.7118889619915
2002-06-05,985.086973839201
2002-06-06,976.7920370985585
2002-06-07,977.7706342744626
2002-06-10,977.1699155580865
2002-06-11,970.2473795952553
2002-06-12,968.2788638790375
2002-06-13,959.2630564567959
2002-06-14,954.6830028669503
2002-06-17,964.877613838526
2002-06-18,966.4480865859018
2002-06-19,956.0612504088958
2002-06-20,953.5462858883797
2002-06-21,955.5517986021387
2002-06-24,953.1628982129412
2002-06-25,946.552099642057
2002-06-26,942.8398094186456
2002-06-27,949.4871991368506
2002-06-28,961.2447041771563
2002-07-01,953.5522004359057
2002-07-02,936.4005237652351
2002-07-03,928.0942076959523
2002-07-04,928.134470951244
2002-07-05,943.7423318385046
2002-07-08,941.5350816095726
2002-07-09,937.3289406622899
2002-07-10,921.3360529607183
2002-07-11,910.9325755677207
2002-07-12,906.1329920003127
2002-07-15,898.7933010464155
2002-07-16,891.6173534109752
2002-07-17,892.1989385416016
2002-07-18,883.97115878282
2002-07-19,869.1295957201055
2002-07-22,849.2916088308007
2002-07-23,824.1484386607275
2002-07-24,834.3384761401499
2002-07-25,842.1927750852132
2002-07-26,841.0767887706049
2002-07-29,867.1997217629179
2002-07-30,873.7041470180517
2002-07-31,870.0582128108882
2002-08-01,862.0700605376568
2002-08-02,847.7455089217818
2002-08-05,832.0801054064634
2002-08-06,836.5454281392678
2002-08-07,846.2283223942748
2002-08-08,855.0605981813951
2002-08-09,859.8272443759924
2002-08-12,859.1915580502931
2002-08-13,848.7328593063384
2002-08-14,864.5939914480876
2002-08-15,867.6819465764332
2002-08-16,872.5095150420633
2002-08-19,876.8196807582196
2002-08-20,873.483661513535
2002-08-21,884.7487271883208
2002-08-22,890.2670893092129
2002-08-23,880.6183127367278
2002-08-26,890.0726422736517
2002-08-27,886.4050058675639
2002-08-28,875.8454004962697
2002-08-29,875.2343163838348
2002-08-30,874.0887471475053
2002-09-02,873.0299671171307
2002-09-03,858.5880472482553
2002-09-04,863.4304495003446
2002-09-05,853.6615247685899
