Date,AC PACIFIC ex JAPAN SMALL VALUE
1997-05-30,390.5403500621535
1997-06-02,393.4685359092307
1997-06-03,393.2750302778995
1997-06-04,393.64582415010926
1997-06-05,395.4723848383634
1997-06-06,396.2866144724121
1997-06-09,397.0824410785248
1997-06-10,397.6678151783339
1997-06-11,394.81306063718085
1997-06-12,389.5631469354698
1997-06-13,391.18957606241776
1997-06-16,393.3888847952571
1997-06-17,393.42486408749966
1997-06-18,391.77483565686356
1997-06-19,391.9857945845967
1997-06-20,394.6609902336903
1997-06-23,394.5835932332253
1997-06-24,393.66566020118955
1997-06-25,394.914432221337
1997-06-26,393.5075553530021
1997-06-27,393.6404976752867
1997-06-30,396.7928768313579
1997-07-01,397.56543998744723
1997-07-02,398.4936595546708
1997-07-03,400.1529370681937
1997-07-04,398.6949238246827
1997-07-07,397.3396366125079
1997-07-08,395.32618803177564
1997-07-09,393.2132873695165
1997-07-10,394.9543133298034
1997-07-11,396.5142217938246
1997-07-14,395.8776063817228
1997-07-15,393.15230128148767
1997-07-16,389.8691130681441
1997-07-17,390.6951071983332
1997-07-18,391.3131730980029
1997-07-21,391.4982028528811
1997-07-22,389.69572910079444
1997-07-23,389.16238203604127
1997-07-24,390.42718701035596
1997-07-25,391.4619157792528
1997-07-28,393.88973000244096
1997-07-29,394.9517147576956
1997-07-30,396.7190589262901
1997-07-31,398.0307259063654
1997-08-01,398.31888774045797
1997-08-04,398.1791782728075
1997-08-05,398.82001970107035
1997-08-06,399.88037545261074
1997-08-07,400.0216353235815
1997-08-08,399.59676074322596
1997-08-11,398.087779610734
1997-08-12,396.5182828559715
1997-08-13,394.64526422956806
1997-08-14,394.34557976482364
1997-08-15,395.0403755723201
1997-08-18,389.7191693909408
1997-08-19,385.17427766629254
1997-08-20,391.23451380999444
1997-08-21,393.5185399328527
1997-08-22,393.0558841713922
1997-08-25,395.9369293558026
1997-08-26,396.19929415126114
1997-08-27,394.0165812626431
1997-08-28,387.8027717436894
1997-08-29,382.46284219504764
1997-09-01,372.57583573591313
1997-09-02,363.45222304281975
1997-09-03,372.17406970691195
1997-09-04,368.27490847887697
1997-09-05,372.0337042632782
1997-09-08,376.61750996283405
1997-09-09,380.5779925138286
1997-09-10,379.0702848308989
1997-09-11,375.9773964476054
1997-09-12,377.4924962319126
1997-09-15,377.82103008910155
1997-09-16,376.0579101246863
1997-09-17,376.7945700976936
1997-09-18,374.19077760106967
1997-09-19,373.9736482776285
1997-09-22,369.89876584191603
1997-09-23,368.91187523226967
1997-09-24,368.03452401795926
1997-09-25,371.9176753580447
1997-09-26,370.01498781589214
1997-09-29,367.8145649327065
1997-09-30,370.81642064320187
1997-10-01,368.5161193915497
1997-10-02,366.22710206139806
1997-10-03,364.2318301523672
1997-10-06,360.05106765573873
1997-10-07,357.7192703096799
1997-10-08,357.4606912459126
1997-10-09,355.29533698451615
1997-10-10,356.1430039568177
1997-10-13,352.1071088742033
1997-10-14,349.55857637528226
1997-10-15,341.8026878477871
1997-10-16,339.08947914146086
1997-10-17,338.3739076483051
1997-10-20,327.5959398599419
1997-10-21,323.80211217079466
1997-10-22,317.3118243678208
1997-10-23,304.97192739512946
1997-10-24,302.5554794884001
1997-10-27,292.4190410940123
1997-10-28,270.18183948710436
1997-10-29,282.359457195908
1997-10-30,280.2463048329233
1997-10-31,285.4923798833035
1997-11-03,297.9657667726299
1997-11-04,300.00265569842907
1997-11-05,298.89301202222555
1997-11-06,297.4298440634274
1997-11-07,291.2004320111844
1997-11-10,288.779036598184
1997-11-11,288.33375918646453
1997-11-12,284.6457161804444
1997-11-13,284.0701535016903
1997-11-14,285.180721431845
1997-11-17,285.9184849182083
1997-11-18,283.3838851484079
1997-11-19,278.48643980042374
1997-11-20,273.84825637493145
1997-11-21,278.6941971751474
1997-11-24,274.68264339830625
1997-11-25,268.82852310193454
1997-11-26,268.37600163666934
1997-11-27,266.72285041053203
1997-11-28,266.08940294890266
1997-12-01,262.44223998531237
1997-12-02,262.7774067060431
1997-12-03,264.41291947045045
1997-12-04,268.4473844066353
1997-12-05,270.2534648696906
1997-12-08,270.76467564883075
1997-12-09,266.62677535919954
1997-12-10,264.61326893392703
1997-12-11,257.03993381521224
1997-12-12,253.98007700128755
1997-12-15,250.59437318696976
1997-12-16,248.66217066501346
1997-12-17,251.45621499826422
1997-12-18,253.28817877049727
1997-12-19,248.108326179008
1997-12-22,243.41221832658826
1997-12-23,242.80237763010473
1997-12-24,242.5899241339461
1997-12-25,242.58711092591372
1997-12-26,245.49520607330248
1997-12-29,245.30628176026121
1997-12-30,245.77876073746972
1997-12-31,246.57148652703748
1998-01-01,246.46321610940635
1998-01-02,245.11494715811656
1998-01-05,240.870693784587
1998-01-06,235.61837529945572
1998-01-07,230.35744864675831
1998-01-08,224.24302956252748
1998-01-09,220.9281699690452
1998-01-12,209.4911815504631
1998-01-13,212.74643726164257
1998-01-14,220.38084415748378
1998-01-15,217.58561885971383
1998-01-16,220.39130868962417
1998-01-19,225.96706093441827
1998-01-20,223.2864304356228
1998-01-21,221.72040940184507
1998-01-22,217.64786934524855
1998-01-23,216.86377132548893
1998-01-26,219.57147539961656
1998-01-27,221.91628598818852
1998-01-28,223.42200029849718
1998-01-29,223.8457915059906
1998-01-30,228.9230294918247
1998-02-02,238.72264250442348
1998-02-03,242.77037047040972
1998-02-04,242.40217493873877
1998-02-05,247.0064064217765
1998-02-06,250.51103744382047
1998-02-09,254.9328228218146
