Date,ZHONG HUA SMALL VALUE
2007-05-31,1000.0
2007-06-01,1002.0599555617342
2007-06-04,994.3638828659398
2007-06-05,999.3029944054252
2007-06-06,1001.6945384740709
2007-06-07,1004.4060038045332
2007-06-08,996.4479526604466
2007-06-11,1005.7173113499814
2007-06-12,1008.357925568771
2007-06-13,1012.1435098303059
2007-06-14,1017.2589679193045
2007-06-15,1020.2458732676821
2007-06-18,1024.534125016524
2007-06-19,1026.4748034730756
2007-06-20,1031.1443767505234
2007-06-21,1038.144481132358
2007-06-22,1035.2107857965875
2007-06-25,1024.835861571087
2007-06-26,1025.3716112794423
2007-06-27,1015.9129814392511
2007-06-28,1014.7151510097287
2007-06-29,1013.2580369669244
2007-07-02,1012.5067645194646
2007-07-03,1033.7588889561925
2007-07-04,1032.345935770327
2007-07-05,1035.4869559292465
2007-07-06,1046.8876452368575
2007-07-09,1073.7120438129134
2007-07-10,1074.8894003780836
2007-07-11,1066.0009001950775
2007-07-12,1075.0936080957288
2007-07-13,1084.1209010109862
2007-07-16,1080.511345577519
2007-07-17,1094.67310538193
2007-07-18,1082.224225377203
2007-07-19,1088.1346900365995
2007-07-20,1104.6581969132474
2007-07-23,1116.2326931280368
2007-07-24,1127.6730268946892
2007-07-25,1135.9975743213868
2007-07-26,1131.7012228633819
2007-07-27,1099.38975126514
2007-07-30,1106.4548777915709
2007-07-31,1127.5663669134133
2007-08-01,1081.7824308218273
2007-08-02,1068.891496613433
2007-08-03,1072.029334106111
2007-08-06,1038.3882370804806
2007-08-07,1023.4127826396474
2007-08-08,1046.222752749802
2007-08-09,1059.983507676498
2007-08-10,1026.2303557457449
2007-08-13,1022.9676605728954
2007-08-14,1026.0778043660146
2007-08-15,996.1393294193265
2007-08-16,944.7269930922278
2007-08-17,910.0681483245863
2007-08-20,963.6948577589852
2007-08-21,973.2038524313389
2007-08-22,992.2873531530992
2007-08-23,1025.754348432027
2007-08-24,1030.8464056809833
2007-08-27,1071.513548776594
2007-08-28,1048.3738106215922
2007-08-29,1028.6856014417067
2007-08-30,1051.3129700108022
2007-08-31,1070.6217419322884
2007-09-03,1083.581675595953
2007-09-04,1085.2308449087125
2007-09-05,1083.3800434864158
2007-09-06,1085.769797316114
2007-09-07,1096.1877756185
2007-09-10,1103.9722291263956
2007-09-11,1092.6847394206725
2007-09-12,1102.325431208467
2007-09-13,1108.2956484522438
2007-09-14,1120.8323991937943
2007-09-17,1117.2855792724972
2007-09-18,1115.5304814786123
2007-09-19,1138.328033122689
2007-09-20,1146.0973157477556
2007-09-21,1155.0834067855908
2007-09-24,1164.378519251067
2007-09-25,1158.6247064703
2007-09-26,1159.2803292831231
2007-09-27,1171.4572758370607
2007-09-28,1181.7509716149543
2007-10-01,1181.5991529306527
2007-10-02,1216.6801178213389
2007-10-03,1192.5542046218634
2007-10-04,1178.6971792245258
2007-10-05,1207.320543955145
2007-10-08,1203.3992100271794
2007-10-09,1214.0059643805826
2007-10-10,1227.3068617127649
2007-10-11,1237.7738666097023
2007-10-12,1229.078864750529
2007-10-15,1232.4837786639666
2007-10-16,1220.9858891625906
2007-10-17,1228.3246200349106
2007-10-18,1230.5024781405994
2007-10-19,1231.921685341351
2007-10-22,1199.9031021756775
2007-10-23,1218.7242876873777
2007-10-24,1223.6450958341204
2007-10-25,1229.317086411563
2007-10-26,1241.7757125945923
2007-10-29,1265.3480084719617
2007-10-30,1260.537922965571
2007-10-31,1260.8491750839503
2007-11-01,1268.8559994416032
2007-11-02,1248.5778193675312
2007-11-05,1213.4353793235073
2007-11-06,1221.910586698679
2007-11-07,1244.0067742023393
2007-11-08,1214.9542040720416
2007-11-09,1207.1094460424301
2007-11-12,1148.1467648035225
2007-11-13,1132.2260925636015
2007-11-14,1175.4199950981372
2007-11-15,1160.5714551728079
2007-11-16,1132.6615745378692
2007-11-19,1123.8641486965237
2007-11-20,1113.4871053553393
2007-11-21,1089.1014794377286
2007-11-22,1053.8899986787158
2007-11-23,1048.7629911630195
2007-11-26,1067.2461441911796
2007-11-27,1051.2925822190175
2007-11-28,1060.8591081155748
2007-11-29,1092.3689332467368
2007-11-30,1109.0895468548858
2007-12-03,1112.9133133854452
2007-12-04,1113.9166953720835
2007-12-05,1121.0390641426022
2007-12-06,1127.0408485966777
2007-12-07,1124.1109232528931
2007-12-10,1117.1132662804623
2007-12-11,1121.1091019272983
2007-12-12,1106.3582251148468
2007-12-13,1095.9980216152196
2007-12-14,1087.3133421618804
2007-12-17,1054.3583634291758
2007-12-18,1049.1494444114587
2007-12-19,1057.8083143030958
2007-12-20,1063.8079418537711
2007-12-21,1075.4763469331122
2007-12-24,1090.6566581564211
2007-12-25,1090.8162304854002
2007-12-26,1091.3974558763728
2007-12-27,1094.2473841548215
2007-12-28,1089.1365658965335
2007-12-31,1107.3629135410472
2008-01-01,1107.3629135410472
2008-01-02,1106.548304388903
