Date,ACWI ex AUSTRALIA SMALL VALUE
2007-05-31,1000.0
2007-06-01,1005.1757419689593
2007-06-04,1008.1462921867791
2007-06-05,1003.2695258514573
2007-06-06,992.9225018137317
2007-06-07,977.8404358733592
2007-06-08,978.119007845416
2007-06-11,980.192859621634
2007-06-12,972.0690643605782
2007-06-13,976.5127429494466
2007-06-14,983.6644800362129
2007-06-15,993.1232673870204
2007-06-18,993.7320940930117
2007-06-19,994.2754838974691
2007-06-20,988.2746534818338
2007-06-21,986.8800855377236
2007-06-22,982.4167864751629
2007-06-25,977.0350819184791
2007-06-26,974.5296306019659
2007-06-27,976.9982298124778
2007-06-28,983.4429458571437
2007-06-29,983.9531561424984
2007-07-02,994.9086422965486
2007-07-03,999.4697740292604
2007-07-04,1001.787285972535
2007-07-05,1001.728344144363
2007-07-06,1004.5064702849534
2007-07-09,1007.3185419922248
2007-07-10,999.4347689024039
2007-07-11,1000.0404847594907
2007-07-12,1010.8971305016202
2007-07-13,1015.2971703846347
2007-07-16,1012.0054901956398
2007-07-17,1011.5855765226827
2007-07-18,1007.301460590211
2007-07-19,1013.4233703460591
2007-07-20,1006.1767540311828
2007-07-23,1004.5298179110141
2007-07-24,988.5497040274756
2007-07-25,983.5585847747395
2007-07-26,961.9420173482562
2007-07-27,945.9320703891659
2007-07-30,951.787249055627
2007-07-31,953.2231767969105
2007-08-01,945.262004037382
2007-08-02,948.4617973756299
2007-08-03,932.4645145693153
2007-08-06,934.126111792868
2007-08-07,936.1314070183892
2007-08-08,949.714356486517
2007-08-09,933.8557210494939
2007-08-10,926.1527851196572
2007-08-13,927.455954530375
2007-08-14,912.3585163969498
2007-08-15,896.6564136809286
2007-08-16,888.7917731769484
2007-08-17,898.4949305331667
2007-08-20,906.0628961090343
2007-08-21,909.0234622741182
2007-08-22,921.8254335397553
2007-08-23,923.9013659804643
2007-08-24,931.4349096961175
2007-08-27,928.7494645686108
2007-08-28,912.7450932615016
2007-08-29,923.3401401539343
2007-08-30,924.8524257386232
2007-08-31,938.36537026176
2007-09-03,940.1081300322077
2007-09-04,944.959813800089
2007-09-05,934.401696796101
2007-09-06,936.2941618927501
2007-09-07,926.305398708942
2007-09-10,917.996707369308
2007-09-11,927.8708458192527
2007-09-12,926.9310626091559
2007-09-13,927.4375734816563
2007-09-14,927.368195076868
2007-09-17,918.556251110302
2007-09-18,934.1991613940305
2007-09-19,950.5855014807258
2007-09-20,947.5570675814322
2007-09-21,949.2475462742898
2007-09-24,945.8317861098667
2007-09-25,940.7573489912331
2007-09-26,947.0838162691803
2007-09-27,956.4409575440268
2007-09-28,955.1244009196
2007-10-01,966.102929213494
2007-10-02,972.8709780637781
2007-10-03,971.3114316467439
2007-10-04,971.6637675245435
2007-10-05,982.9478613818497
2007-10-08,977.8318204160535
2007-10-09,982.8014181322587
2007-10-10,983.6959134292355
2007-10-11,984.7638533859156
2007-10-12,982.2158180291888
2007-10-15,976.0661647552154
2007-10-16,965.8169829063586
2007-10-17,967.2650415044463
2007-10-18,967.6115041718342
2007-10-19,951.2093214556905
2007-10-22,946.6974600491556
2007-10-23,957.8256604262692
2007-10-24,952.6633015478359
2007-10-25,956.6883944794763
2007-10-26,968.451074395033
2007-10-29,971.9322872233414
2007-10-30,969.3963219906251
2007-10-31,982.515385258638
2007-11-01,962.3263071061336
2007-11-02,957.0449830496588
2007-11-05,947.6984968470576
2007-11-06,957.6395266101958
2007-11-07,941.5108537474815
2007-11-08,940.3328680616544
2007-11-09,933.093265155568
2007-11-12,920.321229848473
2007-11-13,931.3073951970536
2007-11-14,933.8018536956095
2007-11-15,922.400080491323
2007-11-16,914.633527064292
2007-11-19,896.3519283241959
2007-11-20,897.254530099971
2007-11-21,882.1978474954324
2007-11-22,882.4848886646163
2007-11-23,893.2949325918448
2007-11-26,883.8873476960695
2007-11-27,887.6031409331042
2007-11-28,905.0437725245711
2007-11-29,908.1401552889237
2007-11-30,914.3428841445274
2007-12-03,910.7007986570178
2007-12-04,902.4218020594
2007-12-05,911.2838798276466
2007-12-06,923.5462578613219
2007-12-07,927.2105857313478
2007-12-10,932.5341403604708
2007-12-11,917.8065591200317
2007-12-12,917.6001988555417
2007-12-13,907.0228391130373
2007-12-14,893.5579247033186
2007-12-17,874.789089816006
2007-12-18,880.6691463106322
2007-12-19,879.3195786983289
2007-12-20,881.7514284010656
2007-12-21,893.6145632889371
2007-12-24,901.1075665425165
2007-12-25,901.9993478811157
2007-12-26,904.2736761975088
2007-12-27,896.6225529746577
2007-12-28,898.7473960433477
2007-12-31,898.2113688575026
2008-01-01,898.52499581848
2008-01-02,893.736653718347
2008-01-03,885.088993826036
2008-01-04,865.4162544540425
2008-01-07,860.873853995483
2008-01-08,849.9583976818718
2008-01-09,847.4794310841713
2008-01-10,846.729493609425
2008-01-11,837.8320038652067
2008-01-14,844.7425523634791
2008-01-15,827.8285767990294
2008-01-16,819.2257757370916
2008-01-17,810.8847845227629
2008-01-18,804.6285583526039
2008-01-21,785.9637197456642
2008-01-22,784.247825261463
2008-01-23,799.6344005155493
2008-01-24,811.1525190541826
2008-01-25,815.5245256761143
2008-01-28,820.582136610875
2008-01-29,832.064840789208
2008-01-30,826.0008155109625
2008-01-31,840.6938269345288
2008-02-01,856.3253240901814
2008-02-04,856.9892167516996
2008-02-05,836.1444141986964
2008-02-06,828.1158502840588
2008-02-07,827.9684349860302
2008-02-08,824.7039277521573
2008-02-11,822.0207435311489
2008-02-12,831.2310225937819
2008-02-13,836.9165634849032
2008-02-14,836.0247377019685
2008-02-15,834.0738600114009
2008-02-18,835.8324678654658
2008-02-19,839.6397787401331
2008-02-20,838.2130693962808
2008-02-21,837.7223342882515
2008-02-22,838.4502274072983
2008-02-25,852.4583068686514
2008-02-26,858.54589224714
2008-02-27,863.4001248498749
2008-02-28,855.076880315674
2008-02-29,840.3613497634661
2008-03-03,832.570544462121
2008-03-04,829.0063547451531
2008-03-05,831.3355103981359
2008-03-06,821.2025992729451
2008-03-07,813.5453569259727
2008-03-10,800.1742556174381
2008-03-11,818.5880230724345
2008-03-12,821.5241095732185
2008-03-13,823.1023388284154
2008-03-14,811.2508532335404
2008-03-17,795.5204414044605
2008-03-18,816.5536000917452
2008-03-19,804.6145785311811
2008-03-20,810.4322963686747
2008-03-21,813.6089278058271
2008-03-24,822.2952783248181
2008-03-25,836.8898014884963
2008-03-26,836.2271214136499
2008-03-27,834.8690485075701
2008-03-28,830.0862738763516
2008-03-31,834.7358246871872
2008-04-01,850.1725032118824
2008-04-02,856.5451714144341
2008-04-03,856.0709749703093
2008-04-04,855.8747813976431
2008-04-07,858.7759003482478
2008-04-08,852.3278766403711
2008-04-09,843.4699348117979
2008-04-10,845.4829381118692
2008-04-11,837.7283773606407
2008-04-14,833.1250251611099
2008-04-15,838.0438007200387
2008-04-16,857.3530989844148
2008-04-17,855.9438311797031
2008-04-18,861.7263111009307
2008-04-21,860.9409919997198
2008-04-22,853.7045194900664
2008-04-23,852.992306958869
2008-04-24,854.8566896899665
2008-04-25,861.273412723578
2008-04-28,866.457025887458
2008-04-29,861.5695945731666
2008-04-30,861.7715154420667
2008-05-01,868.7314168172048
2008-05-02,872.5254041083818
2008-05-05,871.649745780371
2008-05-06,876.1432054792153
2008-05-07,869.2610583185706
2008-05-08,871.6953481085746
2008-05-09,868.0443065432931
2008-05-12,877.0291258011601
2008-05-13,877.4076185857099
2008-05-14,879.1106091338291
2008-05-15,886.9765576537735
2008-05-16,889.3500283670234
2008-05-19,890.4700344226663
2008-05-20,885.0051835342954
2008-05-21,878.727448169465
