Date,USA SRI
2007-09-28,1235.02716609
2007-10-01,1251.56164184
2007-10-02,1249.50222974
2007-10-03,1243.198246
2007-10-04,1244.70957237
2007-10-05,1258.14208302
2007-10-08,1256.04039452
2007-10-09,1265.83122762
2007-10-10,1262.90761555
2007-10-11,1256.51440025
2007-10-12,1260.12264043
2007-10-15,1250.0254029
2007-10-16,1241.64478139
2007-10-17,1242.30275042
2007-10-18,1244.7909964
2007-10-19,1217.33845393
2007-10-22,1224.96274816
2007-10-23,1235.00763749
2007-10-24,1233.82697759
2007-10-25,1235.20136056
2007-10-26,1249.24108333
2007-10-29,1254.17542047
2007-10-30,1246.24738065
2007-10-31,1259.82135431
2007-11-01,1230.04868162
2007-11-02,1234.84233859
2007-11-05,1233.87604487
2007-11-06,1248.47297348
2007-11-07,1214.23114667
2007-11-08,1208.17689624
2007-11-09,1189.67873605
2007-11-12,1189.50850638
2007-11-13,1221.13688808
2007-11-14,1211.92336211
2007-11-15,1200.48704584
2007-11-16,1211.74693859
2007-11-19,1194.08751831
2007-11-20,1195.52538568
2007-11-21,1176.0688574
2007-11-22,1176.0688574
2007-11-23,1194.04310803
2007-11-26,1171.81412027
2007-11-27,1188.1998203
2007-11-28,1220.13361223
2007-11-29,1220.53748613
2007-11-30,1223.29264375
2007-12-03,1216.22682043
2007-12-04,1212.49104263
2007-12-05,1227.77932712
2007-12-06,1242.76975952
2007-12-07,1238.24013096
2007-12-10,1248.43969895
2007-12-11,1222.07700965
2007-12-12,1230.21791675
2007-12-13,1232.23149193
2007-12-14,1215.60973435
2007-12-17,1198.51528594
2007-12-18,1205.09435191
2007-12-19,1204.17889785
2007-12-20,1208.74821224
2007-12-21,1226.52530978
2007-12-24,1235.10305673
2007-12-25,1235.10305673
2007-12-26,1232.92569715
2007-12-27,1215.55640243
2007-12-28,1217.01784799
2007-12-31,1207.6675937
2008-01-01,1207.6675937
2008-01-02,1185.96644705
2008-01-03,1183.4821516
2008-01-04,1154.11353174
2008-01-07,1156.84977241
2008-01-08,1138.75171085
2008-01-09,1152.4609517
2008-01-10,1162.3553464
2008-01-11,1142.85979093
2008-01-14,1156.65294037
2008-01-15,1130.0530397
2008-01-16,1126.63807634
2008-01-17,1096.8266681
2008-01-18,1092.55042033
2008-01-21,1092.55042033
2008-01-22,1083.72143755
2008-01-23,1108.7358117
2008-01-24,1118.87058893
2008-01-25,1100.08303942
2008-01-28,1115.47752888
2008-01-29,1116.95990953
2008-01-30,1113.56422528
2008-01-31,1131.58198858
2008-02-01,1144.34200016
2008-02-04,1132.17167748
2008-02-05,1102.0319353
2008-02-06,1095.50566053
2008-02-07,1103.50145782
2008-02-08,1098.41628427
2008-02-11,1108.0512352
2008-02-12,1119.6281216
2008-02-13,1133.99035378
2008-02-14,1115.68916691
2008-02-15,1114.86550643
2008-02-18,1114.86550643
2008-02-19,1112.39555471
2008-02-20,1128.46392185
2008-02-21,1115.98629952
2008-02-22,1127.49536548
2008-02-25,1142.79616397
2008-02-26,1153.12846565
2008-02-27,1152.562987
2008-02-28,1140.46799445
2008-02-29,1113.30216375
2008-03-03,1116.4064782
2008-03-04,1115.193326
2008-03-05,1120.48479646
2008-03-06,1100.30919367
2008-03-07,1091.79513629
2008-03-10,1080.5624822
2008-03-11,1121.38335667
2008-03-12,1115.05126434
2008-03-13,1118.41812145
2008-03-14,1097.16266841
2008-03-17,1094.87562376
2008-03-18,1137.70830076
2008-03-19,1111.72714699
2008-03-20,1135.32263044
2008-03-21,1135.32263044
2008-03-24,1152.12629714
2008-03-25,1155.21269179
2008-03-26,1140.84669069
2008-03-27,1128.88948698
2008-03-28,1119.20591674
2008-03-31,1117.26562242
2008-04-01,1152.87489262
2008-04-02,1145.6480704
2008-04-03,1146.70694524
2008-04-04,1148.21209707
2008-04-07,1148.42507783
2008-04-08,1144.2183954
2008-04-09,1135.02866573
2008-04-10,1140.63722933
2008-04-11,1122.4986197
2008-04-14,1119.50354264
2008-04-15,1124.44708864
2008-04-16,1147.24038275
2008-04-17,1145.72038011
2008-04-18,1162.50738404
2008-04-21,1161.50714494
2008-04-22,1151.06197675
2008-04-23,1152.59643565
2008-04-24,1162.70360429
2008-04-25,1170.35125887
2008-04-28,1167.80765589
2008-04-29,1160.58001392
2008-04-30,1153.44928804
2008-05-01,1176.57964266
2008-05-02,1179.25188114
2008-05-05,1173.8941064
2008-05-06,1180.58284609
2008-05-07,1162.93887887
2008-05-08,1164.26738539
2008-05-09,1158.07161093
2008-05-12,1169.66516971
2008-05-13,1167.17662545
2008-05-14,1172.52242197
2008-05-15,1187.01192262
2008-05-16,1186.49813361
2008-05-19,1183.54493498
2008-05-20,1171.50524994
2008-05-21,1152.05571866
