Date,UNITED KINGDOM SRI
2007-09-28,1000.0
2007-10-01,1011.1608396737977
2007-10-02,1005.2167554565212
2007-10-03,1007.6081174016754
2007-10-04,1011.0560559320046
2007-10-05,1013.6704881354052
2007-10-08,1006.663473287254
2007-10-09,1020.7470960516525
2007-10-10,1030.5215336963354
2007-10-11,1038.975916887963
2007-10-12,1033.3251402833766
2007-10-15,1022.2771121657713
2007-10-16,1013.0357455351966
2007-10-17,1030.3293744928646
2007-10-18,1020.4188789032283
2007-10-19,1009.3484879105303
2007-10-22,984.7026484764415
2007-10-23,1009.6813967453135
2007-10-24,1001.5922473460218
2007-10-25,1020.5365972610394
2007-10-26,1034.3019408365124
2007-10-29,1043.7831776172177
2007-10-30,1040.9468247341902
2007-10-31,1059.03756119391
2007-11-01,1039.0765723329362
2007-11-02,1035.1070305682454
2007-11-05,1011.7204867391288
2007-11-06,1022.791963350159
2007-11-07,1015.6535733166654
2007-11-08,1031.8364618860153
2007-11-09,1015.039807606021
2007-11-12,997.3574358067603
2007-11-13,998.9710620602087
2007-11-14,1009.9008103492671
2007-11-15,983.9137589793859
2007-11-16,974.5399796378578
2007-11-19,945.8302886625007
2007-11-20,972.0154309040234
2007-11-21,940.7625883511328
2007-11-22,955.4643932205161
2007-11-23,972.533182449983
2007-11-26,969.875738979937
2007-11-27,964.188542004605
2007-11-28,994.4929892011518
2007-11-29,1001.2892319837753
2007-11-30,1019.5518792585418
2007-12-03,1018.4989045848644
2007-12-04,1002.2535595403593
2007-12-05,1015.3511306618515
2007-12-06,1008.4872603118257
2007-12-07,1025.1134098939299
2007-12-10,1040.247875077545
2007-12-11,1037.1386636371437
2007-12-12,1039.2611691942363
2007-12-13,1008.4078349039914
2007-12-14,1005.3918582593991
2007-12-17,978.613022139345
2007-12-18,979.7333834837434
2007-12-19,974.8819479728025
2007-12-20,971.3993223780157
2007-12-21,985.1825021782325
2007-12-24,988.3561665967467
2007-12-25,988.3561665967467
2007-12-26,991.6313527199931
2007-12-27,999.2946907560148
2007-12-28,1001.0838611733901
2007-12-31,997.3547460710935
2008-01-01,997.3547460710935
2008-01-02,982.8147429994732
2008-01-03,984.8981822351486
2008-01-04,964.0999463938342
2008-01-07,956.6246302705542
2008-01-08,954.2486450889544
2008-01-09,929.8550689539725
2008-01-10,919.410025180768
2008-01-11,918.8948902405158
2008-01-14,923.3320687879061
2008-01-15,905.7504592769549
2008-01-16,892.1371882112071
2008-01-17,898.792732388168
2008-01-18,894.0405102119097
2008-01-21,849.4674936342282
2008-01-22,886.1463102556215
2008-01-23,865.4187695473117
2008-01-24,910.8139450050882
2008-01-25,916.5974030257578
2008-01-28,909.918677051265
2008-01-29,931.4230200040281
2008-01-30,921.8782603580871
2008-01-31,940.1715644010886
2008-02-01,953.668077292304
2008-02-04,952.7855181199072
2008-02-05,914.3199333473167
2008-02-06,916.4528604247879
2008-02-07,897.2709047059011
2008-02-08,914.2886217435662
2008-02-11,901.9577148005251
2008-02-12,936.4596752662225
2008-02-13,931.5322505300186
2008-02-14,938.3150234126007
2008-02-15,917.5821520270208
2008-02-18,937.9175429103285
2008-02-19,935.38031589332
2008-02-20,929.1190170440336
2008-02-21,942.7291698537558
2008-02-22,937.9855640184976
2008-02-25,953.7234969978135
2008-02-26,970.019281126455
2008-02-27,980.4994614940304
2008-02-28,965.5718306638673
2008-02-29,954.5816081166577
2008-03-03,940.204720013688
2008-03-04,936.8189796850644
2008-03-05,962.9302634349239
2008-03-06,964.1345033026199
2008-03-07,954.2810600537924
2008-03-10,940.2084242201801
2008-03-11,941.7987152278401
2008-03-12,963.8259877332796
2008-03-13,958.4462397331064
2008-03-14,947.8363626858368
2008-03-17,895.6715481105964
2008-03-18,939.1852091361725
2008-03-19,915.1826856831244
2008-03-20,900.4311072739995
2008-03-21,900.4311072739995
2008-03-24,901.7938826356291
2008-03-25,942.6754368941073
2008-03-26,938.475075099462
2008-03-27,951.4077302420375
2008-03-28,936.2513085639807
2008-03-31,937.9999993533308
2008-04-01,950.7013780440319
2008-04-02,956.6530845245162
2008-04-03,959.8466283008031
2008-04-04,965.3301593265502
2008-04-07,977.6054301334052
2008-04-08,961.2861198748716
2008-04-09,962.0945915071645
2008-04-10,959.1248550965755
2008-04-11,947.5651802472622
2008-04-14,939.8490607398148
2008-04-15,944.3593243084306
2008-04-16,970.4067847223921
2008-04-17,966.2075801039775
2008-04-18,983.806370934571
2008-04-21,973.0965354928009
2008-04-22,977.7450573238798
2008-04-23,985.5702619030468
2008-04-24,979.9979789776531
2008-04-25,995.7193294167558
2008-04-28,1001.055459658236
2008-04-29,980.4948908345959
2008-04-30,979.7961569745395
2008-05-01,983.896127068963
2008-05-02,1005.5358727994211
2008-05-05,1002.5572992737357
2008-05-06,1017.8738675508107
2008-05-07,1005.5153814720355
2008-05-08,1015.5985498966367
2008-05-09,996.6118531077066
2008-05-12,1006.6814540152627
2008-05-13,988.2159855511879
2008-05-14,983.5580352855908
2008-05-15,991.3646093381898
2008-05-16,1003.0771760519002
2008-05-19,1018.452169506002
2008-05-20,996.8477260862974
2008-05-21,996.5875737161783
2008-05-22,1001.681784206459
2008-05-23,986.3437690265414
2008-05-26,986.4184222875622
2008-05-27,983.6516919359376
2008-05-28,993.3624561315811
2008-05-29,992.3117232217224
2008-05-30,992.5099546471208
2008-06-02,977.130377477735
2008-06-03,987.6651592836564
2008-06-04,971.2644126249776
2008-06-05,970.6850192779328
2008-06-06,971.2452894363214
2008-06-09,977.032568111019
2008-06-10,956.1984942500659
