Date,RUSSIA MOMENTUM
1998-05-29,1000.0
1998-06-01,874.2025453629433
1998-06-02,1019.8617415881595
1998-06-03,1113.9270559127108
1998-06-04,1092.2365606246633
1998-06-05,1091.609362125518
1998-06-08,1076.1405760979173
1998-06-09,1021.7997167499387
1998-06-10,961.9079492043388
1998-06-11,930.2316177472601
1998-06-12,930.2316177472601
1998-06-15,826.2834052714425
1998-06-16,860.7068749548184
1998-06-17,955.4020012282219
1998-06-18,924.5955229524072
1998-06-19,901.6183153567721
1998-06-22,902.6821854022459
1998-06-23,920.5263982688509
1998-06-24,945.1885013941499
1998-06-25,905.7074175426899
1998-06-26,853.6087935809277
1998-06-29,793.0859101843142
1998-06-30,774.59064135965
1998-07-01,750.706599850492
1998-07-02,736.6510545595735
1998-07-03,788.8078529683116
1998-07-06,748.0826470353537
1998-07-07,730.0860696592505
1998-07-08,711.5405817461065
1998-07-09,728.4863474302302
1998-07-10,787.5100969169306
1998-07-13,887.5333720359088
1998-07-14,1026.024381241021
1998-07-15,1061.5310273220896
1998-07-16,996.3847872799113
1998-07-17,1071.4026718086855
1998-07-20,1065.4574695080296
1998-07-21,1003.0381463530551
1998-07-22,941.8976485671394
1998-07-23,883.3487794417656
1998-07-24,849.8458959138635
1998-07-27,765.1034125704559
1998-07-28,798.4957789574402
1998-07-29,797.7949770905935
1998-07-30,836.1725357509822
1998-07-31,814.822544418196
1998-08-03,785.831006055516
1998-08-04,803.5103566435009
1998-08-05,769.3978016050539
1998-08-06,742.454357264896
1998-08-07,726.332017423637
1998-08-10,652.6417858206808
1998-08-11,597.8744022207507
1998-08-12,583.3893508771617
1998-08-13,525.2527597013466
1998-08-14,594.5186007551004
1998-08-17,550.5345723513271
1998-08-18,519.9108600775443
1998-08-19,477.4490380632417
1998-08-20,469.2510965645811
1998-08-21,425.8835074601519
1998-08-24,452.6673963315628
1998-08-25,459.07220730015473
1998-08-26,374.20727822570103
1998-08-27,287.0386460639245
1998-08-28,322.5691478253137
1998-08-31,315.3979551840942
1998-09-01,312.33654802636335
1998-09-02,316.75822600911073
1998-09-03,284.11122874140904
1998-09-04,297.56375636954215
1998-09-07,296.1739041728995
1998-09-08,297.9216472530831
1998-09-09,287.14153103818194
1998-09-10,294.55089887886027
1998-09-11,285.47507646233555
1998-09-14,293.0024716616428
1998-09-15,263.6994152526928
1998-09-16,244.66731009282407
1998-09-17,210.3381750713076
1998-09-18,202.90511474716791
1998-09-21,179.6964572930476
1998-09-22,192.86780869931977
1998-09-23,200.83413394346977
1998-09-24,209.1432167930724
1998-09-25,200.16594908805246
1998-09-28,206.03412988097102
1998-09-29,199.21096580300085
1998-09-30,183.92404958763862
1998-10-01,162.3774168543105
1998-10-02,152.11773245751155
1998-10-05,148.65902936091425
1998-10-06,169.71616626812101
