Date,EM IMI VALUE WEIGHTED
1998-12-31,151.69213197071866
1999-01-01,151.69452086635675
1999-01-04,153.3970915688006
1999-01-05,155.70825821103313
1999-01-06,160.2419619254355
1999-01-07,161.62228487304623
1999-01-08,162.5717727293379
1999-01-11,162.13529154170524
1999-01-12,158.55819653937692
1999-01-13,149.07094455225413
1999-01-14,145.32090026257424
1999-01-15,150.61333797570097
1999-01-18,151.05824947036592
1999-01-19,151.1536002717787
1999-01-20,152.87420524259994
1999-01-21,147.95740023705858
1999-01-22,144.75087544043487
1999-01-25,142.0890119299041
1999-01-26,142.8204262800309
1999-01-27,146.00267978320048
1999-01-28,147.16964575904615
1999-01-29,147.59109979757707
1999-02-01,151.83115185302813
1999-02-02,151.51446464744035
1999-02-03,150.40646650190308
1999-02-04,150.47199124322339
1999-02-05,149.3194125640919
1999-02-08,148.90198695231027
1999-02-09,146.5189743348618
1999-02-10,147.23296653263938
1999-02-11,149.9078491838588
1999-02-12,152.23130949892942
1999-02-15,152.62392214484794
1999-02-16,154.11833687439886
1999-02-17,153.1011387036157
1999-02-18,152.09668697815434
1999-02-19,152.60302705528812
1999-02-22,152.97705175418943
1999-02-23,152.3225605941568
1999-02-24,152.2162894582244
1999-02-25,150.1509332177602
1999-02-26,154.83216229648986
1999-03-01,155.1666841020369
1999-03-02,155.34178744431568
1999-03-03,156.02752192768543
1999-03-04,157.8610467598894
1999-03-05,159.9647882146448
1999-03-08,163.432718952859
1999-03-09,165.37342435723644
1999-03-10,165.83316617758203
1999-03-11,168.47452363638877
1999-03-12,167.84281617123858
1999-03-15,170.0963091586465
1999-03-16,172.26493132862612
1999-03-17,171.56695149995818
1999-03-18,171.91050547767506
1999-03-19,175.74959934084887
1999-03-22,175.12575300876844
1999-03-23,174.43180999002854
1999-03-24,172.86437886059045
1999-03-25,176.7381184919524
1999-03-26,178.64505887495318
1999-03-29,178.73886271927776
1999-03-30,180.44938258095743
1999-03-31,180.88118327842471
1999-04-01,182.35603347312406
1999-04-02,184.61891531325597
1999-04-05,186.31254192414545
1999-04-06,188.54922535308762
1999-04-07,189.271079699787
1999-04-08,189.55373272054348
1999-04-09,191.1752891797564
1999-04-12,190.47903925199842
1999-04-13,192.42158694464595
1999-04-14,193.79458280481475
1999-04-15,199.1920038683918
1999-04-16,203.3052389780181
1999-04-19,209.06328099006677
1999-04-20,207.59215857343617
1999-04-21,205.97093472971264
1999-04-22,207.62676774737213
1999-04-23,208.63311074382233
1999-04-26,211.37732400511325
1999-04-27,212.0434945287422
1999-04-28,214.1558574194564
1999-04-29,213.63227175593042
1999-04-30,216.25104019548286
1999-05-03,218.54906166708753
1999-05-04,220.07662074588313
1999-05-05,220.5680769114808
1999-05-06,224.30517876146354
1999-05-07,225.45266497049167
1999-05-10,227.43018737173765
1999-05-11,226.68981649055988
1999-05-12,223.58167025279437
1999-05-13,224.64540345456962
1999-05-14,223.8943707433323
1999-05-17,221.46542407954647
1999-05-18,225.94369617854568
1999-05-19,225.33178737743987
1999-05-20,223.2760533201114
1999-05-21,222.68963618982383
1999-05-24,218.03250741971357
1999-05-25,215.133858758521
1999-05-26,220.23027999848446
1999-05-27,219.28604507314225
1999-05-28,218.56628929640297
1999-05-31,219.77524523183928
1999-06-01,220.31899929095576
1999-06-02,222.4977567281518
1999-06-03,224.16725893550415
1999-06-04,227.98272473954526
1999-06-07,231.5188153060855
1999-06-08,231.48443915487607
1999-06-09,229.42398834246052
1999-06-10,231.35163686380852
1999-06-11,231.97064374605853
1999-06-14,232.26043763937452
1999-06-15,231.4645225593525
1999-06-16,238.91694175633043
1999-06-17,241.7898630646667
1999-06-18,242.15161320830802
1999-06-21,247.88137807356284
1999-06-22,249.02963222128307
1999-06-23,246.41382586594477
1999-06-24,243.41855794256946
1999-06-25,239.1675371396248
1999-06-28,243.26007200327845
1999-06-29,245.3033889955114
1999-06-30,247.09509038748112
1999-07-01,252.71717520054156
1999-07-02,256.1878135869583
1999-07-05,260.22835737044227
1999-07-06,260.7126537973845
1999-07-07,261.3191921036991
1999-07-08,261.1267795038806
1999-07-09,262.40471572419864
1999-07-12,262.3046080689917
1999-07-13,258.5973005226059
1999-07-14,257.7051801101495
1999-07-15,258.6211877780667
1999-07-16,259.67658219171176
1999-07-19,261.6443454374026
1999-07-20,252.42728707845993
1999-07-21,248.12103374185185
1999-07-22,247.5990303653321
1999-07-23,241.79036768765354
1999-07-26,231.6263832392508
1999-07-27,234.8033238474004
1999-07-28,236.5326205564356
1999-07-29,234.02438460110292
1999-07-30,232.44883345312064
1999-08-02,229.25310551184828
1999-08-03,230.82286196856944
1999-08-04,227.7608173831093
1999-08-05,222.9285392117777
1999-08-06,222.0716642261316
1999-08-09,223.31837498130594
1999-08-10,222.76058027500005
1999-08-11,223.76597557689084
1999-08-12,226.64194058522776
1999-08-13,229.04417150073925
1999-08-16,230.3527044344218
1999-08-17,229.30297489598155
1999-08-18,227.9436666386799
1999-08-19,226.01174977866813
1999-08-20,228.05361678100633
1999-08-23,235.04484712013135
1999-08-24,236.3268451886326
1999-08-25,240.49971253384658
1999-08-26,239.3882700736929
1999-08-27,238.17588721878286
1999-08-30,240.04092317229018
1999-08-31,237.17787794673296
1999-09-01,235.6603317039298
1999-09-02,231.59435596878367
1999-09-03,235.1202974361996
1999-09-06,238.43675937161157
1999-09-07,237.26060712958756
1999-09-08,235.92317240286567
1999-09-09,238.26056937675028
1999-09-10,242.19900611296325
1999-09-13,244.94496549188224
1999-09-14,243.71327069563813
1999-09-15,241.5520810813538
1999-09-16,237.8808787400846
1999-09-17,238.56610678285244
1999-09-20,239.0645483237102
1999-09-21,237.33492075178867
1999-09-22,235.66051739081746
1999-09-23,235.59355620070724
1999-09-24,233.84467133487945
1999-09-27,232.60342428311466
