Date,EM LATIN AMERICA IMI VALUE WEIGHTED
1998-12-31,999.9999999999999
1999-01-01,1000.0532926734762
1999-01-04,995.583062531597
1999-01-05,998.1719537439668
1999-01-06,1011.7810550679015
1999-01-07,992.4037512679427
1999-01-08,991.2242760324604
1999-01-11,960.5524253692997
1999-01-12,918.8261331860529
1999-01-13,821.3951990740395
1999-01-14,786.604998542514
1999-01-15,864.3945541718351
1999-01-18,839.0775678911908
1999-01-19,852.1006957929023
1999-01-20,875.3306068049709
1999-01-21,817.9817145902581
1999-01-22,809.0413590926754
1999-01-25,796.4527374050485
1999-01-26,808.2545363029836
1999-01-27,806.9129617686546
1999-01-28,821.6123237021156
1999-01-29,816.4980185482267
1999-02-01,882.8834579203344
1999-02-02,912.6906864873273
1999-02-03,904.355391626191
1999-02-04,905.8257269317033
1999-02-05,891.0233243066934
1999-02-08,888.2326241801842
1999-02-09,881.0605820474744
1999-02-10,889.4262922789477
1999-02-11,914.0921647878479
1999-02-12,914.9878866907972
1999-02-15,919.4062663194496
1999-02-16,927.34445309215
1999-02-17,913.6883149049464
1999-02-18,912.6660289695354
1999-02-19,929.140722510176
1999-02-22,927.8750088002536
1999-02-23,917.6870272160311
1999-02-24,907.8442235438973
1999-02-25,889.1578812968783
1999-02-26,906.0393236333821
1999-03-01,894.3941798343318
1999-03-02,886.4190211953646
1999-03-03,890.8816042445726
1999-03-04,931.2786962679012
1999-03-05,955.9542765999917
1999-03-08,970.1829646570089
1999-03-09,991.661227884246
1999-03-10,1010.3550961210653
1999-03-11,1010.2703849268491
1999-03-12,1003.4969931946938
1999-03-15,1040.0758957108574
1999-03-16,1058.5412136536595
1999-03-17,1052.2465033076876
1999-03-18,1075.4118859370608
1999-03-19,1078.1868341976287
1999-03-22,1065.6542503852766
1999-03-23,1055.461059782622
1999-03-24,1064.1335851117508
1999-03-25,1107.2895386778694
1999-03-26,1124.3199207323296
1999-03-29,1138.4473087494248
1999-03-30,1150.9639751559314
1999-03-31,1163.6926722650012
1999-04-01,1162.8667529828197
1999-04-02,1166.3142635589497
1999-04-05,1200.5132916103
1999-04-06,1210.3950531412895
1999-04-07,1221.6480295910997
1999-04-08,1227.625979263545
1999-04-09,1231.4977595260189
1999-04-12,1233.2481987409385
1999-04-13,1242.0207970612353
1999-04-14,1246.843898224947
1999-04-15,1279.9149120837262
1999-04-16,1301.8908949494726
1999-04-19,1310.2134083558065
1999-04-20,1272.5686334916404
1999-04-21,1274.8094022707849
1999-04-22,1295.0630038682514
1999-04-23,1291.929596867669
1999-04-26,1278.3976297717766
1999-04-27,1266.5311704673127
1999-04-28,1299.2501409615238
1999-04-29,1320.1040719304722
1999-04-30,1340.7668266418918
1999-05-03,1357.1274539625397
1999-05-04,1341.340735546084
1999-05-05,1349.6904411771195
1999-05-06,1373.864127798569
1999-05-07,1413.3097760568771
1999-05-10,1433.2674378802856
1999-05-11,1428.019240338536
1999-05-12,1416.0612373054576
1999-05-13,1455.2397987594088
1999-05-14,1434.0069449236935
1999-05-17,1413.5015166047276
1999-05-18,1428.2385295759857
1999-05-19,1407.481882401855
1999-05-20,1405.8535674856566
1999-05-21,1370.9925024202653
1999-05-24,1317.2204459579661
1999-05-25,1268.5068540770878
1999-05-26,1330.3565571238892
1999-05-27,1298.2278165335488
1999-05-28,1300.781112260092
1999-05-31,1316.1792719336247
1999-06-01,1298.1687883211757
1999-06-02,1308.532254138896
1999-06-03,1309.6150407817495
1999-06-04,1332.9156642189969
1999-06-07,1330.9612377126325
1999-06-08,1307.4402562454547
1999-06-09,1298.4458919742624
1999-06-10,1288.125069257676
1999-06-11,1283.671558892636
1999-06-14,1282.654504456933
1999-06-15,1295.1103964213019
1999-06-16,1353.2612429979054
1999-06-17,1365.7708632018566
1999-06-18,1363.864876149988
1999-06-21,1378.4362631226627
1999-06-22,1373.4750005977553
1999-06-23,1350.4714343056587
1999-06-24,1316.0226696940808
1999-06-25,1285.6996644826638
1999-06-28,1308.1961146305425
1999-06-29,1323.4017803262016
1999-06-30,1356.697190224245
1999-07-01,1372.0398995997891
1999-07-02,1394.3855342973998
1999-07-05,1402.6077557111132
1999-07-06,1387.8603896431687
1999-07-07,1397.0368624932012
1999-07-08,1378.3273289158103
1999-07-09,1378.040102977362
1999-07-12,1334.6880802877035
1999-07-13,1335.8166183767044
1999-07-14,1340.2950477866211
1999-07-15,1343.8831164464686
1999-07-16,1356.267779609115
1999-07-19,1374.4842394923269
1999-07-20,1315.0438894673582
1999-07-21,1308.5030715401253
1999-07-22,1301.593662670129
1999-07-23,1275.8423410628234
1999-07-26,1221.5809262941855
1999-07-27,1232.6038490626042
1999-07-28,1246.2168207058987
1999-07-29,1218.9566118156513
1999-07-30,1210.2056611663554
1999-08-02,1186.4229357450797
1999-08-03,1187.940725642794
1999-08-04,1165.8961445052244
1999-08-05,1153.38408872269
1999-08-06,1145.0626866567707
1999-08-09,1148.9895398598142
1999-08-10,1133.0298015336507
1999-08-11,1163.4374971792265
1999-08-12,1167.2769711559372
1999-08-13,1184.4286299879398
1999-08-16,1180.3763215180065
1999-08-17,1177.9264292196915
