Date,EM LATAM ex BR IMI VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.1137434801573
1999-01-04,993.8406975257406
1999-01-05,992.0794340624989
1999-01-06,997.6000184586161
1999-01-07,992.2830554624932
1999-01-08,994.2437273751739
1999-01-11,975.0906547457506
1999-01-12,939.8546789551119
1999-01-13,865.4828251727274
1999-01-14,854.958774830411
1999-01-15,926.3650972150516
1999-01-18,930.7519900474301
1999-01-19,926.5904038468348
1999-01-20,950.6623053883023
1999-01-21,931.4548628373451
1999-01-22,927.8917045325045
1999-01-25,935.168875064179
1999-01-26,942.2964978784712
1999-01-27,957.8757552483386
1999-01-28,976.8027645660608
1999-01-29,985.8291860557539
1999-02-01,1007.4158736784057
1999-02-02,1001.2065120218839
1999-02-03,1005.4834013583062
1999-02-04,1011.0626620390889
1999-02-05,1013.8867099035267
1999-02-08,1016.2642552844777
1999-02-09,1004.7857236254484
1999-02-10,1010.287505561034
1999-02-11,1034.8062103470177
1999-02-12,1035.3107430969787
1999-02-15,1041.3408324860145
1999-02-16,1053.593476859922
1999-02-17,1039.2942857742312
1999-02-18,1048.3988381975428
1999-02-19,1073.5955983827685
1999-02-22,1084.6301342548122
1999-02-23,1082.8561251243827
1999-02-24,1089.730479277179
1999-02-25,1075.6372676120786
1999-02-26,1086.4472675865995
1999-03-01,1084.594390945653
1999-03-02,1077.3425407451957
1999-03-03,1076.0209542371936
1999-03-04,1103.2683673296824
1999-03-05,1116.3785760074204
1999-03-08,1135.3283940183042
1999-03-09,1147.2853891387197
1999-03-10,1167.841498272678
1999-03-11,1185.987975682458
1999-03-12,1179.4437675389167
1999-03-15,1197.7090074582757
1999-03-16,1218.01108168606
1999-03-17,1206.2414889253755
1999-03-18,1213.9385574656233
1999-03-19,1211.2182141774608
1999-03-22,1202.7411784955077
1999-03-23,1193.2935232273255
1999-03-24,1209.020020763801
1999-03-25,1230.7128282808349
1999-03-26,1240.7112397394158
1999-03-29,1256.8185860271656
1999-03-30,1259.2587664545908
1999-03-31,1269.474292757877
1999-04-01,1269.3568801610877
1999-04-02,1273.903941178113
1999-04-05,1314.8243963167242
1999-04-06,1314.082110318322
1999-04-07,1312.0261864128397
1999-04-08,1319.8020392289734
1999-04-09,1328.228367679522
1999-04-12,1331.3740006506
1999-04-13,1340.834324265472
1999-04-14,1345.6976659174459
1999-04-15,1392.2226827200209
1999-04-16,1428.1346980594865
1999-04-19,1453.976248035706
1999-04-20,1435.479545437442
1999-04-21,1434.6710151760196
1999-04-22,1453.8602776517132
1999-04-23,1442.6803494727508
1999-04-26,1435.1051816433933
1999-04-27,1419.7454021043034
1999-04-28,1440.1757540144845
1999-04-29,1455.9126406351634
1999-04-30,1473.6565041626097
1999-05-03,1504.63684902486
1999-05-04,1495.5065917920856
1999-05-05,1490.3522436579697
1999-05-06,1502.373335769853
1999-05-07,1528.2096041289628
1999-05-10,1551.1033293886746
1999-05-11,1546.0365067600292
1999-05-12,1532.871975104878
1999-05-13,1566.5390359651424
1999-05-14,1530.9156015935955
1999-05-17,1523.1042812273133
1999-05-18,1527.6455552629059
1999-05-19,1496.3367810323405
1999-05-20,1502.0985757050519
1999-05-21,1474.0110086859033
1999-05-24,1434.7156928371885
1999-05-25,1397.9556566280594
1999-05-26,1441.7613938563277
1999-05-27,1408.967689566194
1999-05-28,1415.6582515150994
1999-05-31,1426.0980327068553
1999-06-01,1410.1073416380318
1999-06-02,1420.981629245717
1999-06-03,1421.4500814452006
1999-06-04,1443.8542836005
1999-06-07,1458.8582083313229
1999-06-08,1441.7580027464455
1999-06-09,1430.6353515163544
1999-06-10,1413.5473014840427
1999-06-11,1396.2813244284534
1999-06-14,1396.2877449174912
1999-06-15,1410.2373940956418
1999-06-16,1464.4723806316858
1999-06-17,1478.6495079556728
1999-06-18,1471.606917765869
1999-06-21,1490.8460528591402
1999-06-22,1499.021869162296
1999-06-23,1479.5879046217303
1999-06-24,1450.983031868839
1999-06-25,1422.185547682315
1999-06-28,1449.8260251057516
1999-06-29,1462.101003241778
1999-06-30,1487.4250819887002
1999-07-01,1512.4890166987395
1999-07-02,1532.2742712807149
1999-07-05,1541.547145816403
1999-07-06,1537.220278026223
1999-07-07,1541.3091152698896
1999-07-08,1529.3026025539366
1999-07-09,1526.8881600606785
1999-07-12,1494.5656093606
1999-07-13,1504.8059302232932
1999-07-14,1504.8791473756305
1999-07-15,1504.2463230098504
1999-07-16,1514.883909765767
1999-07-19,1528.8029773143362
1999-07-20,1473.4212220069614
1999-07-21,1466.2011416084972
1999-07-22,1452.2814362228328
1999-07-23,1421.660676275543
1999-07-26,1369.267375460531
1999-07-27,1373.8682791881372
1999-07-28,1389.899996825898
1999-07-29,1352.1750670553035
1999-07-30,1352.228040103033
1999-08-02,1339.640049322961
1999-08-03,1342.2208298293422
1999-08-04,1323.7828226354516
1999-08-05,1316.6181862520496
1999-08-06,1306.2301931338343
1999-08-09,1321.7447315821682
1999-08-10,1308.2391951039012
1999-08-11,1332.8575242753564
1999-08-12,1342.9222221196894
1999-08-13,1368.7632377045136
1999-08-16,1363.9732049574598
1999-08-17,1373.5230097084975
1999-08-18,1347.3982161445763
1999-08-19,1328.9167736893637
1999-08-20,1321.3474962445648
1999-08-23,1350.8110148777616
1999-08-24,1365.3133771785344
1999-08-25,1394.0099192952423
1999-08-26,1394.938620088113
1999-08-27,1378.5859983927382
1999-08-30,1370.5452282481551
1999-08-31,1352.017083340128
