Date,AC ASIA ex JAPAN MOMENTUM
1994-06-30,899.01567569
1994-07-29,958.65980949
1994-08-31,1044.91758643
1994-09-30,1036.48083522
1994-10-31,1055.95873916
1994-11-30,969.12275661
1994-12-30,943.05216983
1995-01-31,860.60080829
1995-02-28,910.28712653
1995-03-31,905.25981543
1995-04-28,907.60706879
1995-05-31,1000.0
1995-06-30,980.3224893850944
1995-07-31,1000.0616223965947
1995-08-31,954.5584455174134
1995-09-29,974.228054468626
1995-10-31,962.0318595866729
1995-11-30,959.8635123813975
1995-12-29,1002.709791275556
1996-01-31,1106.1746976474324
1996-02-29,1100.3253862691083
1996-03-29,1110.7721203899796
1996-04-30,1138.3737906793751
1996-05-31,1141.1524921163914
1996-06-28,1137.7467156646987
1996-07-31,1058.6854044001745
1996-08-30,1102.1012384117498
1996-09-30,1132.5044938664707
1996-10-31,1127.8515127052049
1996-11-29,1198.5953686021073
1996-12-31,1210.8706663717032
1997-01-01,1210.8706663717032
1997-01-02,1203.2395336173367
1997-01-03,1208.0304638975215
1997-01-06,1219.203550436924
1997-01-07,1225.3795761707606
1997-01-08,1235.2518729424362
1997-01-09,1223.8674371010886
1997-01-10,1219.6965608370394
1997-01-13,1219.994770841122
1997-01-14,1213.5374337721064
1997-01-15,1237.5371088963732
1997-01-16,1235.2069548720938
1997-01-17,1240.6239390638561
1997-01-20,1248.2800253774008
1997-01-21,1238.0319159811781
1997-01-22,1243.4357610572888
1997-01-23,1242.4710026635332
1997-01-24,1230.1160512361425
1997-01-27,1222.7311967685096
1997-01-28,1223.9638406552572
1997-01-29,1216.864532681707
1997-01-30,1216.3052770052843
1997-01-31,1220.8349257621462
1997-02-03,1224.699433223084
1997-02-04,1227.7478419765996
1997-02-05,1233.8712625107148
1997-02-06,1235.5659783842773
1997-02-07,1235.2482990718438
1997-02-10,1232.1779714400977
1997-02-11,1229.16787360661
1997-02-12,1235.4495671529394
1997-02-13,1231.3908371642472
1997-02-14,1225.7638454136736
1997-02-17,1231.6407337067035
1997-02-18,1225.2929887835726
1997-02-19,1229.3268981784954
1997-02-20,1240.61244628545
1997-02-21,1239.7196587559251
1997-02-24,1234.3151704256097
1997-02-25,1240.2094791581858
1997-02-26,1234.766570479126
1997-02-27,1238.3956777152205
1997-02-28,1237.98351984664
1997-03-03,1241.3563880918482
1997-03-04,1237.9363011509722
1997-03-05,1234.0925387263787
1997-03-06,1230.1410882619687
1997-03-07,1229.077447969244
1997-03-10,1221.1975537606222
1997-03-11,1223.1242963741902
1997-03-12,1214.8855792604895
1997-03-13,1205.3019644008264
1997-03-14,1193.4208500169245
1997-03-17,1200.0135901311432
1997-03-18,1190.9621505397658
1997-03-19,1189.6136047110099
1997-03-20,1176.2424823905144
1997-03-21,1167.5619041794541
1997-03-24,1172.8200616908337
1997-03-25,1175.504822354154
1997-03-26,1177.8423106521998
1997-03-27,1170.7578118091933
1997-03-28,1167.3904149816829
1997-03-31,1154.6180259339583
1997-04-01,1138.0302292155457
1997-04-02,1141.6660759273038
1997-04-03,1133.091708542216
1997-04-04,1136.3986514058565
1997-04-07,1138.5934378685288
1997-04-08,1147.6162442830407
1997-04-09,1152.6504572958415
1997-04-10,1143.1865253440938
1997-04-11,1141.436058600791
1997-04-14,1122.483333788462
1997-04-15,1117.6684268374295
1997-04-16,1129.6992738799634
1997-04-17,1127.703272362
1997-04-18,1127.8791304815322
1997-04-21,1141.7840081411011
1997-04-22,1137.7689178752712
1997-04-23,1142.1699736431328
1997-04-24,1137.7267335475872
1997-04-25,1132.0605573707041
1997-04-28,1124.887033724027
1997-04-29,1113.6945763583835
1997-04-30,1127.5641075254816
1997-05-01,1133.8668542865555
1997-05-02,1136.0309404585805
1997-05-05,1152.68699641159
1997-05-06,1159.2516329681157
1997-05-07,1169.034436507374
1997-05-08,1166.7084498029444
1997-05-09,1171.8480814592062
1997-05-12,1163.7714762675437
1997-05-13,1158.375223614006
1997-05-14,1167.493543547317
1997-05-15,1149.4630134033055
1997-05-16,1153.003623646519
1997-05-19,1154.2735524442787
1997-05-20,1160.8908284220447
1997-05-21,1160.0462032772118
1997-05-22,1165.7428844507208
1997-05-23,1171.199762639658
1997-05-26,1183.2040371052817
1997-05-27,1177.7901251426206
1997-05-28,1181.8513502879757
1997-05-29,1181.5732440247007
1997-05-30,1191.883163249247
1997-06-02,1215.7848899741632
1997-06-03,1216.8526615118196
1997-06-04,1220.1591645888223
1997-06-05,1217.874944157017
1997-06-06,1218.8546871328247
1997-06-09,1224.81863112132
1997-06-10,1215.3756949510257
1997-06-11,1208.445285849165
1997-06-12,1197.9183279282227
1997-06-13,1204.5050452195112
1997-06-16,1226.8284320536334
1997-06-17,1232.4726446528234
1997-06-18,1237.063805384445
1997-06-19,1241.9532510605536
1997-06-20,1273.2539500670898
1997-06-23,1276.8758423272263
1997-06-24,1271.6042997759025
1997-06-25,1278.4870535327132
1997-06-26,1280.8369365943754
1997-06-27,1284.3241082201614
1997-06-30,1294.8449491981949
1997-07-01,1297.776419047844
1997-07-02,1289.7395096303853
1997-07-03,1287.9729306408844
1997-07-04,1285.2312561330325
1997-07-07,1292.2251800826539
1997-07-08,1292.2976040896945
1997-07-09,1292.4516705642886
1997-07-10,1298.2258889429465
1997-07-11,1307.7684309223537
1997-07-14,1313.045637251428
1997-07-15,1317.89778512406
1997-07-16,1312.0847159832722
1997-07-17,1312.505451893222
1997-07-18,1321.5733178019218
1997-07-21,1317.0999774317531
1997-07-22,1303.1948308370079
1997-07-23,1313.6953807249035
1997-07-24,1323.6725972920735
1997-07-25,1332.0308393332584
1997-07-28,1342.039754118047
1997-07-29,1337.9917555711286
1997-07-30,1339.9904546515802
1997-07-31,1354.8041140202124
1997-08-01,1350.0750281809167
1997-08-04,1364.5625433996
1997-08-05,1355.5904028670775
1997-08-06,1357.516630787179
1997-08-07,1342.8959483225478
1997-08-08,1347.9159708290906
1997-08-11,1327.7996368841466
1997-08-12,1316.9761885677462
