Date,AC ASIA PACIFIC MOMENTUM
1995-05-31,1000.0
1995-06-30,970.6796020672145
1995-07-31,1008.5596604232654
1995-08-31,960.016283170007
1995-09-29,981.0974163569811
1995-10-31,956.0676960309873
1995-11-30,963.5434677797897
1995-12-29,1005.3037215023152
1996-01-31,1003.1627025075752
1996-02-29,985.8669514426889
1996-03-29,1016.8918081184393
1996-04-30,1068.941188080802
1996-05-31,1016.8145397914253
1996-06-28,1033.4337254569173
1996-07-31,986.758265508435
1996-08-30,948.4291694219717
1996-09-30,985.7193244477882
1996-10-31,929.0675711389158
1996-11-29,965.6843871487979
1996-12-31,955.1341354605978
1997-01-01,955.1341354605973
1997-01-02,953.5901349998938
1997-01-03,952.5372457174233
1997-01-06,961.6840768301438
1997-01-07,956.8452759590792
1997-01-08,953.1429701736885
1997-01-09,934.0112086630896
1997-01-10,917.1183713087272
1997-01-13,924.6666198312331
1997-01-14,925.6294119791592
1997-01-15,932.0844483219855
1997-01-16,939.0507277944341
1997-01-17,933.0033311506546
1997-01-20,922.3547334166248
1997-01-21,918.4069758505299
1997-01-22,925.6499446152407
1997-01-23,921.1068026760406
1997-01-24,917.6492554878727
1997-01-27,907.8686505154105
1997-01-28,909.3413118210452
1997-01-29,914.4777929068756
1997-01-30,907.4913815048662
1997-01-31,917.0507355025193
1997-02-03,915.3027423168755
1997-02-04,914.4797296456475
1997-02-05,910.5498609412834
1997-02-06,911.3743949314777
1997-02-07,911.0295181686822
1997-02-10,922.3034330761567
1997-02-11,921.2018405402724
1997-02-12,931.5784789821582
1997-02-13,941.8126602474069
1997-02-14,943.6461223068186
1997-02-17,946.0093921241621
1997-02-18,938.7587314537213
1997-02-19,935.9646545076519
1997-02-20,945.2743073561486
1997-02-21,944.1877072406608
1997-02-24,938.729607912747
1997-02-25,941.9144270649067
1997-02-26,937.9304301253866
1997-02-27,945.1548232816049
1997-02-28,938.7413876619445
1997-03-03,939.2405077123448
1997-03-04,940.9947357413241
1997-03-05,935.9792270393863
1997-03-06,930.3550670723293
1997-03-07,930.5256316374266
1997-03-10,930.4391005570517
1997-03-11,932.8208092886031
1997-03-12,928.6332791739477
1997-03-13,920.0839341754842
1997-03-14,914.9455256559594
1997-03-17,919.5746469821557
1997-03-18,921.7340495224117
1997-03-19,917.8438702378232
1997-03-20,912.2057252673935
1997-03-21,911.209183370702
1997-03-24,904.8255629585138
1997-03-25,908.4395779604689
1997-03-26,917.3135314017245
1997-03-27,918.4524183925431
1997-03-28,918.135048917086
