Date,ACWI MOMENTUM
1994-06-30,155.53389086
1994-07-29,159.32999732
1994-08-31,166.81050688
1994-09-30,162.3501238
1994-10-31,167.20770569
1994-11-30,157.19326626
1994-12-30,156.03743472
1995-01-31,151.52585111
1995-02-28,151.60936485
1995-03-31,155.61005228
1995-04-28,164.59692697
1995-05-31,169.37080463
1995-06-30,173.64759083
1995-07-31,180.20388013
1995-08-31,178.88545107
1995-09-29,187.039934
1995-10-31,189.08998916
1995-11-30,195.04987297
1995-12-29,198.44664906
1996-01-31,203.72567722
1996-02-29,206.20167019
1996-03-29,208.35559017
1996-04-30,211.14830937
1996-05-31,215.29993192
1996-06-28,219.12468997
1996-07-31,211.03603276
1996-08-30,213.73084213
1996-09-30,223.32503891
1996-10-31,223.84504482
1996-11-29,236.40410043
1996-12-31,234.27783567
1997-01-01,234.27783567
1997-01-02,231.94114715
1997-01-03,234.80634528
1997-01-06,235.27056229
1997-01-07,236.42098775
1997-01-08,235.59539805
1997-01-09,236.36668424
1997-01-10,236.27918586
1997-01-13,237.30185793
1997-01-14,240.55107912
1997-01-15,240.34872499
1997-01-16,241.53034951
1997-01-17,242.44565363
1997-01-20,242.28042133
1997-01-21,242.96618157
1997-01-22,244.52607044
1997-01-23,242.2772958
1997-01-24,240.28225923
1997-01-27,238.47735386
1997-01-28,239.08260793
1997-01-29,241.11721751
1997-01-30,243.91140054
1997-01-31,245.52694353
1997-02-03,245.97113301
1997-02-04,246.76209493
1997-02-05,244.65039831
1997-02-06,244.902594
1997-02-07,247.28397035
1997-02-10,247.22242413
1997-02-11,248.06399602
1997-02-12,251.25990629
1997-02-13,254.01979842
1997-02-14,253.50823382
1997-02-17,253.42893566
1997-02-18,254.9866359
1997-02-19,253.93409311
1997-02-20,251.44661872
1997-02-21,250.59686717
1997-02-24,253.09938568
1997-02-25,254.09114912
1997-02-26,252.05683085
1997-02-27,249.78073226
1997-02-28,247.66495294
1997-03-03,248.67639661
1997-03-04,248.40268177
1997-03-05,251.42892736
1997-03-06,251.01882773
1997-03-07,252.36245954
1997-03-10,255.47247697
1997-03-11,255.01810871
1997-03-12,252.45812633
1997-03-13,248.63986055
1997-03-14,249.01008846
1997-03-17,249.20947969
1997-03-18,247.59563904
1997-03-19,246.77143047
1997-03-20,244.07984065
1997-03-21,245.01702329
1997-03-24,246.03161992
1997-03-25,247.11971445
1997-03-26,248.11900712
1997-03-27,245.38838698
1997-03-28,245.46721674
1997-03-31,241.58923739
1997-04-01,240.94210838
1997-04-02,238.62842134
1997-04-03,238.47660483
1997-04-04,240.23214987
1997-04-07,241.32472479
1997-04-08,243.15985305
1997-04-09,242.15395618
1997-04-10,241.10837654
1997-04-11,236.29490401
1997-04-14,237.30507616
1997-04-15,240.44119555
1997-04-16,242.57813612
1997-04-17,242.95086289
1997-04-18,244.00703409
1997-04-21,244.15508266
1997-04-22,247.7756055
1997-04-23,248.79555126
1997-04-24,249.24676356
1997-04-25,247.50125033
1997-04-28,249.18084669
1997-04-29,255.01348975
1997-04-30,257.16750059
1997-05-01,257.13661624
1997-05-02,260.99291175
1997-05-05,264.62884812
1997-05-06,266.34298943
1997-05-07,263.64678311
1997-05-08,265.11714397
1997-05-09,267.28622605
1997-05-12,270.43576764
1997-05-13,269.89229584
1997-05-14,271.1894385
1997-05-15,272.24029791
1997-05-16,270.11846256
1997-05-19,269.92541306
1997-05-20,272.38109346
1997-05-21,272.30817064
1997-05-22,270.98590341
1997-05-23,274.17970333
1997-05-26,274.97549254
1997-05-27,274.79653857
1997-05-28,273.94805272
1997-05-29,272.4235046
1997-05-30,271.11298391
1997-06-02,271.30521683
1997-06-03,271.82406653
1997-06-04,271.36652067
1997-06-05,272.3564423
1997-06-06,276.47005643
1997-06-09,279.24479372
1997-06-10,279.26607906
1997-06-11,280.7578578
1997-06-12,283.39258454
1997-06-13,285.39279265
1997-06-16,286.48734809
1997-06-17,285.36055057
1997-06-18,284.78587639
1997-06-19,287.32831378
1997-06-20,288.06316424
1997-06-23,285.2534774
1997-06-24,289.28239158
1997-06-25,290.66891147
1997-06-26,289.71088899
1997-06-27,289.28101478
1997-06-30,287.2562401
1997-07-01,290.18351257
1997-07-02,292.84706687
1997-07-03,297.87013259
1997-07-04,298.49346455
1997-07-07,299.0039936
1997-07-08,299.87219509
1997-07-09,299.05862854
1997-07-10,299.10155028
1997-07-11,299.78923309
1997-07-14,301.3148278
1997-07-15,301.82889914
1997-07-16,307.89662776
1997-07-17,307.18581933
1997-07-18,301.21874307
1997-07-21,298.34180455
1997-07-22,303.70148789
1997-07-23,305.91229421
1997-07-24,305.33338284
1997-07-25,304.48806242
1997-07-28,303.41252776
1997-07-29,304.44133147
1997-07-30,307.29191873
1997-07-31,308.11060565
1997-08-01,305.33766613
1997-08-04,303.40457217
1997-08-05,302.81893425
1997-08-06,305.82866067
1997-08-07,305.33942551
1997-08-08,301.6987385
1997-08-11,299.35362805
1997-08-12,297.23380316
1997-08-13,295.50956264
1997-08-14,295.17566812
1997-08-15,290.53187157
1997-08-18,291.1985615
1997-08-19,295.65529177
1997-08-20,298.86001934
1997-08-21,296.30147876
1997-08-22,292.80249652
1997-08-25,291.16127734
1997-08-26,289.14906538
1997-08-27,288.69763663
1997-08-28,285.65608742
1997-08-29,283.4706323
1997-09-01,283.70804576
1997-09-02,290.97277517
1997-09-03,293.24636384
1997-09-04,293.708882
1997-09-05,294.75570168
1997-09-08,294.3394456
