Date,ACWI ex USA MOMENTUM
1996-11-29,1000.0
1996-12-31,1016.047891223066
1997-01-01,1016.047891223066
1997-01-02,1001.5594821763317
1997-01-03,1003.6959975924293
1997-01-06,1008.6090956424471
1997-01-07,1009.5968017418105
1997-01-08,1012.2524751126393
1997-01-09,1009.4089194890714
1997-01-10,1002.5858265998228
1997-01-13,1010.1864902837998
1997-01-14,1019.1130899148928
1997-01-15,1025.6216333812338
1997-01-16,1031.606378228156
1997-01-17,1027.2307838398203
1997-01-20,1020.4532892919356
1997-01-21,1016.6748132015574
1997-01-22,1018.9510686819644
1997-01-23,1019.5231967163779
1997-01-24,1012.9483229215881
1997-01-27,1006.9745789509334
1997-01-28,1007.0537171132628
1997-01-29,1005.7234065306244
1997-01-30,1008.3125903632091
1997-01-31,1017.2415857572215
1997-02-03,1016.7336688461088
1997-02-04,1018.9053440584906
1997-02-05,1023.7545551721366
1997-02-06,1022.589465924178
1997-02-07,1023.4995620664952
1997-02-10,1034.993657149468
1997-02-11,1031.552618535476
1997-02-12,1034.2692575045025
1997-02-13,1039.1875631954294
1997-02-14,1042.0335773031832
1997-02-17,1040.388245546172
1997-02-18,1039.0067819218802
1997-02-19,1037.8534865807146
1997-02-20,1037.2005566668697
1997-02-21,1036.972990767696
1997-02-24,1039.211827801042
1997-02-25,1045.6177284414828
1997-02-26,1038.7370617943636
1997-02-27,1040.4002653476812
1997-02-28,1031.7769950225918
1997-03-03,1026.741729809933
1997-03-04,1035.320544101913
1997-03-05,1036.7349447865656
1997-03-06,1042.3626540608482
1997-03-07,1043.1921261517746
1997-03-10,1054.1916278143337
1997-03-11,1056.0059971807864
1997-03-12,1045.8852849361044
1997-03-13,1037.9492247197668
1997-03-14,1039.9168522196294
1997-03-17,1032.9574062562206
1997-03-18,1029.5124426639163
1997-03-19,1027.117312704242
1997-03-20,1009.8452378848513
1997-03-21,1017.9414195396286
1997-03-24,1015.2773390863641
1997-03-25,1027.924642998035
1997-03-26,1036.3700151251994
1997-03-27,1041.4420494333087
1997-03-28,1042.2040323610968
1997-03-31,1042.7374175460423
1997-04-01,1022.2556027481754
1997-04-02,1018.2582971229306
1997-04-03,1012.1482814783019
1997-04-04,1012.9256562155431
1997-04-07,1017.7737690646765
1997-04-08,1023.159966908751
1997-04-09,1026.7501544622792
1997-04-10,1024.376095594352
